"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-02-24 16:46:27","25.44","35","1013.22","2020","44000","","","","-110","2.3","6096","1771962387168"
"2","2026-02-24 16:46:37","25.45","35.5","1013.2","2040","48000","","","","-109","2.3","6097","1771962397165"
"3","2026-02-24 16:46:47","25.46","36","1013.1800000000001","2060","52000","","","","-110","1.8","6098","1771962407167"
"4","2026-02-24 16:46:57","25.47","36.5","1013.16","2080","56000","","","","-110","1.8","6099","1771962417176"
"5","2026-02-24 16:47:07","26.02","62.5","936.36","3780","336","","","","-110","2","6100","1771962427173"
"6","2026-02-24 16:47:17","26.03","62.5","936.34","3780","344","","","","-109","2.8","6101","1771962437329"
"7","2026-02-24 16:47:27","26.03","62.5","936.34","3780","344","","","","-110","2.3","6102","1771962447165"
"8","2026-02-24 16:47:37","26.03","62.5","936.34","3800","340","","","","-110","2.3","6103","1771962457163"
"9","2026-02-24 16:47:47","26.04","62.5","936.34","3800","340","","","","-110","2.5","6104","1771962467175"
"10","2026-02-24 16:47:57","26.04","62.5","936.34","3780","340","","","","-110","3","6105","1771962477162"
"11","2026-02-24 16:48:16","26.05","62","936.36","3780","340","","","","-109","3","6106","1771962487171"
"12","2026-02-24 16:48:18","26.05","62","936.34","3780","340","","","","-109","2.5","6107","1771962497170"
"13","2026-02-24 16:48:27","26.06","62.5","936.32","3780","340","","","","-109","2","6108","1771962507169"
"14","2026-02-24 16:48:37","26.06","62","936.34","3840","340","","","","-109","2.8","6109","1771962517166"
"15","2026-02-24 16:48:47","26.07","62","936.36","3780","344","","","","-109","2.8","6110","1771962527167"
"16","2026-02-24 16:48:57","26.07","62","936.36","3800","344","","","","-110","2.5","6111","1771962537169"
"17","2026-02-24 16:49:07","26.07","62.5","936.32","3780","344","","","","-109","2.8","6112","1771962547171"
"18","2026-02-24 16:49:17","26.08","62","936.34","3780","344","","","","-109","2.8","6113","1771962557169"
"19","2026-02-24 16:49:37","26.09","62","936.36","3780","344","","","","-109","3.5","6115","1771962577171"
"20","2026-02-24 16:51:47","26.09","62","936.36","3800","352","","","","-109","3.3","6128","1771962707168"
"21","2026-02-24 16:51:57","26.09","62","936.4","3780","348","","","","-110","2.5","6129","1771962717166"
"22","2026-02-24 16:52:07","26.08","62","936.4","3800","352","","","","-109","2.8","6130","1771962727176"
"23","2026-02-24 16:52:17","26.08","62","936.4","3760","356","","","","-109","3","6131","1771962737168"
"24","2026-02-24 16:52:37","26.07","62","936.4","3800","344","","","","-109","3","6133","1771962757163"
"25","2026-02-24 16:53:17","26.05","62","936.4200000000001","3800","344","","","","-110","2.5","6137","1771962797167"
"26","2026-02-24 16:53:27","26.05","62","936.4","3780","336","","","","-110","2.3","6138","1771962807166"
"27","2026-02-24 16:53:37","26.05","62","936.4","3780","348","","","","-110","2.5","6139","1771962817163"
"28","2026-02-24 16:53:47","26.04","62","936.4","3800","336","","","","-109","2.5","6140","1771962827162"
"29","2026-02-24 16:53:57","26.04","62","936.38","3800","352","","","","-110","2.5","6141","1771962837161"
"30","2026-02-24 16:54:07","26.04","62","936.4","3760","348","","","","-109","2.8","6142","1771962847161"
"31","2026-02-24 16:54:27","26.03","62","936.4","3800","344","","","","-109","3","6144","1771962867181"
"32","2026-02-24 16:54:57","26.01","62","936.4200000000001","3780","348","","","","-110","2.3","6147","1771962897156"
"33","2026-02-24 16:55:07","26.01","62","936.4","3760","348","","","","-109","3.3","6148","1771962907170"
"34","2026-02-24 16:55:17","26.01","62","936.4","3760","344","","","","-109","2.8","6149","1771962917165"
"35","2026-02-24 16:55:57","25.99","62","936.38","3780","348","","","","-109","2.5","6153","1771962957326"
"36","2026-02-24 16:56:27","25.97","62.5","936.38","3780","348","","","","-109","3","6156","1771962987166"
"37","2026-02-24 16:56:37","25.97","62","936.38","3760","348","","","","-109","3.8","6157","1771962997169"
"38","2026-02-24 16:56:47","25.96","62","936.36","3800","348","","","","-109","3.3","6158","1771963007159"
"39","2026-02-24 16:57:17","25.95","62","936.38","3840","344","","","","-109","3","6161","1771963037159"
"40","2026-02-24 16:57:27","25.94","62","936.36","3780","348","","","","-110","3","6162","1771963047167"
"41","2026-02-24 16:57:37","25.94","62.5","936.3000000000001","3780","344","","","","-109","4.3","6163","1771963057171"
"42","2026-02-24 16:57:47","25.93","62.5","936.34","3760","344","","","","-109","4.5","6164","1771963067178"
"43","2026-02-24 16:57:57","25.93","62.5","936.36","3760","344","","","","-109","4.3","6165","1771963077162"
"44","2026-02-24 16:58:07","25.92","62","936.34","3780","344","","","","-109","4","6166","1771963087158"
"45","2026-02-24 16:58:17","25.92","62","936.38","3760","348","","","","-108","4","6167","1771963097162"
"46","2026-02-24 16:58:27","25.91","62","936.36","3760","344","","","","-108","4.3","6168","1771963107173"
"47","2026-02-24 16:58:37","25.91","62","936.36","3760","344","","","","-108","4.5","6169","1771963117160"
"48","2026-02-24 16:58:47","25.9","62","936.34","3780","340","","","","-109","4.3","6170","1771963127171"
"49","2026-02-24 16:58:57","25.9","62.5","936.34","3760","344","","","","-110","2.5","6171","1771963137164"
"50","2026-02-24 16:59:07","25.89","62.5","936.34","3760","348","","","","-109","4","6172","1771963147158"
"51","2026-02-24 16:59:17","25.88","62","936.38","3760","344","","","","-110","1.8","6173","1771963157168"
"52","2026-02-24 16:59:27","25.88","62.5","936.34","3780","340","","","","-109","3.5","6174","1771963167159"
"53","2026-02-24 16:59:37","25.88","62.5","936.36","3780","340","","","","-109","3.5","6175","1771963177169"
"54","2026-02-24 16:59:47","25.87","62","936.36","3800","344","","","","-109","3.8","6176","1771963187165"
"55","2026-02-24 16:59:57","25.87","62.5","936.34","3760","340","","","","-109","3.5","6177","1771963197164"
"56","2026-02-24 17:00:07","25.86","62.5","936.32","3760","340","","","","-110","2.5","6178","1771963207165"
"57","2026-02-24 17:00:17","25.86","62.5","936.34","3800","340","","","","-109","3","6179","1771963217161"
"58","2026-02-24 17:00:27","25.85","62.5","936.32","3780","340","","","","-109","3.3","6180","1771963227278"
"59","2026-02-24 17:00:47","25.84","62.5","936.3000000000001","3760","340","","","","-110","2.8","6182","1771963247167"
"60","2026-02-24 17:01:07","25.83","62.5","936.32","3780","340","","","","-109","3.5","6184","1771963267168"
"61","2026-02-24 17:01:17","25.82","62.5","936.36","3780","344","","","","-109","3.5","6185","1771963277172"
"62","2026-02-24 17:01:27","25.82","62.5","936.36","3800","344","","","","-109","3.3","6186","1771963287165"
"63","2026-02-24 17:01:47","25.8","62.5","936.36","3760","344","","","","-109","4","6188","1771963307166"
"64","2026-02-24 17:01:57","25.8","62.5","936.34","3760","340","","","","-108","4.5","6189","1771963317166"
"65","2026-02-24 17:02:07","25.8","62.5","936.34","3760","340","","","","-109","4","6190","1771963327170"
