"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Lat","Lon"
"1","2026-06-02 00:07:49","14.18","79","1023","4.32","135","0","0","-22.8215","-47.0694"
"2","2026-06-02 00:17:49","13.62","82","1023","4.32","135","0","0","-22.8215","-47.0694"
"3","2026-06-02 00:27:49","13.62","82","1023","4.32","135","0","0","-22.8215","-47.0694"
"4","2026-06-02 00:37:49","13.62","82","1022","4","133","0","0","-22.8215","-47.0694"
"5","2026-06-02 00:47:49","13.62","82","1022","4","133","0","0","-22.8215","-47.0694"
"6","2026-06-02 00:57:49","13.62","82","1022","4","133","0","0","-22.8215","-47.0694"
"7","2026-06-02 01:07:49","13.62","82","1023","4","133","0","0","-22.8215","-47.0694"
"8","2026-06-02 01:17:49","13.62","82","1023","4","133","0","0","-22.8215","-47.0694"
"9","2026-06-02 01:27:49","13.07","83","1023","4","133","0","0","-22.8215","-47.0694"
"10","2026-06-02 01:37:49","13.07","83","1022","3.97","130","0","0","-22.8215","-47.0694"
"11","2026-06-02 01:47:49","13.07","83","1022","3.97","130","0","0","-22.8215","-47.0694"
"12","2026-06-02 01:57:49","13.07","83","1022","3.97","130","0","0","-22.8215","-47.0694"
"13","2026-06-02 02:07:49","13.07","83","1022","3.97","130","0","0","-22.8215","-47.0694"
"14","2026-06-02 02:17:49","13.07","82","1023","3.97","130","0","0","-22.8215","-47.0694"
"15","2026-06-02 02:27:49","13.07","82","1023","3.97","130","0","0","-22.8215","-47.0694"
"16","2026-06-02 02:37:49","13.07","82","1022","3.76","128","0","0","-22.8215","-47.0694"
"17","2026-06-02 02:47:49","13.07","82","1022","3.76","128","0","0","-22.8215","-47.0694"
"18","2026-06-02 02:57:49","13.07","82","1022","3.71","131","0","0","-22.8215","-47.0694"
"19","2026-06-02 03:07:49","13.07","82","1023","3.71","131","0","0","-22.8215","-47.0694"
"20","2026-06-02 03:17:49","13.07","84","1023","3.71","131","0","0","-22.8215","-47.0694"
"21","2026-06-02 03:27:49","13.07","84","1023","3.71","131","0","0","-22.8215","-47.0694"
"22","2026-06-02 03:37:49","13.07","84","1022","3.81","134","0","0","-22.8215","-47.0694"
"23","2026-06-02 03:47:49","13.07","84","1022","3.81","134","0","0","-22.8215","-47.0694"
"24","2026-06-02 03:57:49","13.07","84","1022","3.81","134","0","0","-22.8215","-47.0694"
"25","2026-06-02 04:07:49","13.07","84","1022","3.81","134","0","0","-22.8215","-47.0694"
"26","2026-06-02 04:17:49","13.07","84","1022","3.81","134","0","0","-22.8215","-47.0694"
"27","2026-06-02 04:27:49","13.07","84","1022","3.81","134","0","0","-22.8215","-47.0694"
"28","2026-06-02 04:37:49","13.07","84","1022","3.57","133","0","0","-22.8215","-47.0694"
"29","2026-06-02 04:47:49","13.07","84","1022","3.57","133","0","0","-22.8215","-47.0694"
"30","2026-06-02 04:57:49","13.07","84","1022","3.57","133","0","0","-22.8215","-47.0694"
"31","2026-06-02 05:07:49","13.07","84","1022","3.57","133","0","0","-22.8215","-47.0694"
"32","2026-06-02 05:17:49","12.51","87","1022","3.57","133","0","0","-22.8215","-47.0694"
"33","2026-06-02 05:27:49","12.51","87","1022","3.57","133","0","0","-22.8215","-47.0694"
"34","2026-06-02 05:37:49","12.51","87","1022","3.3","134","0","0","-22.8215","-47.0694"
"35","2026-06-02 05:47:49","12.51","87","1022","3.3","134","0","0","-22.8215","-47.0694"
"36","2026-06-02 05:57:49","12.51","87","1022","3.3","134","0","0","-22.8215","-47.0694"
"37","2026-06-02 06:07:49","12.51","87","1023","3.3","134","0","0","-22.8215","-47.0694"
"38","2026-06-02 06:17:49","12.51","86","1023","3.3","134","0","0","-22.8215","-47.0694"
"39","2026-06-02 06:27:49","12.51","86","1023","3.3","134","0","0","-22.8215","-47.0694"
"40","2026-06-02 06:37:49","12.51","86","1023","2.77","141","0","0","-22.8215","-47.0694"
"41","2026-06-02 06:47:49","12.51","86","1023","2.77","141","0","0","-22.8215","-47.0694"
"42","2026-06-02 06:57:49","12.51","86","1023","2.77","141","0","0","-22.8215","-47.0694"
"43","2026-06-02 07:07:49","12.51","86","1023","2.77","141","0","0","-22.8215","-47.0694"
"44","2026-06-02 07:17:49","12.51","83","1024","2.77","141","0","0","-22.8215","-47.0694"
"45","2026-06-02 07:27:49","12.51","83","1024","2.77","141","0","0","-22.8215","-47.0694"
"46","2026-06-02 07:37:49","12.51","83","1023","3.26","148","0","0","-22.8215","-47.0694"
"47","2026-06-02 07:47:49","12.51","83","1023","3.26","148","0","0","-22.8215","-47.0694"
"48","2026-06-02 07:57:49","12.48","83","1023","3.26","148","0","0","-22.8215","-47.0694"
