"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-02-22 00:00:43","23.55","74.5","943.88","3680","16","-22.822309494018555","-47.06568145751953","630.9000000000001","-98","11.3","4824","1771729242872"
"2","2026-02-22 00:01:43","23.54","74.5","943.86","3680","16","-22.82230567932129","-47.065677642822266","620.7","-97","11.8","4825","1771729302876"
"3","2026-02-22 00:02:43","23.53","74.5","943.84","3680","16","-22.822303771972656","-47.065677642822266","622.5","-100","10.5","4826","1771729362879"
"4","2026-02-22 00:03:43","23.51","74.5","943.86","3700","16","-22.822256088256836","-47.065673828125","621.2","-99","10.3","4827","1771729422868"
"5","2026-02-22 00:04:43","23.5","74.5","943.78","3660","16","-22.822208404541016","-47.06565856933594","612.2","-97","11.8","4828","1771729482877"
"6","2026-02-22 00:05:43","23.49","74.5","943.88","3680","16","-22.822233200073242","-47.065650939941406","617.5","-98","10.8","4829","1771729542867"
"7","2026-02-22 00:06:43","23.48","74.5","943.84","3700","16","-22.82223892211914","-47.06568145751953","618.2","-99","10.3","4830","1771729602863"
"8","2026-02-22 00:07:43","23.46","74.5","943.8000000000001","3660","12","-22.822261810302734","-47.06562423706055","623.2","-98","11.5","4831","1771729662869"
"9","2026-02-22 00:08:43","23.45","74.5","943.82","3660","16","-22.822229385375977","-47.0656852722168","617.9000000000001","-98","11.3","4832","1771729722868"
"10","2026-02-22 00:09:43","23.44","74.5","943.86","3720","16","-22.822223663330078","-47.06568908691406","616.5","-106","6.3","4833","1771729782860"
"11","2026-02-22 00:10:42","23.42","74.5","943.82","3660","16","-22.822219848632812","-47.0656852722168","614","-98","11","4834","1771729842866"
"12","2026-02-22 00:11:43","23.41","74.5","943.88","3660","16","-22.822219848632812","-47.0656623840332","615.5","-103","8.5","4835","1771729902870"
"13","2026-02-22 00:12:42","23.41","74.5","943.86","3660","16","-22.822221755981445","-47.06571578979492","615.7","-99","11.3","4836","1771729962870"
"14","2026-02-22 00:13:43","23.39","75","943.84","3680","16","-22.822240829467773","-47.065731048583984","619.9000000000001","-113","-2","4837","1771730022863"
