"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Lat","Lon"
"1","2026-05-31 00:07:49","16.96","86","1022","2.3","120","4","0","-22.8215","-47.0694"
"2","2026-05-31 00:17:49","16.96","86","1022","2.3","120","4","0","-22.8215","-47.0694"
"3","2026-05-31 00:27:49","17.32","88","1022","2.3","120","4","0","-22.8215","-47.0694"
"4","2026-05-31 00:37:49","17.32","90","1021","1.89","120","2","0","-22.8215","-47.0694"
"5","2026-05-31 00:47:49","17.32","90","1021","1.89","120","2","0","-22.8215","-47.0694"
"6","2026-05-31 00:57:49","17.32","90","1021","1.89","120","2","0","-22.8215","-47.0694"
"7","2026-05-31 01:07:49","17.32","90","1021","1.89","120","2","0","-22.8215","-47.0694"
"8","2026-05-31 01:17:49","17.32","89","1022","1.89","120","2","0","-22.8215","-47.0694"
"9","2026-05-31 01:27:49","17.32","89","1022","1.89","120","2","0","-22.8215","-47.0694"
"10","2026-05-31 01:37:49","17.32","90","1021","1.84","132","2","0","-22.8215","-47.0694"
"11","2026-05-31 01:47:49","17.32","90","1021","1.84","132","2","0","-22.8215","-47.0694"
"12","2026-05-31 01:57:49","17.32","90","1021","1.84","132","2","0","-22.8215","-47.0694"
"13","2026-05-31 02:07:49","17.32","90","1021","1.84","132","2","0","-22.8215","-47.0694"
"14","2026-05-31 02:17:49","16.32","92","1021","1.84","132","2","0","-22.8215","-47.0694"
"15","2026-05-31 02:27:49","16.32","92","1021","1.84","132","2","0","-22.8215","-47.0694"
"16","2026-05-31 02:37:49","16.32","93","1020","2.03","137","1","0","-22.8215","-47.0694"
"17","2026-05-31 02:47:49","16.32","93","1020","2.03","137","1","0","-22.8215","-47.0694"
"18","2026-05-31 02:57:49","16.32","93","1020","2.13","137","2","0","-22.8215","-47.0694"
"19","2026-05-31 03:07:49","15.32","93","1020","2.13","137","2","0","-22.8215","-47.0694"
"20","2026-05-31 03:17:49","15.32","89","1021","2.13","137","2","0","-22.8215","-47.0694"
"21","2026-05-31 03:27:49","15.32","89","1021","2.13","137","2","0","-22.8215","-47.0694"
"22","2026-05-31 03:37:49","15.32","90","1020","2.41","133","0","0","-22.8215","-47.0694"
"23","2026-05-31 03:47:49","15.32","90","1020","2.41","133","0","0","-22.8215","-47.0694"
"24","2026-05-31 03:57:49","15.32","90","1020","2.41","133","0","0","-22.8215","-47.0694"
"25","2026-05-31 04:07:49","15.32","90","1020","2.41","133","0","0","-22.8215","-47.0694"
"26","2026-05-31 04:17:49","14.32","91","1020","2.41","133","0","0","-22.8215","-47.0694"
"27","2026-05-31 04:27:49","14.32","91","1020","2.41","133","0","0","-22.8215","-47.0694"
"28","2026-05-31 04:37:49","14.32","91","1020","2.41","133","0","0","-22.8215","-47.0694"
"29","2026-05-31 04:47:49","14.38","93","1020","2.56","130","0","0","-22.8164","-47.0744"
"30","2026-05-31 04:57:49","14.32","93","1020","2.56","130","0","0","-22.8215","-47.0694"
"31","2026-05-31 05:07:49","14.31","92","1020","2.56","130","0","0","-22.8191","-47.0733"
"32","2026-05-31 05:17:49","14.32","89","1020","2.56","130","0","0","-22.8215","-47.0694"
"33","2026-05-31 05:27:49","14.32","89","1020","2.56","130","0","0","-22.8215","-47.0694"
"34","2026-05-31 05:37:49","14.32","90","1020","2.29","121","0","0","-22.8215","-47.0694"
"35","2026-05-31 05:47:49","14.32","90","1020","2.29","121","0","0","-22.8215","-47.0694"
"36","2026-05-31 05:57:49","14.32","90","1020","2.29","121","0","0","-22.8215","-47.0694"
"37","2026-05-31 06:07:49","14.32","90","1020","2.29","121","0","0","-22.8215","-47.0694"
"38","2026-05-31 06:17:49","14.32","87","1021","2.29","121","0","0","-22.8215","-47.0694"
"39","2026-05-31 06:27:49","14.32","87","1021","2.29","121","0","0","-22.8215","-47.0694"
"40","2026-05-31 06:37:49","14.32","89","1021","2","118","0","0","-22.8215","-47.0694"
"41","2026-05-31 06:47:49","14.32","89","1021","2","118","0","0","-22.8215","-47.0694"
"42","2026-05-31 06:57:49","14.32","89","1021","2","118","0","0","-22.8215","-47.0694"
"43","2026-05-31 07:07:49","14.32","89","1021","2","118","0","0","-22.8215","-47.0694"
"44","2026-05-31 07:17:49","14.32","88","1021","2","118","0","0","-22.8215","-47.0694"
"45","2026-05-31 07:27:49","14.32","88","1021","2","118","0","0","-22.8215","-47.0694"
"46","2026-05-31 07:37:49","14.32","88","1021","2","118","0","0","-22.8215","-47.0694"
"47","2026-05-31 07:47:49","14.32","85","1021","1.9","115","1","0","-22.8215","-47.0694"
"48","2026-05-31 07:57:49","14.32","85","1021","1.9","115","1","0","-22.8215","-47.0694"
"49","2026-05-31 08:07:49","14.32","85","1021","1.9","115","1","0","-22.8215","-47.0694"
"50","2026-05-31 08:17:49","16.85","75","1022","1.9","115","1","0","-22.8215","-47.0694"
"51","2026-05-31 08:27:49","16.85","75","1022","1.9","115","1","0","-22.8215","-47.0694"
