"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","DR","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-06-06 05:22:25","23.93","54.5","950.3000000000001","3840","","","","","-105","-3.5","0","11839","1780734145647"
"2","2026-06-06 05:22:40","23.99","55","950.28","3840","","","","","-105","-4","0","11840","1780734160137"
"3","2026-06-06 05:22:54","24.05","54.5","950.32","3840","","","","","-106","-3.299999952316284","0","11841","1780734174665"
"4","2026-06-06 05:23:09","24.09","54","950.26","3840","","","","","-106","-4.5","0","11842","1780734189162"
"5","2026-06-06 05:23:23","24.12","54.5","950.28","3840","","","","","-106","-5.5","0","11843","1780734203654"
"6","2026-06-06 05:23:38","24.16","53.5","950.28","3840","","","","","-105","-5","0","11844","1780734218113"
"7","2026-06-06 05:23:52","24.19","54","950.32","3840","","","","","-106","-5","0","11845","1780734232646"
"8","2026-06-06 05:24:07","24.22","54","950.3000000000001","3840","","","","","-106","-4.800000190734863","0","11846","1780734247148"
"9","2026-06-06 05:24:21","24.24","53.5","950.34","3840","","","","","-106","-12.800000190734863","0","11847","1780734261648"
"10","2026-06-06 06:56:21","17.82","55.5","952.34","3580","","-22.819107055664062","-47.07221984863281","595","-105","-2.299999952316284","0","11850","1780739781557"
"11","2026-06-06 06:56:26","17.82","55.5","952.36","3560","","-22.819103240966797","-47.072227478027344","595.5","-104","-1.5","0","11851","1780739786558"
"12","2026-06-06 06:56:31","17.82","55.5","952.32","3560","","-22.819108963012695","-47.072227478027344","600.2","-104","-0.30000001192092896","0","11852","1780739791559"
"13","2026-06-06 06:56:36","17.81","55.5","952.34","3580","","-22.819110870361328","-47.0722541809082","595.2","-104","-1.5","0","11853","1780739796549"
"14","2026-06-06 06:56:41","17.8","56.5","952.54","3580","","-22.8190975189209","-47.07227325439453","598.7","-104","-3.799999952316284","0","11854","1780739801559"
"15","2026-06-06 06:56:48","17.8","56","952.46","3580","","-22.81903839111328","-47.07228088378906","597.2","-98","1.7999999523162842","0","11855","1780739808550"
"16","2026-06-06 06:56:58","17.78","55.5","952.28","3540","","-22.818973541259766","-47.072242736816406","598.7","-99","3","0","11856","1780739818559"
"17","2026-06-06 06:57:08","17.77","55","952.32","3540","","-22.818876266479492","-47.072200775146484","604.4","-100","2.799999952316284","0","11857","1780739828558"
"18","2026-06-06 06:57:28","17.75","55","952.4","3580","","-22.818750381469727","-47.07209396362305","607.2","-103","-2.299999952316284","0","11859","1780739848531"
"19","2026-06-06 06:57:38","17.72","55","952.3000000000001","3560","","-22.818666458129883","-47.0720329284668","603.9","-99","2.299999952316284","0","11860","1780739858561"
"20","2026-06-06 06:57:48","17.7","55","952.38","3540","","-22.8185977935791","-47.07198715209961","607.9","-104","1.2999999523162842","0","11861","1780739868571"
"21","2026-06-06 06:57:58","17.69","55","952.28","3540","","-22.81851577758789","-47.07194900512695","612.7","-105","-1.2999999523162842","0","11862","1780739878565"
"22","2026-06-06 06:58:08","17.66","55","952.46","3580","","-22.818405151367188","-47.071964263916016","610.5","-105","-6.5","0","11863","1780739888562"
"23","2026-06-06 06:58:18","17.64","55","952.4200000000001","3540","","-22.818273544311523","-47.0720100402832","604.5","-104","-3","0","11864","1780739898564"
"24","2026-06-06 06:58:28","17.62","55","952.46","3540","","-22.818164825439453","-47.07204818725586","603.2","-107","-7.300000190734863","0","11865","1780739908567"
"25","2026-06-06 06:58:38","17.6","55","952.4","3540","","-22.818071365356445","-47.072166442871094","599.2","-107","-13.800000190734863","0","11866","1780739918555"
