"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","DR","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-06-06 00:06:08","14.91","62","952.12","3720","","-22.82213592529297","-47.06565475463867","628.2","-96","12","5","19026","1780715168811"
"2","2026-06-06 00:16:08","14.85","62.5","951.94","3740","","-22.82213020324707","-47.0656623840332","610.4","-94","12.300000190734863","5","19027","1780715768817"
"3","2026-06-06 00:26:08","14.77","62.5","951.84","3740","","-22.822139739990234","-47.065635681152344","612.5","-97","11","5","19028","1780716368812"
"4","2026-06-06 00:36:08","14.66","62.5","951.74","3700","","-22.8221435546875","-47.065616607666016","621","-98","10.800000190734863","5","19029","1780716968809"
"5","2026-06-06 00:46:08","14.58","62.5","951.84","3720","","-22.822105407714844","-47.065635681152344","617","-99","10.300000190734863","5","19030","1780717568809"
"6","2026-06-06 00:56:08","14.47","62.5","951.7","3720","","-22.82212257385254","-47.065608978271484","624.9000000000001","-93","12.5","5","19031","1780718168810"
"7","2026-06-06 01:06:08","14.39","63","951.62","3700","","-22.822114944458008","-47.06563186645508","614.2","-93","12.5","5","19032","1780718768823"
"8","2026-06-06 01:16:08","14.31","62.5","951.66","3700","","-22.822097778320312","-47.0656623840332","610.4","-92","12.800000190734863","5","19033","1780719368810"
"9","2026-06-06 01:26:08","14.19","63","951.64","3720","","-22.822044372558594","-47.06570816040039","607.2","-92","13","5","19034","1780719968820"
"10","2026-06-06 01:36:08","13.99","63","951.64","3700","","-22.822111129760742","-47.06562805175781","612.7","-93","12.5","5","19035","1780720568820"
"11","2026-06-06 01:46:08","13.85","63","951.7","3700","","-22.822214126586914","-47.06563949584961","613.5","-93","13","5","19036","1780721168823"
"12","2026-06-06 01:56:08","13.59","63.5","951.76","3700","","-22.822128295898438","-47.065673828125","610.2","-93","12.5","5","19037","1780721768822"
"13","2026-06-06 02:06:08","13.31","64","951.5600000000001","3680","","-22.822097778320312","-47.06566619873047","613.2","-92","12.800000190734863","5","19038","1780722368830"
"14","2026-06-06 02:16:08","13.06","64","951.5600000000001","3680","","-22.822120666503906","-47.06562423706055","611.5","-92","13.300000190734863","5","19039","1780722968792"
"15","2026-06-06 02:26:08","12.93","64","951.54","3700","","-22.82211685180664","-47.06562042236328","628.7","-92","12.800000190734863","5","19040","1780723568784"
"16","2026-06-06 02:36:08","12.68","64.5","951.38","3660","","-22.82215118408203","-47.065643310546875","628.2","-92","13","5","19041","1780724168816"
"17","2026-06-06 02:46:08","12.53","64.5","951.52","3680","","-22.822118759155273","-47.065696716308594","603.4","-93","12.800000190734863","5","19042","1780724768813"
"18","2026-06-06 02:56:08","12.61","64","951.54","3680","","-22.822132110595703","-47.0656623840332","616","-92","12.800000190734863","5","19043","1780725368804"
"19","2026-06-06 03:06:08","12.69","63.5","951.4200000000001","3680","","-22.82211685180664","-47.06566619873047","622.7","-93","13","5","19044","1780725968813"
"20","2026-06-06 03:16:08","12.56","64","951.5","3680","","-22.82215118408203","-47.065650939941406","614.9000000000001","-92","12.800000190734863","5","19045","1780726568822"
"21","2026-06-06 03:26:07","12.62","64","951.5","3660","","-22.822105407714844","-47.06563949584961","610.5","-93","13","5","19046","1780727167808"
"22","2026-06-06 03:36:08","12.36","64.5","951.5","3680","","-22.8221378326416","-47.06566619873047","615.5","-93","13.300000190734863","5","19047","1780727768821"
"23","2026-06-06 03:46:08","12.22","64.5","951.38","3700","","-22.822126388549805","-47.0656623840332","612.9","-92","12.800000190734863","5","19048","1780728368823"
"24","2026-06-06 03:56:08","","","","","","","","","-93","13","5","19049","1780728968469"
"25","2026-06-06 03:56:08","12.23","64.5","951.32","3680","","-22.82219123840332","-47.06564712524414","614.2","-93","13","5","19049","1780728968785"
"26","2026-06-06 04:06:08","12.45","63.5","951.26","3660","","-22.822179794311523","-47.06568145751953","611.9","-92","12.5","5","19050","1780729568832"
"27","2026-06-06 04:16:08","12.56","63.5","951.2","3660","","-22.822162628173828","-47.065670013427734","607.4","-93","12.800000190734863","5","19051","1780730168822"
"28","2026-06-06 04:26:08","12.74","63","950.94","3660","","-22.82208251953125","-47.06564712524414","616.5","-94","11.800000190734863","5","19052","1780730768826"
"29","2026-06-06 04:36:08","12.79","63.5","950.74","3700","","-22.822120666503906","-47.06565475463867","611.9","-94","12.300000190734863","5","19053","1780731368822"
"30","2026-06-06 04:46:08","12.85","63.5","950.66","3660","","-22.82213592529297","-47.06562042236328","603.9","-92","12.800000190734863","5","19054","1780731968816"
"31","2026-06-06 04:56:08","12.85","63.5","950.62","3640","","-22.82215118408203","-47.06564712524414","616.7","-98","10.800000190734863","5","19055","1780732568821"
"32","2026-06-06 05:06:08","12.94","63.5","950.52","3660","","-22.822128295898438","-47.06564712524414","611.2","-94","12","5","19056","1780733168816"
"33","2026-06-06 05:16:08","12.89","63.5","950.4200000000001","3680","","-22.822147369384766","-47.06562423706055","613.2","-92","12.800000190734863","5","19057","1780733768809"
"34","2026-06-06 05:26:08","12.87","64","950.38","3660","","-22.822139739990234","-47.06568145751953","601.7","-93","13","5","19058","1780734368811"
"35","2026-06-06 05:36:08","12.88","63.5","950.58","3680","","-22.822160720825195","-47.06562042236328","615.7","-96","11","5","19059","1780734968824"
"36","2026-06-06 05:46:08","12.9","64","950.64","3680","","-22.822158813476562","-47.06563949584961","616.5","-95","11.800000190734863","5","19060","1780735568828"
"37","2026-06-06 05:56:08","12.78","64","950.64","3680","","-22.822153091430664","-47.065643310546875","612","-92","13","5","19061","1780736168813"
"38","2026-06-06 06:06:08","12.71","64","950.7","3660","","-22.822139739990234","-47.065635681152344","626.7","-92","12.300000190734863","5","19062","1780736768813"
"39","2026-06-06 06:16:08","12.63","64","950.7","3640","","-22.8221435546875","-47.06562042236328","617.7","-92","12.800000190734863","5","19063","1780737368810"
"40","2026-06-06 06:26:08","12.55","64","950.82","3660","","-22.822124481201172","-47.06565475463867","610","-92","12.800000190734863","5","19064","1780737968812"
"41","2026-06-06 06:36:08","12.53","64","950.96","3640","","-22.822134017944336","-47.065635681152344","615.2","-92","13","5","19065","1780738568815"
"42","2026-06-06 06:46:08","12.32","64.5","951.02","3640","","-22.822118759155273","-47.065643310546875","620.5","-92","12.800000190734863","5","19066","1780739168823"
"43","2026-06-06 06:56:07","12.1","65","951.14","3640","","-22.82213592529297","-47.0656623840332","614.7","-92","12.800000190734863","5","19067","1780739767811"
"44","2026-06-06 07:06:08","12.09","64.5","951.4200000000001","3620","","-22.82210922241211","-47.06564712524414","617.2","-92","12.300000190734863","5","19068","1780740368781"
"45","2026-06-06 07:16:08","12.38","64","951.5","3660","","-22.822084426879883","-47.065670013427734","612.9","-92","12.800000190734863","5","19069","1780740968775"
"46","2026-06-06 07:26:08","13.06","62.5","951.5600000000001","3620","","-22.82206916809082","-47.065608978271484","614.4000000000001","-92","12.800000190734863","5","19070","1780741568786"
"47","2026-06-06 07:36:08","18.08","50.5","951.6800000000001","3640","","-22.82215118408203","-47.06566619873047","613.5","-93","12.5","5","19071","1780742168773"
