"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-05-12 13:24:05";"23.28";"46.5";"948.88";"3800";"";"";"";"";"-111";"-1.2999999523162842";"16147";"1778603045767"
"2";"2026-05-12 13:25:05";"";"";"";"";"";"";"";"";"-111";"1";"16148";"1778603105390"
"3";"2026-05-12 13:25:05";"23.29";"45.5";"948.86";"3820";"";"";"";"";"-111";"1";"16148";"1778603105694"
"4";"2026-05-12 13:26:05";"23.28";"45.5";"948.82";"3780";"";"";"";"";"-112";"-7";"16149";"1778603165734"
"5";"2026-05-12 13:27:05";"23.29";"46.5";"948.78";"3780";"";"";"";"";"-113";"-2";"16150";"1778603225731"
"6";"2026-05-12 13:28:05";"23.29";"45.5";"948.78";"3800";"";"";"";"";"-111";"0";"16151";"1778603285737"
"7";"2026-05-12 13:29:05";"23.29";"45.5";"948.78";"3820";"";"";"";"";"-110";"-0.30000001192092896";"16152";"1778603345726"
"8";"2026-05-12 13:31:05";"23.3";"45.5";"948.76";"3800";"";"";"";"";"-109";"-2";"16154";"1778603465729"
"9";"2026-05-12 13:32:05";"23.34";"45.5";"948.76";"3800";"";"";"";"";"-115";"-6.300000190734863";"16155";"1778603525735"
"10";"2026-05-12 13:33:05";"23.6";"37";"948.72";"3800";"";"";"";"";"-95";"12.300000190734863";"16156";"1778603585747"
