"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-04-06 00:00:48";"22.67";"70";"947.16";"3700";"0";"-22.822219848632812";"-47.0656623840332";"618.4000000000001";"-73";"13.800000190734863";"59282";"1775444448830"
"2";"2026-04-06 00:01:48";"22.66";"70";"947.12";"3760";"0";"-22.822233200073242";"-47.06564712524414";"625.2";"-74";"13.800000190734863";"59283";"1775444508819"
"3";"2026-04-06 00:02:48";"22.66";"70";"947.14";"3700";"0";"-22.822229385375977";"-47.065643310546875";"613.5";"-74";"13";"59284";"1775444568813"
"4";"2026-04-06 00:03:48";"22.65";"70";"947.08";"3720";"0";"-22.822223663330078";"-47.065643310546875";"613.7";"-73";"13.5";"59285";"1775444628812"
"5";"2026-04-06 00:04:48";"22.65";"70";"947.0600000000001";"3720";"0";"-22.822223663330078";"-47.06562805175781";"614.7";"-73";"13.800000190734863";"59286";"1775444688820"
"6";"2026-04-06 00:05:48";"22.64";"70";"947.0600000000001";"3740";"0";"-22.82221794128418";"-47.06564712524414";"612.2";"-73";"13.800000190734863";"59287";"1775444748823"
"7";"2026-04-06 00:06:48";"22.63";"70";"947.08";"3760";"0";"-22.82227897644043";"-47.065670013427734";"613.2";"-74";"13.5";"59288";"1775444808816"
"8";"2026-04-06 00:07:48";"22.62";"70";"947.1";"3720";"0";"-22.822275161743164";"-47.065643310546875";"617.4000000000001";"-73";"13.5";"59289";"1775444868821"
"9";"2026-04-06 00:08:48";"22.62";"70.5";"947.08";"3700";"0";"-22.822294235229492";"-47.06563186645508";"613.5";"-74";"13.300000190734863";"59290";"1775444928820"
"10";"2026-04-06 00:09:48";"22.61";"70.5";"947.0600000000001";"3740";"0";"-22.822261810302734";"-47.06563186645508";"614.5";"-74";"13.300000190734863";"59291";"1775444988821"
"11";"2026-04-06 00:10:48";"22.6";"70";"947.0600000000001";"3700";"0";"-22.822250366210938";"-47.065616607666016";"620.5";"-74";"13.800000190734863";"59292";"1775445048816"
"12";"2026-04-06 00:11:48";"22.59";"70.5";"947.04";"3720";"0";"-22.822269439697266";"-47.06562423706055";"621.9000000000001";"-74";"13.5";"59293";"1775445108819"
"13";"2026-04-06 00:12:48";"22.57";"70.5";"947";"3700";"0";"-22.822246551513672";"-47.06564712524414";"613.7";"-74";"13.300000190734863";"59294";"1775445168802"
