"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-05-24 00:09:01";"18.85";"70.5";"952.14";"3100";"";"-22.82216453552246";"-47.065677642822266";"603.7";"-94";"10.800000190734863";"17498";"1779592141816"
"2";"2026-05-24 00:19:01";"18.92";"70.5";"952.02";"3000";"";"-22.822158813476562";"-47.06563186645508";"609.2";"-90";"13";"17499";"1779592741824"
"3";"2026-05-24 00:29:01";"18.93";"70";"952.36";"2900";"";"-22.822120666503906";"-47.06563186645508";"617.9000000000001";"-91";"12.800000190734863";"17500";"1779593341827"
"4";"2026-05-24 00:39:01";"18.91";"70.5";"952.02";"2740";"";"-22.822162628173828";"-47.06563186645508";"619.2";"-88";"13";"17501";"1779593941820"
"5";"2026-05-24 00:49:01";"18.87";"70.5";"951.9";"2440";"";"-22.822113037109375";"-47.0656852722168";"620";"-90";"12.5";"17502";"1779594541809"
"6";"2026-05-24 02:21:16";"17.94";"72";"951.08";"2420";"";"";"";"";"-89";"12.800000190734863";"17503";"1779600076507"
"7";"2026-05-24 07:00:03";"16.93";"73.5";"951.38";"2400";"";"";"";"";"-89";"13.300000190734863";"17504";"1779616803813"
"8";"2026-05-24 23:02:29";"20.39";"71";"950.3000000000001";"2400";"";"";"";"";"-105";"5.800000190734863";"17505";"1779674549587"
