"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Lat","Lon"
"1","2026-05-24 00:07:49","19.03","91","1021","1.16","133","62","2.73","-22.8215","-47.0694"
"2","2026-05-24 00:17:49","19.18","91","1022","1.16","133","62","4.86","-22.8215","-47.0694"
"3","2026-05-24 00:27:49","19.18","91","1022","1.16","133","62","4.86","-22.8215","-47.0694"
"4","2026-05-24 00:37:49","19.18","91","1021","1.44","140","74","1.63","-22.8215","-47.0694"
"5","2026-05-24 00:47:49","19.18","91","1021","1.44","140","74","1.63","-22.8215","-47.0694"
"6","2026-05-24 00:57:49","19.18","91","1021","1.44","140","74","1.41","-22.8215","-47.0694"
"7","2026-05-24 01:07:49","19.18","91","1022","1.44","140","74","1.63","-22.8215","-47.0694"
"8","2026-05-24 01:17:49","19.18","91","1022","1.44","140","74","1.63","-22.8215","-47.0694"
"9","2026-05-24 01:27:49","19.18","91","1022","1.44","140","74","0.1","-22.8215","-47.0694"
"10","2026-05-24 01:37:49","18.62","92","1020","1.07","132","79","0","-22.8215","-47.0694"
"11","2026-05-24 01:47:49","18.62","92","1020","1.07","132","79","0","-22.8215","-47.0694"
"12","2026-05-24 01:57:49","18.62","92","1020","1.07","132","79","0","-22.8215","-47.0694"
"13","2026-05-24 02:07:49","18.62","92","1020","1.07","132","79","0","-22.8215","-47.0694"
"14","2026-05-24 02:17:49","18.62","92","1022","1.07","132","79","0","-22.8215","-47.0694"
"15","2026-05-24 02:27:49","18.62","92","1022","1.07","132","79","0","-22.8215","-47.0694"
"16","2026-05-24 02:37:49","18.62","93","1020","1.57","117","78","0","-22.8215","-47.0694"
"17","2026-05-24 02:47:49","18.62","93","1020","1.57","117","78","0","-22.8215","-47.0694"
"18","2026-05-24 02:57:49","18.62","93","1020","1.01","110","53","0","-22.8215","-47.0694"
"19","2026-05-24 03:07:49","18.62","93","1020","1.01","110","53","0","-22.8215","-47.0694"
"20","2026-05-24 03:17:49","18.62","93","1021","1.01","110","53","0","-22.8215","-47.0694"
"21","2026-05-24 03:27:49","18.62","93","1021","1.01","110","53","0","-22.8215","-47.0694"
"22","2026-05-24 03:37:49","18.62","94","1020","0.21","141","99","0","-22.8215","-47.0694"
"23","2026-05-24 03:47:49","18.62","94","1020","0.21","141","99","0","-22.8215","-47.0694"
"24","2026-05-24 03:57:49","18.62","94","1020","0.21","141","99","0","-22.8215","-47.0694"
"25","2026-05-24 04:07:49","18.62","94","1020","0.21","141","99","0","-22.8215","-47.0694"
"26","2026-05-24 04:17:49","18.62","94","1021","0.21","141","99","0","-22.8215","-47.0694"
"27","2026-05-24 04:27:49","18.62","94","1021","0.21","141","99","0","-22.8215","-47.0694"
"28","2026-05-24 04:37:49","18.07","95","1020","0.31","83","97","0","-22.8215","-47.0694"
"29","2026-05-24 04:47:49","18.07","95","1020","0.31","83","97","0","-22.8215","-47.0694"
"30","2026-05-24 04:57:49","18.07","95","1020","0.31","83","97","0","-22.8215","-47.0694"
"31","2026-05-24 05:07:49","18.07","95","1020","0.31","83","97","0","-22.8215","-47.0694"
"32","2026-05-24 05:17:49","18.07","95","1020","0.31","83","97","0","-22.8215","-47.0694"
"33","2026-05-24 05:27:49","18.07","95","1020","0.31","83","97","0","-22.8215","-47.0694"
"34","2026-05-24 05:37:49","17.51","97","1020","0.55","98","90","0","-22.8215","-47.0694"
"35","2026-05-24 05:47:49","17.51","97","1020","0.55","98","90","0","-22.8215","-47.0694"
"36","2026-05-24 05:57:49","17.51","97","1020","0.55","98","90","0","-22.8215","-47.0694"
"37","2026-05-24 06:07:49","17.51","97","1020","0.55","98","90","0","-22.8215","-47.0694"
"38","2026-05-24 06:17:49","17.51","97","1021","0.55","98","90","0","-22.8215","-47.0694"
"39","2026-05-24 06:27:49","17.51","97","1021","0.55","98","90","0","-22.8215","-47.0694"
"40","2026-05-24 06:37:49","17.51","94","1021","0.29","158","85","0","-22.8215","-47.0694"
"41","2026-05-24 06:47:49","17.51","94","1021","0.29","158","85","0","-22.8215","-47.0694"
"42","2026-05-24 06:57:49","17.51","94","1021","0.29","158","85","0","-22.8215","-47.0694"
"43","2026-05-24 07:07:49","17.51","94","1021","0.29","158","85","0","-22.8215","-47.0694"
"44","2026-05-24 07:17:49","17.51","94","1022","0.29","158","85","0","-22.8215","-47.0694"
"45","2026-05-24 07:27:49","17.51","94","1022","0.29","158","85","0","-22.8215","-47.0694"
"46","2026-05-24 07:37:49","17.32","91","1021","0.36","122","82","0","-22.8215","-47.0694"
"47","2026-05-24 07:47:49","17.32","91","1021","0.36","122","82","0","-22.8215","-47.0694"
"48","2026-05-24 07:57:49","17.32","90","1021","0.36","122","82","0","-22.8215","-47.0694"
"49","2026-05-24 08:07:49","17.32","90","1021","0.36","122","82","0","-22.8215","-47.0694"
"50","2026-05-24 08:17:49","18.32","88","1022","0.36","122","82","0","-22.8215","-47.0694"
"51","2026-05-24 08:27:49","18.32","88","1022","0.36","122","82","0","-22.8215","-47.0694"
"52","2026-05-24 08:37:49","18.32","85","1021","0.52","344","81","0","-22.8215","-47.0694"
"53","2026-05-24 08:47:49","18.32","85","1021","0.52","344","81","0","-22.8215","-47.0694"
"54","2026-05-24 08:57:49","18.32","85","1021","1.07","347","88","0","-22.8215","-47.0694"
"55","2026-05-24 09:07:49","18.32","85","1021","1.07","347","88","0","-22.8215","-47.0694"
"56","2026-05-24 09:17:49","20.32","85","1021","1.07","347","88","0","-22.8215","-47.0694"
"57","2026-05-24 09:27:49","20.32","85","1021","1.07","347","88","0","-22.8215","-47.0694"
"58","2026-05-24 09:37:49","20.32","75","1021","2.05","14","28","0","-22.8215","-47.0694"
"59","2026-05-24 09:47:49","20.32","75","1021","2.05","14","28","0","-22.8215","-47.0694"
"60","2026-05-24 09:57:49","20.32","73","1021","2.05","14","28","0","-22.8215","-47.0694"
"61","2026-05-24 10:07:49","20.32","73","1021","2.05","14","28","0","-22.8215","-47.0694"
"62","2026-05-24 10:17:49","21.32","67","1021","2.05","14","28","0","-22.8215","-47.0694"
"63","2026-05-24 10:27:49","21.32","67","1021","2.05","14","28","0","-22.8215","-47.0694"
"64","2026-05-24 10:37:49","24.18","59","1020","2.51","345","54","0","-22.8215","-47.0694"
"65","2026-05-24 10:47:49","24.18","59","1020","2.51","345","54","0","-22.8215","-47.0694"
"66","2026-05-24 10:57:49","25.01","57","1020","2.51","345","54","0","-22.8215","-47.0694"
"67","2026-05-24 11:07:49","24.81","57","1021","2.51","345","54","0","-22.8215","-47.0694"
"68","2026-05-24 11:17:49","24.81","57","1021","2.51","345","54","0","-22.8215","-47.0694"
"69","2026-05-24 11:27:49","24.81","57","1021","2.51","345","54","0","-22.8215","-47.0694"
"70","2026-05-24 11:37:49","23.32","62","1019","3.07","331","63","0","-22.8215","-47.0694"
"71","2026-05-24 11:47:49","25.96","50","1019","3.07","331","63","0","-22.8215","-47.0694"
"72","2026-05-24 11:57:49","25.96","50","1019","3.07","331","63","0","-22.8215","-47.0694"
"73","2026-05-24 12:07:49","26.62","52","1020","3.07","331","63","0","-22.8215","-47.0694"
"74","2026-05-24 12:17:49","26.62","52","1020","3.07","331","63","0","-22.8215","-47.0694"
"75","2026-05-24 12:27:49","26.62","52","1020","3.07","331","63","0","-22.8215","-47.0694"
"76","2026-05-24 12:37:49","26.62","52","1018","2.82","325","54","0","-22.8215","-47.0694"
"77","2026-05-24 12:47:49","26.62","52","1018","2.82","325","54","0","-22.8215","-47.0694"
"78","2026-05-24 12:57:49","26.62","51","1018","2.82","325","54","0","-22.8215","-47.0694"
"79","2026-05-24 13:07:49","26.87","50","1019","2.82","325","54","0","-22.8215","-47.0694"
"80","2026-05-24 13:17:49","26.87","50","1019","2.82","325","54","0","-22.8215","-47.0694"
"81","2026-05-24 13:27:49","27.29","49","1019","2.82","325","54","0","-22.8215","-47.0694"
"82","2026-05-24 13:37:49","27.29","49","1019","2.82","325","54","0","-22.8215","-47.0694"
"83","2026-05-24 13:47:49","26.21","56","1017","3.17","307","55","0","-22.8215","-47.0694"
"84","2026-05-24 13:57:49","26.21","56","1017","3.17","307","55","0","-22.8215","-47.0694"
"85","2026-05-24 14:07:49","26.21","56","1017","3.17","307","55","0","-22.8215","-47.0694"
"86","2026-05-24 14:17:49","26.03","56","1018","3.17","307","55","0","-22.8215","-47.0694"
"87","2026-05-24 14:27:49","26.4","56","1018","3.17","307","55","0","-22.8215","-47.0694"
"88","2026-05-24 14:37:49","24.66","61","1017","3.45","283","63","0","-22.8215","-47.0694"
"89","2026-05-24 14:47:49","24.66","61","1017","3.27","267","85","0","-22.8215","-47.0694"
"90","2026-05-24 14:57:49","24.66","61","1017","3.27","267","85","0","-22.8215","-47.0694"
"91","2026-05-24 15:07:49","24.66","61","1017","3.27","267","85","0","-22.8215","-47.0694"
"92","2026-05-24 15:17:49","24.66","61","1018","3.27","267","85","0","-22.8215","-47.0694"
"93","2026-05-24 15:27:49","24.66","61","1018","3.27","267","85","0","-22.8215","-47.0694"
"94","2026-05-24 15:37:49","24.21","65","1017","1.76","249","100","0","-22.8215","-47.0694"
"95","2026-05-24 15:47:49","24.21","65","1017","1.76","249","100","0","-22.8215","-47.0694"
"96","2026-05-24 15:57:49","24.21","65","1017","1.76","249","100","0","-22.8215","-47.0694"
"97","2026-05-24 16:07:49","24.21","65","1017","1.76","249","100","0","-22.8215","-47.0694"
"98","2026-05-24 16:17:49","24.21","65","1018","1.76","249","100","0","-22.8215","-47.0694"
"99","2026-05-24 16:27:49","24.21","65","1018","1.76","249","100","0","-22.8215","-47.0694"
"100","2026-05-24 16:37:49","23.62","69","1017","1.86","207","100","0","-22.8215","-47.0694"
"101","2026-05-24 16:47:49","23.62","69","1017","1.86","207","100","0","-22.8215","-47.0694"
"102","2026-05-24 16:57:49","23.62","69","1017","1.86","207","100","0","-22.8215","-47.0694"
"103","2026-05-24 17:07:49","23.62","69","1017","1.86","207","100","0","-22.8215","-47.0694"
"104","2026-05-24 17:17:49","23.62","69","1018","1.86","207","100","0","-22.8215","-47.0694"
"105","2026-05-24 17:27:49","23.62","69","1018","1.86","207","100","0","-22.8215","-47.0694"
"106","2026-05-24 17:37:49","23.07","73","1018","2.16","183","100","0","-22.8215","-47.0694"
"107","2026-05-24 17:47:49","23.07","73","1018","2.16","183","100","0","-22.8215","-47.0694"
"108","2026-05-24 17:57:49","23.07","73","1018","2.16","183","100","0","-22.8215","-47.0694"
"109","2026-05-24 18:07:49","23.07","73","1018","2.16","183","100","0","-22.8215","-47.0694"
"110","2026-05-24 18:17:49","23.07","73","1019","2.16","183","100","0","-22.8215","-47.0694"
"111","2026-05-24 18:27:49","23.07","73","1019","2.16","183","100","0","-22.8215","-47.0694"
"112","2026-05-24 18:37:49","23.32","81","1018","2.38","150","100","0","-22.8215","-47.0694"
"113","2026-05-24 18:47:49","23.32","81","1018","2.38","150","100","0","-22.8215","-47.0694"
"114","2026-05-24 18:57:49","23.32","81","1018","2.38","150","100","0","-22.8215","-47.0694"
"115","2026-05-24 19:07:49","23.32","75","1019","2.38","150","100","0","-22.8215","-47.0694"
"116","2026-05-24 19:17:49","23.32","77","1019","2.38","150","100","0","-22.8215","-47.0694"
"117","2026-05-24 19:27:49","23.32","77","1019","2.38","150","100","0","-22.8215","-47.0694"
"118","2026-05-24 19:37:49","23.32","84","1019","2.14","156","100","0","-22.8215","-47.0694"
