"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Lat","Lon"
"1","2026-05-19 00:07:49","18.07","88","1019","1.33","210","100","1.51","-22.8215","-47.0694"
"2","2026-05-19 00:17:49","18.07","88","1020","1.33","210","100","2.26","-22.8215","-47.0694"
"3","2026-05-19 00:27:49","18.07","88","1020","1.33","210","100","2.26","-22.8215","-47.0694"
"4","2026-05-19 00:37:49","17.51","90","1019","1.18","214","100","0.54","-22.8215","-47.0694"
"5","2026-05-19 00:47:49","17.51","90","1019","1.18","214","100","0.54","-22.8215","-47.0694"
"6","2026-05-19 00:57:49","17.51","90","1019","1.18","214","100","0","-22.8215","-47.0694"
"7","2026-05-19 01:07:49","17.51","90","1020","1.18","214","100","0.52","-22.8215","-47.0694"
"8","2026-05-19 01:17:49","17.51","90","1020","1.18","214","100","0.52","-22.8215","-47.0694"
"9","2026-05-19 01:27:49","18.07","88","1020","1.18","214","100","0","-22.8215","-47.0694"
"10","2026-05-19 01:37:49","18.07","88","1019","1.11","170","100","0","-22.8215","-47.0694"
"11","2026-05-19 01:47:49","18.07","88","1019","1.11","170","100","0","-22.8215","-47.0694"
"12","2026-05-19 01:57:49","18.07","88","1019","1.11","170","100","0","-22.8215","-47.0694"
"13","2026-05-19 02:07:49","18.07","88","1020","1.11","170","100","0","-22.8215","-47.0694"
"14","2026-05-19 02:17:49","18.07","88","1020","1.11","170","100","0","-22.8215","-47.0694"
"15","2026-05-19 02:27:49","16.96","90","1020","1.11","170","100","0","-22.8215","-47.0694"
"16","2026-05-19 02:37:49","16.96","90","1018","1.98","127","100","0","-22.8215","-47.0694"
"17","2026-05-19 02:47:49","16.96","90","1018","1.98","127","100","0","-22.8215","-47.0694"
"18","2026-05-19 02:57:49","16.96","90","1018","2.93","129","100","0","-22.8215","-47.0694"
"19","2026-05-19 03:07:49","16.96","90","1018","2.93","129","100","0","-22.8215","-47.0694"
"20","2026-05-19 03:17:49","17.2","90","1018","2.93","129","100","0","-22.8215","-47.0694"
"21","2026-05-19 03:27:49","17.2","90","1018","2.93","129","100","0","-22.8215","-47.0694"
"22","2026-05-19 03:37:49","17.51","89","1018","2.41","128","100","0","-22.8215","-47.0694"
"23","2026-05-19 03:47:49","17.51","89","1018","2.41","128","100","0","-22.8215","-47.0694"
"24","2026-05-19 03:57:49","17.51","89","1018","2.41","128","100","0","-22.8215","-47.0694"
"25","2026-05-19 04:07:49","17.51","89","1018","2.41","128","100","0","-22.8215","-47.0694"
"26","2026-05-19 04:17:49","17.51","89","1019","2.41","128","100","0","-22.8215","-47.0694"
"27","2026-05-19 04:27:49","17.51","89","1019","2.41","128","100","0","-22.8215","-47.0694"
"28","2026-05-19 04:37:49","16.96","90","1018","1.77","147","100","0","-22.8215","-47.0694"
"29","2026-05-19 04:47:49","16.96","90","1018","1.77","147","100","0","-22.8215","-47.0694"
"30","2026-05-19 04:57:49","16.96","90","1018","1.77","147","100","0","-22.8215","-47.0694"
"31","2026-05-19 05:07:49","16.96","90","1019","1.77","147","100","0","-22.8215","-47.0694"
"32","2026-05-19 05:17:49","16.96","90","1019","1.77","147","100","0","-22.8215","-47.0694"
"33","2026-05-19 05:27:49","16.96","90","1019","1.77","147","100","0","-22.8215","-47.0694"
"34","2026-05-19 05:37:49","17.51","88","1019","1.97","149","100","0","-22.8215","-47.0694"
"35","2026-05-19 05:47:49","17.51","88","1019","1.97","149","100","0","-22.8215","-47.0694"
"36","2026-05-19 05:57:49","17.51","88","1019","1.97","149","100","0","-22.8215","-47.0694"
"37","2026-05-19 06:07:49","17.51","88","1019","1.97","149","100","0","-22.8215","-47.0694"
"38","2026-05-19 06:17:49","17.48","88","1020","1.97","149","100","0","-22.8215","-47.0694"
"39","2026-05-19 06:27:49","17.48","88","1020","1.97","149","100","0","-22.8215","-47.0694"
"40","2026-05-19 06:37:49","17.48","88","1019","2.08","144","100","0","-22.8215","-47.0694"
"41","2026-05-19 06:47:49","17.48","88","1019","2.08","144","100","0","-22.8215","-47.0694"
"42","2026-05-19 06:57:49","17.48","88","1019","2.08","144","100","0","-22.8215","-47.0694"
"43","2026-05-19 07:07:49","17.48","88","1020","2.08","144","100","0","-22.8215","-47.0694"
"44","2026-05-19 07:17:49","17.48","88","1020","2.08","144","100","0","-22.8215","-47.0694"
"45","2026-05-19 07:27:49","17.48","88","1020","2.08","144","100","0","-22.8215","-47.0694"
"46","2026-05-19 07:37:49","17.48","86","1020","2.66","144","100","0","-22.8215","-47.0694"
"47","2026-05-19 07:47:49","17.48","86","1020","2.66","144","100","0","-22.8215","-47.0694"
"48","2026-05-19 07:57:49","17.48","86","1020","2.66","144","100","0","-22.8215","-47.0694"
"49","2026-05-19 08:07:49","17.66","86","1021","2.66","144","100","0","-22.8215","-47.0694"
"50","2026-05-19 08:17:49","17.66","86","1021","2.66","144","100","0","-22.8215","-47.0694"
"51","2026-05-19 08:27:49","18.57","82","1021","2.66","144","100","0","-22.8215","-47.0694"
"52","2026-05-19 08:37:49","18.57","82","1021","2.66","144","100","0","-22.8215","-47.0694"
"53","2026-05-19 08:47:49","18.57","82","1021","2.97","142","100","0","-22.8215","-47.0694"
"54","2026-05-19 08:57:49","18.57","82","1021","2.97","142","100","0","-22.8215","-47.0694"
"55","2026-05-19 09:07:49","18.57","82","1022","2.97","142","100","0","-22.8215","-47.0694"
"56","2026-05-19 09:17:49","18.57","82","1022","2.97","142","100","0","-22.8215","-47.0694"
"57","2026-05-19 09:27:49","18.32","85","1022","2.97","142","100","0","-22.8215","-47.0694"
"58","2026-05-19 09:37:49","18.32","85","1022","2.97","142","100","0","-22.8215","-47.0694"
"59","2026-05-19 09:47:49","18.32","81","1021","2.13","139","100","0","-22.8215","-47.0694"
"60","2026-05-19 09:57:49","18.32","81","1021","2.13","139","100","0","-22.8215","-47.0694"
"61","2026-05-19 10:07:49","19.32","78","1021","2.13","139","100","0","-22.8215","-47.0694"
"62","2026-05-19 10:17:49","19.32","78","1021","2.13","139","100","0","-22.8215","-47.0694"
"63","2026-05-19 10:27:49","19.32","79","1021","2.13","139","100","0","-22.8215","-47.0694"
"64","2026-05-19 10:37:49","19.32","78","1021","2.14","137","100","0","-22.8215","-47.0694"
"65","2026-05-19 10:47:49","19.32","78","1021","2.14","137","100","0","-22.8215","-47.0694"
