"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-04-11 00:00:08";"22.81";"53.5";"949.0600000000001";"3540";"";"";"";"";"-83";"13.300000190734863";"21863";"1775876408351"
"2";"2026-04-11 00:00:18";"22.81";"55.5";"949.04";"3540";"";"";"";"";"-83";"10.800000190734863";"21864";"1775876418336"
"3";"2026-04-11 00:00:28";"22.81";"53";"949.02";"3560";"";"";"";"";"-85";"12.300000190734863";"21865";"1775876428336"
"4";"2026-04-11 00:00:38";"22.81";"54.5";"949.0600000000001";"3540";"";"";"";"";"-84";"13.300000190734863";"21866";"1775876438331"
"5";"2026-04-11 00:00:48";"22.8";"56";"949.0600000000001";"3560";"";"";"";"";"-88";"12.5";"21867";"1775876448339"
"6";"2026-04-11 00:00:58";"22.79";"55";"949.04";"3540";"";"";"";"";"-86";"13.800000190734863";"21868";"1775876458329"
"7";"2026-04-11 00:01:08";"22.78";"56";"949.04";"3560";"";"";"";"";"-85";"12.300000190734863";"21869";"1775876468340"
"8";"2026-04-11 00:01:18";"22.78";"53.5";"949.04";"3560";"";"";"";"";"-83";"13.300000190734863";"21870";"1775876478337"
"9";"2026-04-11 00:01:28";"22.77";"52";"949.04";"3540";"";"";"";"";"-85";"10.800000190734863";"21871";"1775876488335"
"10";"2026-04-11 00:01:38";"22.78";"52.5";"949.0600000000001";"3520";"";"";"";"";"-83";"11";"21872";"1775876498397"
"11";"2026-04-11 00:01:48";"22.78";"52";"949.04";"3540";"";"";"";"";"-86";"13.300000190734863";"21873";"1775876508343"
"12";"2026-04-11 00:01:58";"22.79";"54.5";"949.0600000000001";"3540";"";"";"";"";"-85";"13";"21874";"1775876518344"
"13";"2026-04-11 00:02:08";"22.79";"55.5";"949.04";"3560";"";"";"";"";"-85";"13.300000190734863";"21875";"1775876528339"
"14";"2026-04-11 00:02:18";"22.79";"56.5";"949.08";"3520";"";"";"";"";"-81";"11.800000190734863";"21876";"1775876538330"
"15";"2026-04-11 00:02:28";"22.79";"53";"949.0600000000001";"3520";"";"";"";"";"-83";"13.300000190734863";"21877";"1775876548338"
"16";"2026-04-11 00:02:38";"22.79";"56.5";"949.0600000000001";"3560";"";"";"";"";"-84";"13.5";"21878";"1775876558346"
"17";"2026-04-11 00:02:48";"22.79";"53.5";"949.02";"3560";"";"";"";"";"-84";"13";"21879";"1775876568339"
"18";"2026-04-11 00:02:58";"22.79";"54.5";"949.04";"3520";"";"";"";"";"-82";"12.5";"21880";"1775876578326"
"19";"2026-04-11 00:03:08";"22.79";"54.5";"949.04";"3560";"";"";"";"";"-84";"13";"21881";"1775876588337"
"20";"2026-04-11 00:03:18";"22.79";"56.5";"949.04";"3560";"";"";"";"";"-83";"10.300000190734863";"21882";"1775876598338"
"21";"2026-04-11 00:03:28";"22.79";"54.5";"949.0600000000001";"3560";"";"";"";"";"-85";"13";"21883";"1775876608337"
"22";"2026-04-11 00:03:38";"22.8";"55";"949.04";"3540";"";"";"";"";"-83";"13.300000190734863";"21884";"1775876618341"
"23";"2026-04-11 00:03:48";"22.8";"56.5";"949.02";"3540";"";"";"";"";"-82";"12";"21885";"1775876628314"
"24";"2026-04-11 00:03:58";"22.81";"54";"949.04";"3520";"";"";"";"";"-84";"11.300000190734863";"21886";"1775876638341"
"25";"2026-04-11 00:04:08";"22.8";"55.5";"949.02";"3520";"";"";"";"";"-85";"12.800000190734863";"21887";"1775876648307"
"26";"2026-04-11 00:04:18";"22.8";"55";"949.04";"3520";"";"";"";"";"-83";"13.5";"21888";"1775876658341"
"27";"2026-04-11 00:04:28";"22.8";"52";"949.02";"3520";"";"";"";"";"-85";"12.300000190734863";"21889";"1775876668334"
"28";"2026-04-11 00:04:38";"22.8";"54.5";"949.04";"3540";"";"";"";"";"-85";"13.5";"21890";"1775876678340"
"29";"2026-04-11 00:04:48";"22.79";"54";"949";"3560";"";"";"";"";"-92";"10.800000190734863";"21891";"1775876688301"
"30";"2026-04-11 00:04:58";"22.79";"55.5";"948.98";"3540";"";"";"";"";"-86";"13.800000190734863";"21892";"1775876698342"
"31";"2026-04-11 00:05:08";"22.79";"53.5";"948.98";"3560";"";"";"";"";"-83";"13.5";"21893";"1775876708311"
