"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Lat","Lon"
"1","2026-06-03 00:07:49","14.73","80","1025","5.52","131","0","0","-22.8215","-47.0694"
"2","2026-06-03 00:17:49","14.73","80","1025","5.52","131","0","0","-22.8215","-47.0694"
"3","2026-06-03 00:27:49","14.73","80","1026","5.52","131","0","0","-22.8215","-47.0694"
"4","2026-06-03 00:37:49","14.73","80","1025","4.33","135","0","0","-22.8215","-47.0694"
"5","2026-06-03 00:47:49","14.73","80","1025","4.33","135","0","0","-22.8215","-47.0694"
"6","2026-06-03 00:57:49","14.73","80","1025","4.33","135","0","0","-22.8215","-47.0694"
"7","2026-06-03 01:07:49","14.73","80","1025","4.33","135","0","0","-22.8215","-47.0694"
"8","2026-06-03 01:17:49","14.73","83","1026","4.33","135","0","0","-22.8215","-47.0694"
"9","2026-06-03 01:27:49","14.73","83","1026","4.33","135","0","0","-22.8215","-47.0694"
"10","2026-06-03 01:37:49","14.73","83","1024","5.04","130","5","0","-22.8215","-47.0694"
"11","2026-06-03 01:47:49","14.73","83","1024","5.04","130","5","0","-22.8215","-47.0694"
"12","2026-06-03 01:57:49","14.73","83","1024","5.04","130","5","0","-22.8215","-47.0694"
"13","2026-06-03 02:07:49","14.73","83","1024","5.04","130","5","0","-22.8215","-47.0694"
"14","2026-06-03 02:17:49","14.73","83","1026","5.04","130","5","0","-22.8215","-47.0694"
"15","2026-06-03 02:27:49","14.73","83","1026","5.04","130","5","0","-22.8215","-47.0694"
"16","2026-06-03 02:37:49","14.73","83","1026","5.04","130","5","0","-22.8215","-47.0694"
"17","2026-06-03 02:47:49","14.73","83","1024","4.41","124","3","0","-22.8215","-47.0694"
"18","2026-06-03 02:57:49","14.73","83","1024","4.41","124","3","0","-22.8215","-47.0694"
"19","2026-06-03 03:07:49","14.18","84","1024","4.53","124","0","0","-22.8215","-47.0694"
"20","2026-06-03 03:17:49","14.18","84","1025","4.53","124","0","0","-22.8215","-47.0694"
"21","2026-06-03 03:27:49","14.18","84","1025","4.53","124","0","0","-22.8215","-47.0694"
"22","2026-06-03 03:37:49","14.18","84","1024","4.12","118","0","0","-22.8215","-47.0694"
"23","2026-06-03 03:47:49","14.18","84","1024","4.12","118","0","0","-22.8215","-47.0694"
"24","2026-06-03 03:57:49","14.18","84","1024","4.12","118","0","0","-22.8215","-47.0694"
"25","2026-06-03 04:07:49","14.18","84","1024","4.12","118","0","0","-22.8215","-47.0694"
"26","2026-06-03 04:17:49","13.62","84","1025","4.12","118","0","0","-22.8215","-47.0694"
"27","2026-06-03 04:27:49","13.62","84","1025","4.12","118","0","0","-22.8215","-47.0694"
"28","2026-06-03 04:37:49","13.62","84","1024","3.52","115","0","0","-22.8215","-47.0694"
"29","2026-06-03 04:47:49","13.62","84","1023","3.52","115","0","0","-22.8215","-47.0694"
"30","2026-06-03 04:57:49","13.62","84","1023","3.52","115","0","0","-22.8215","-47.0694"
"31","2026-06-03 05:07:49","13.62","84","1024","3.52","115","0","0","-22.8215","-47.0694"
"32","2026-06-03 05:17:49","13.62","84","1024","3.52","115","0","0","-22.8215","-47.0694"
"33","2026-06-03 05:27:49","13.62","84","1025","3.52","115","0","0","-22.8215","-47.0694"
"34","2026-06-03 05:37:49","13.62","84","1025","3.52","115","0","0","-22.8215","-47.0694"
"35","2026-06-03 05:47:49","13.62","84","1024","3.57","124","0","0","-22.8215","-47.0694"
"36","2026-06-03 05:57:49","13.62","84","1024","3.57","124","0","0","-22.8215","-47.0694"
"37","2026-06-03 06:07:49","13.62","86","1024","3.57","124","0","0","-22.8215","-47.0694"
"38","2026-06-03 06:17:49","13.62","86","1024","3.57","124","0","0","-22.8215","-47.0694"
"39","2026-06-03 06:27:49","13.62","86","1025","3.57","124","0","0","-22.8215","-47.0694"
"40","2026-06-03 06:37:49","13.62","86","1025","3.57","124","0","0","-22.8215","-47.0694"
"41","2026-06-03 06:47:49","13.62","86","1024","3.5","130","7","0","-22.8215","-47.0694"
"42","2026-06-03 06:57:49","13.62","86","1024","3.5","130","7","0","-22.8215","-47.0694"
"43","2026-06-03 07:07:49","13.62","86","1025","3.5","130","7","0","-22.8215","-47.0694"
"44","2026-06-03 07:17:49","13.62","86","1025","3.5","130","7","0","-22.8215","-47.0694"
"45","2026-06-03 07:27:49","13.62","86","1026","3.5","130","7","0","-22.8215","-47.0694"
"46","2026-06-03 07:37:49","13.62","86","1026","3.5","130","7","0","-22.8215","-47.0694"
"47","2026-06-03 07:47:49","13.62","86","1025","3.84","120","15","0","-22.8215","-47.0694"
"48","2026-06-03 07:57:49","13.62","86","1025","3.84","120","15","0","-22.8215","-47.0694"
"49","2026-06-03 08:07:49","14.73","80","1026","3.84","120","15","0","-22.8215","-47.0694"
"50","2026-06-03 08:17:49","14.73","80","1027","3.84","120","15","0","-22.8215","-47.0694"
"51","2026-06-03 08:27:49","14.73","80","1027","3.84","120","15","0","-22.8215","-47.0694"
"52","2026-06-03 08:37:49","14.73","80","1027","3.84","120","15","0","-22.8215","-47.0694"
"53","2026-06-03 08:47:49","14.73","80","1026","4.01","113","19","0","-22.8215","-47.0694"
"54","2026-06-03 08:57:49","14.73","80","1026","4.01","113","19","0","-22.8215","-47.0694"
"55","2026-06-03 09:07:49","22.83","76","1026","4.12","114","27","0","-22.8215","-47.0694"
"56","2026-06-03 09:17:49","22.83","76","1026","4.12","114","27","0","-22.8215","-47.0694"
"57","2026-06-03 09:27:49","21.64","57","1025","4.12","114","27","0","-22.8215","-47.0694"
"58","2026-06-03 09:37:49","21.67","58","1025","4.14","117","67","0","-22.8215","-47.0694"
"59","2026-06-03 09:47:49","21.67","58","1025","4.14","117","67","0","-22.8215","-47.0694"
"60","2026-06-03 09:57:49","21.67","58","1025","4.14","117","67","0","-22.8215","-47.0694"
"61","2026-06-03 10:07:49","21.67","58","1025","4.14","117","67","0","-22.8215","-47.0694"
"62","2026-06-03 10:17:49","22.49","52","1025","4.14","117","67","0","-22.8215","-47.0694"
"63","2026-06-03 10:27:49","22.49","52","1025","4.14","117","67","0","-22.8215","-47.0694"
