"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-05-13 00:32:07";"11.54";"83";"949.98";"3680";"";"-22.819549560546875";"-47.071067810058594";"599.5";"-103";"0";"14522";"1778643127185"
"2";"2026-05-13 00:35:07";"11.43";"83";"950.02";"3680";"";"-22.81951904296875";"-47.07109451293945";"600.5";"-104";"-0.30000001192092896";"14525";"1778643307197"
"3";"2026-05-13 01:05:07";"10.71";"87";"950.1";"3660";"";"-22.819534301757812";"-47.07106018066406";"598.9";"-104";"1";"14555";"1778645107189"
"4";"2026-05-13 02:20:06";"9.72";"89";"949.5";"3660";"";"-22.81956672668457";"-47.0710563659668";"602.7";"-106";"1.2999999523162842";"14630";"1778649606169"
"5";"2026-05-13 02:21:07";"9.69";"89.5";"949.54";"3640";"";"-22.81955337524414";"-47.07111740112305";"608.7";"-103";"-0.5";"14631";"1778649667193"
"6";"2026-05-13 02:38:07";"9.86";"90";"949.4";"3640";"";"-22.819561004638672";"-47.07107162475586";"602.5";"-103";"0.5";"14648";"1778650687194"
"7";"2026-05-13 02:44:06";"9.58";"88.5";"949.4";"3640";"";"-22.81956672668457";"-47.07108688354492";"595.5";"-84";"-20";"14654";"1778651046191"
"8";"2026-05-13 03:14:07";"9.32";"90.5";"949.46";"3620";"";"-22.819522857666016";"-47.071128845214844";"601.5";"-103";"0.5";"14684";"1778652847201"
"9";"2026-05-13 03:16:07";"9.35";"90.5";"949.4200000000001";"3620";"";"-22.819528579711914";"-47.07109069824219";"597.5";"-103";"0.800000011920929";"14686";"1778652967204"
"10";"2026-05-13 03:17:07";"9.47";"91";"949.36";"3640";"";"-22.819543838500977";"-47.071109771728516";"596.2";"-101";"-2.799999952316284";"14687";"1778653027195"
"11";"2026-05-13 03:18:07";"9.58";"91";"949.4";"3620";"";"-22.819547653198242";"-47.071102142333984";"600.9";"-103";"1";"14688";"1778653087237"
