"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-03-11 01:32:49","25.43","34.5","1013.24","2000","40000","","","","-113","-5.800000190734863","56631","1773203569245"
"2","2026-03-11 01:32:59","25.44","35","1013.22","2020","44000","","","","-113","-4.5","56632","1773203579135"
"3","2026-03-11 01:33:09","25.45","35.5","1013.2","2040","48000","","","","-113","-5.800000190734863","56633","1773203589146"
"4","2026-03-11 01:33:19","25.46","36","1013.1800000000001","2060","52000","","","","-114","-6.800000190734863","56634","1773203599141"
"5","2026-03-11 01:33:29","25.47","36.5","1013.16","2080","56000","","","","-114","-8","56635","1773203609149"
"6","2026-03-11 01:33:39","22.66","63","944.5600000000001","2580","0","","","","-114","-7.800000190734863","56636","1773203619145"
"7","2026-03-11 01:33:49","22.66","63","944.5600000000001","2580","0","","","","-114","-9","56637","1773203629150"
"8","2026-03-11 01:34:09","22.66","63","944.5600000000001","2540","0","","","","-114","-7.800000190734863","56639","1773203649155"
"9","2026-03-11 01:34:19","22.67","63","944.58","2560","0","","","","-114","-9","56640","1773203659138"
"10","2026-03-11 01:34:39","22.67","63","944.5600000000001","2540","0","","","","-114","-7.300000190734863","56642","1773203679146"
"11","2026-03-11 01:34:49","22.67","63","944.54","2500","0","","","","-114","-7.300000190734863","56643","1773203689146"
"12","2026-03-11 01:35:09","22.66","63","944.5600000000001","2480","0","","","","-114","-6.800000190734863","56645","1773203709139"
"13","2026-03-11 01:35:29","22.67","63","944.5600000000001","2460","0","","","","-113","-6.300000190734863","56647","1773203729111"
"14","2026-03-11 01:35:49","22.67","63","944.5600000000001","2460","0","","","","-113","-4.300000190734863","56649","1773203749137"
"15","2026-03-11 01:35:59","22.67","63","944.5600000000001","2420","0","","","","-113","-4.800000190734863","56650","1773203759137"
"16","2026-03-11 01:36:09","22.67","63","944.5600000000001","2420","0","","","","-113","-6","56651","1773203769147"
"17","2026-03-11 01:36:19","22.67","63","944.54","2380","0","","","","-113","-4.800000190734863","56652","1773203779143"
"18","2026-03-11 01:36:29","22.67","63","944.5600000000001","2360","0","","","","-114","-8","56653","1773203789137"
"19","2026-03-11 01:36:39","22.68","63","944.54","2340","0","","","","-114","-8.5","56654","1773203799105"
"20","2026-03-11 04:25:46","25.44","35","1013.22","2020","44000","","","","-113","-5.5","56658","1773213946659"
"21","2026-03-11 04:25:56","25.45","35.5","1013.2","2040","48000","","","","-114","-7.300000190734863","56659","1773213956655"
"22","2026-03-11 04:26:06","25.46","36","1013.1800000000001","2060","52000","","","","-114","-8.800000190734863","56660","1773213966658"
"23","2026-03-11 04:26:16","25.47","36.5","1013.16","2080","56000","","","","-114","-8.5","56661","1773213976657"
"24","2026-03-11 04:26:26","22.27","64","943.9","2580","0","","","","-113","-7.300000190734863","56662","1773213986657"
"25","2026-03-11 04:26:36","22.28","64","943.94","2580","0","","","","-113","-5.800000190734863","56663","1773213996651"
"26","2026-03-11 04:26:56","22.28","64","943.9200000000001","2580","0","","","","-114","-10.5","56665","1773214016655"
"27","2026-03-11 04:27:06","22.28","64","943.94","2540","0","","","","-114","-8.800000190734863","56666","1773214026648"
"28","2026-03-11 04:27:26","22.28","64","943.9200000000001","2560","0","","","","-113","-8","56668","1773214046653"
"29","2026-03-11 04:27:36","22.29","64","943.94","2500","0","","","","-113","-7.5","56669","1773214056659"
"30","2026-03-11 04:28:26","22.29","64","943.9","2440","0","","","","-114","-9","56674","1773214106659"
"31","2026-03-11 04:28:36","22.29","64","943.9200000000001","2440","0","","","","-114","-9.5","56675","1773214116652"
"32","2026-03-11 04:28:46","22.3","64","943.96","2400","0","","","","-114","-9","56676","1773214126663"
"33","2026-03-11 04:28:56","22.3","64","943.9","2400","0","","","","-113","-7.5","56677","1773214136650"
"34","2026-03-11 04:29:26","22.3","64","943.9200000000001","2320","0","","","","-113","-6.800000190734863","56680","1773214166658"
"35","2026-03-11 04:29:36","22.31","64","943.9200000000001","2340","0","","","","-114","-8.800000190734863","56681","1773214176648"
"36","2026-03-11 08:18:54","25.44","35","1013.22","2020","44000","","","","-114","-8.5","56683","1773227934196"
"37","2026-03-11 08:19:14","25.46","36","1013.1800000000001","2060","52000","","","","-113","-3.5","56685","1773227954195"
"38","2026-03-11 08:19:24","25.47","36.5","1013.16","2080","56000","","","","-113","-4.5","56686","1773227964198"
"39","2026-03-11 08:19:34","22.59","63","945.36","2580","396","","","","-114","-4.5","56687","1773227974182"
"40","2026-03-11 08:19:44","22.6","63","945.36","2560","396","","","","-114","-6.300000190734863","56688","1773227984194"
"41","2026-03-11 08:19:54","22.6","63","945.36","2580","396","","","","-113","-3.299999952316284","56689","1773227994242"
"42","2026-03-11 08:20:14","22.62","63","945.36","2540","388","","","","-113","-4","56691","1773228014192"
"43","2026-03-11 08:20:24","22.62","63","945.4","2560","396","","","","-114","-7","56692","1773228024185"
"44","2026-03-11 08:20:34","22.63","63","945.4","2540","400","","","","-114","-7.300000190734863","56693","1773228034187"
"45","2026-03-11 08:20:54","22.64","63","945.4","2480","392","","","","-113","-4.800000190734863","56695","1773228054189"
"46","2026-03-11 08:21:14","22.65","63","945.38","2480","396","","","","-114","-6.800000190734863","56697","1773228074185"
"47","2026-03-11 08:21:24","22.66","63","945.36","2460","392","","","","-114","-3.799999952316284","56698","1773228084195"
"48","2026-03-11 08:21:34","22.67","63","945.36","2420","392","","","","-114","-6.5","56699","1773228094195"
"49","2026-03-11 08:21:54","22.68","63","945.36","2400","396","","","","-114","-4.300000190734863","56701","1773228114195"
"50","2026-03-11 08:22:04","22.69","63","945.36","2400","400","","","","-114","-3.799999952316284","56702","1773228124191"
"51","2026-03-11 08:22:14","22.69","63","945.38","2360","388","","","","-114","-5.800000190734863","56703","1773228134194"
