"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Latitude (°)","Longitude (°)"
"1","2026-06-07 00:07:49","14.58","74","1020","1.15","101","0","0","-22.8215","-47.0694"
"2","2026-06-07 00:17:49","14.51","75","1020","1.15","101","0","0","-22.8215","-47.0694"
"3","2026-06-07 00:27:49","14.51","75","1020","1.15","101","0","0","-22.8215","-47.0694"
"4","2026-06-07 00:37:49","14.05","74","1019","0.99","95","0","0","-22.8215","-47.0694"
"5","2026-06-07 00:47:49","14.05","74","1019","0.99","95","0","0","-22.8215","-47.0694"
"6","2026-06-07 00:57:49","14.04","74","1019","0.99","95","0","0","-22.8215","-47.0694"
"7","2026-06-07 01:07:49","14.04","74","1019","0.99","95","0","0","-22.8215","-47.0694"
"8","2026-06-07 01:17:49","13.92","77","1020","0.99","95","0","0","-22.8215","-47.0694"
"9","2026-06-07 01:27:49","13.92","77","1020","0.99","95","0","0","-22.8215","-47.0694"
"10","2026-06-07 01:37:49","13.15","76","1019","1.12","85","0","0","-22.8215","-47.0694"
"11","2026-06-07 01:47:49","13.12","76","1019","1.12","85","0","0","-22.8215","-47.0694"
"12","2026-06-07 01:57:49","13.12","76","1019","1.12","85","0","0","-22.8215","-47.0694"
"13","2026-06-07 02:07:49","13.12","76","1019","1.12","85","0","0","-22.8215","-47.0694"
"14","2026-06-07 02:17:49","13.08","78","1019","1.12","85","0","0","-22.8215","-47.0694"
"15","2026-06-07 02:27:49","13.08","78","1019","1.12","85","0","0","-22.8215","-47.0694"
"16","2026-06-07 02:37:49","12.93","77","1019","1.26","89","0","0","-22.8215","-47.0694"
"17","2026-06-07 02:47:49","12.93","77","1019","1.26","89","0","0","-22.8215","-47.0694"
"18","2026-06-07 02:57:49","12.9","77","1019","1.26","89","0","0","-22.8215","-47.0694"
"19","2026-06-07 03:07:49","12.9","79","1019","1.26","89","0","0","-22.8215","-47.0694"
"20","2026-06-07 03:17:49","12.9","79","1019","1.26","89","0","0","-22.8215","-47.0694"
"21","2026-06-07 03:27:49","12.87","79","1019","1.26","89","0","0","-22.8215","-47.0694"
"22","2026-06-07 03:37:49","12.87","79","1019","1.26","89","0","0","-22.8215","-47.0694"
"23","2026-06-07 03:47:49","12.39","79","1018","1.27","92","1","0","-22.8215","-47.0694"
"24","2026-06-07 03:57:49","12.39","79","1018","1.27","92","1","0","-22.8215","-47.0694"
"25","2026-06-07 04:07:49","12.41","80","1019","1.27","92","1","0","-22.8215","-47.0694"
"26","2026-06-07 04:17:49","12.35","81","1019","1.27","92","1","0","-22.8215","-47.0694"
"27","2026-06-07 04:27:49","12.35","81","1019","1.27","92","1","0","-22.8215","-47.0694"
"28","2026-06-07 04:37:49","12.33","81","1018","1.21","87","3","0","-22.8215","-47.0694"
"29","2026-06-07 04:47:49","12.33","81","1018","1.21","87","3","0","-22.8215","-47.0694"
"30","2026-06-07 04:57:49","12.25","81","1018","1.21","87","3","0","-22.8215","-47.0694"
"31","2026-06-07 05:07:49","12.25","81","1018","1.21","87","3","0","-22.8215","-47.0694"
"32","2026-06-07 05:17:49","12.2","82","1019","1.21","87","3","0","-22.8215","-47.0694"
"33","2026-06-07 05:27:49","12.2","82","1019","1.21","87","3","0","-22.8215","-47.0694"
"34","2026-06-07 05:37:49","12.2","82","1019","1.21","87","3","0","-22.8215","-47.0694"
"35","2026-06-07 05:47:49","11.83","82","1019","1.19","85","3","0","-22.8215","-47.0694"
"36","2026-06-07 05:57:49","11.83","82","1019","1.19","85","3","0","-22.8215","-47.0694"
"37","2026-06-07 06:07:49","11.77","83","1019","1.19","85","3","0","-22.8215","-47.0694"
"38","2026-06-07 06:17:49","11.77","83","1019","1.19","85","3","0","-22.8215","-47.0694"
"39","2026-06-07 06:27:49","11.75","83","1019","1.19","85","3","0","-22.8215","-47.0694"
"40","2026-06-07 06:37:49","11.96","81","1019","1.21","93","9","0","-22.8215","-47.0694"
"41","2026-06-07 06:47:49","11.96","81","1019","1.21","93","9","0","-22.8215","-47.0694"
"42","2026-06-07 06:57:49","11.93","81","1019","1.21","93","9","0","-22.8215","-47.0694"
"43","2026-06-07 07:07:49","11.93","81","1019","1.21","93","9","0","-22.8215","-47.0694"
"44","2026-06-07 07:17:49","12.1","81","1019","1.21","93","9","0","-22.8215","-47.0694"
"45","2026-06-07 07:27:49","12.1","81","1019","1.21","93","9","0","-22.8215","-47.0694"
"46","2026-06-07 07:37:49","13.28","72","1020","0.87","82","23","0","-22.8215","-47.0694"
"47","2026-06-07 07:47:49","13.52","70","1020","0.87","82","23","0","-22.8215","-47.0694"
"48","2026-06-07 07:57:49","13.52","70","1020","0.87","82","23","0","-22.8215","-47.0694"
"49","2026-06-07 08:07:49","14.08","60","1020","0.87","82","23","0","-22.8215","-47.0694"
"50","2026-06-07 08:17:49","14.08","60","1020","0.87","82","23","0","-22.8215","-47.0694"
"51","2026-06-07 08:27:49","14.03","53","1019","0.87","82","23","0","-22.8215","-47.0694"
"52","2026-06-07 08:37:49","14.03","53","1019","0.87","82","23","0","-22.8215","-47.0694"
"53","2026-06-07 08:47:49","22.25","54","1020","0.78","27","28","0","-22.8215","-47.0694"
"54","2026-06-07 08:57:49","22.25","54","1020","0.74","25","24","0","-22.8215","-47.0694"
"55","2026-06-07 09:07:49","22.25","54","1020","0.74","25","24","0","-22.8215","-47.0694"
"56","2026-06-07 09:17:49","21.6","51","1020","0.74","25","24","0","-22.8215","-47.0694"
"57","2026-06-07 09:27:49","21.6","51","1020","0.74","25","24","0","-22.8215","-47.0694"
"58","2026-06-07 09:37:49","23.68","50","1020","0.92","356","10","0","-22.8215","-47.0694"
"59","2026-06-07 09:47:49","23.87","49","1020","0.92","356","10","0","-22.8215","-47.0694"
"60","2026-06-07 09:57:49","23.87","49","1020","0.92","356","10","0","-22.8215","-47.0694"
"61","2026-06-07 10:07:49","23.87","49","1020","0.92","356","10","0","-22.8215","-47.0694"
"62","2026-06-07 10:17:49","20.72","50","1020","0.92","356","10","0","-22.8215","-47.0694"
"63","2026-06-07 10:27:49","20.72","50","1020","0.92","356","10","0","-22.8215","-47.0694"
"64","2026-06-07 10:37:49","20.72","49","1020","1.69","311","8","0","-22.8215","-47.0694"
