"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Lat","Lon"
"1","2026-05-20 00:07:49","16.96","86","1020","2.7","123","100","0","-22.8215","-47.0694"
"2","2026-05-20 00:17:49","16.96","86","1021","2.7","123","100","0","-22.8215","-47.0694"
"3","2026-05-20 00:27:49","16.96","86","1021","2.7","123","100","0","-22.8215","-47.0694"
"4","2026-05-20 00:37:49","16.96","85","1020","2.89","132","100","0","-22.8215","-47.0694"
"5","2026-05-20 00:47:49","16.96","85","1020","2.89","132","100","0","-22.8215","-47.0694"
"6","2026-05-20 00:57:49","16.96","85","1020","2.89","132","100","0","-22.8215","-47.0694"
"7","2026-05-20 01:07:49","16.96","85","1020","2.89","132","100","0","-22.8215","-47.0694"
"8","2026-05-20 01:17:49","16.96","85","1021","2.89","132","100","0","-22.8215","-47.0694"
"9","2026-05-20 01:27:49","16.96","85","1021","2.89","132","100","0","-22.8215","-47.0694"
"10","2026-05-20 01:37:49","16.96","86","1020","2.93","117","100","0","-22.8215","-47.0694"
"11","2026-05-20 01:47:49","16.96","86","1020","2.93","117","100","0","-22.8215","-47.0694"
"12","2026-05-20 01:57:49","16.96","86","1020","2.93","117","100","0","-22.8215","-47.0694"
"13","2026-05-20 02:07:49","17.03","86","1021","2.93","117","100","0","-22.8215","-47.0694"
"14","2026-05-20 02:17:49","17.03","86","1021","2.93","117","100","0","-22.8215","-47.0694"
"15","2026-05-20 02:27:49","17.03","86","1021","2.93","117","100","0","-22.8215","-47.0694"
"16","2026-05-20 02:37:49","17.03","86","1021","2.93","117","100","0","-22.8215","-47.0694"
"17","2026-05-20 02:47:49","17.03","84","1020","1.55","106","86","0","-22.8215","-47.0694"
"18","2026-05-20 02:57:49","17.03","84","1020","1.55","106","86","0","-22.8215","-47.0694"
"19","2026-05-20 03:07:49","16.85","84","1020","1.55","106","86","0","-22.8215","-47.0694"
"20","2026-05-20 03:17:49","16.85","84","1020","1.55","106","86","0","-22.8215","-47.0694"
"21","2026-05-20 03:27:49","16.85","84","1021","1.55","106","86","0","-22.8215","-47.0694"
"22","2026-05-20 03:37:49","16.85","84","1021","1.55","106","86","0","-22.8215","-47.0694"
"23","2026-05-20 03:47:49","16.96","83","1020","1.9","178","0","0","-22.8215","-47.0694"
"24","2026-05-20 03:57:49","16.96","83","1020","1.9","178","0","0","-22.8215","-47.0694"
"25","2026-05-20 04:07:49","16.96","83","1021","1.9","178","0","0","-22.8215","-47.0694"
"26","2026-05-20 04:17:49","16.96","83","1021","1.9","178","0","0","-22.8215","-47.0694"
"27","2026-05-20 04:27:49","16.96","83","1020","1.9","178","0","0","-22.8215","-47.0694"
"28","2026-05-20 04:37:49","16.4","85","1019","1.68","138","3","0","-22.8215","-47.0694"
"29","2026-05-20 04:47:49","16.4","85","1019","1.68","138","3","0","-22.8215","-47.0694"
"30","2026-05-20 04:57:49","16.4","85","1019","1.68","138","3","0","-22.8215","-47.0694"
"31","2026-05-20 05:07:49","16.4","85","1020","1.68","138","3","0","-22.8215","-47.0694"
"32","2026-05-20 05:17:49","16.4","85","1019","1.68","138","3","0","-22.8215","-47.0694"
"33","2026-05-20 05:27:49","16.4","85","1019","1.68","138","3","0","-22.8215","-47.0694"
"34","2026-05-20 05:37:49","16.4","85","1019","1.68","138","3","0","-22.8215","-47.0694"
"35","2026-05-20 05:47:49","16.4","87","1019","1.28","128","3","0","-22.8215","-47.0694"
"36","2026-05-20 05:57:49","16.4","87","1019","1.28","128","3","0","-22.8215","-47.0694"
"37","2026-05-20 06:07:49","16.4","87","1019","1.28","128","3","0","-22.8215","-47.0694"
"38","2026-05-20 06:17:49","16.4","87","1020","1.28","128","3","0","-22.8215","-47.0694"
"39","2026-05-20 06:27:49","16.4","87","1020","1.28","128","3","0","-22.8215","-47.0694"
"40","2026-05-20 06:37:49","16.4","87","1020","1.28","128","3","0","-22.8215","-47.0694"
"41","2026-05-20 06:47:49","16.4","85","1020","1.12","185","7","0","-22.8215","-47.0694"
"42","2026-05-20 06:57:49","16.4","85","1020","1.12","185","7","0","-22.8215","-47.0694"
"43","2026-05-20 07:07:49","16.57","85","1020","1.12","185","7","0","-22.8215","-47.0694"
"44","2026-05-20 07:17:49","16.57","85","1020","1.12","185","7","0","-22.8215","-47.0694"
"45","2026-05-20 07:27:49","16.4","85","1021","1.12","185","7","0","-22.8215","-47.0694"
"46","2026-05-20 07:37:49","16.4","85","1021","1.12","185","7","0","-22.8215","-47.0694"
"47","2026-05-20 07:47:49","17.51","83","1021","0.83","211","12","0","-22.8215","-47.0694"
"48","2026-05-20 07:57:49","17.51","83","1021","0.83","211","12","0.26","-22.8215","-47.0694"
"49","2026-05-20 08:07:49","17.51","83","1021","0.83","211","12","0.18","-22.8215","-47.0694"
"50","2026-05-20 08:17:49","17.51","83","1021","0.83","211","12","0.18","-22.8215","-47.0694"
"51","2026-05-20 08:27:49","17.51","83","1021","0.83","211","12","0","-22.8215","-47.0694"
"52","2026-05-20 08:37:49","18.07","84","1021","0.9","176","28","0.2","-22.8215","-47.0694"
"53","2026-05-20 08:47:49","18.07","84","1021","0.9","176","28","0.2","-22.8215","-47.0694"
"54","2026-05-20 08:57:49","18.07","84","1021","0.9","176","28","0","-22.8215","-47.0694"
"55","2026-05-20 09:07:49","18.07","84","1021","0.9","176","28","0","-22.8215","-47.0694"
"56","2026-05-20 09:17:49","17.94","84","1022","0.9","176","28","0","-22.8215","-47.0694"
"57","2026-05-20 09:27:49","17.94","84","1022","0.9","176","28","0","-22.8215","-47.0694"
"58","2026-05-20 09:37:49","17.32","79","1021","0.86","228","50","0","-22.8215","-47.0694"
"59","2026-05-20 09:47:49","17.32","79","1021","0.86","228","50","0","-22.8215","-47.0694"
"60","2026-05-20 09:57:49","18.32","79","1021","0.86","228","50","0","-22.8215","-47.0694"
"61","2026-05-20 10:07:49","18.32","79","1021","0.86","228","50","0","-22.8215","-47.0694"
"62","2026-05-20 10:17:49","18.32","79","1021","0.86","228","50","0","-22.8215","-47.0694"
"63","2026-05-20 10:27:49","18.32","79","1021","0.86","228","50","0","-22.8215","-47.0694"
"64","2026-05-20 10:37:49","18.32","74","1021","1.45","281","68","0","-22.8215","-47.0694"
"65","2026-05-20 10:47:49","18.32","74","1021","1.45","281","68","0","-22.8215","-47.0694"
"66","2026-05-20 10:57:49","18.32","73","1021","1.45","281","68","0","-22.8215","-47.0694"
"67","2026-05-20 11:07:49","18.32","73","1021","1.45","281","68","0","-22.8215","-47.0694"
"68","2026-05-20 11:17:49","18.32","72","1021","1.45","281","68","0","-22.8215","-47.0694"
"69","2026-05-20 11:27:49","18.32","72","1021","1.45","281","68","0","-22.8215","-47.0694"
"70","2026-05-20 11:37:49","23.07","65","1020","1.44","292","78","0","-22.8215","-47.0694"
"71","2026-05-20 11:47:49","23.07","65","1020","1.44","292","78","0","-22.8215","-47.0694"
"72","2026-05-20 11:57:49","19.32","70","1020","1.44","292","78","0","-22.8215","-47.0694"
"73","2026-05-20 12:07:49","20.32","71","1021","1.44","292","78","0","-22.8215","-47.0694"
"74","2026-05-20 12:17:49","20.32","72","1021","1.44","292","78","0","-22.8215","-47.0694"
"75","2026-05-20 12:27:49","20.32","72","1021","1.44","292","78","0","-22.8215","-47.0694"
"76","2026-05-20 12:37:49","20.32","66","1019","2.46","279","82","0","-22.8215","-47.0694"
"77","2026-05-20 12:47:49","20.32","66","1019","2.46","279","82","0","-22.8215","-47.0694"
"78","2026-05-20 12:57:49","23.62","61","1019","2.46","279","82","0","-22.8215","-47.0694"
"79","2026-05-20 13:07:49","23.62","61","1019","2.46","279","82","0","-22.8215","-47.0694"
"80","2026-05-20 13:17:49","23.21","61","1020","2.46","279","82","0","-22.8215","-47.0694"
"81","2026-05-20 13:27:49","23.21","61","1020","2.46","279","82","0","-22.8215","-47.0694"
"82","2026-05-20 13:37:49","23.21","61","1020","2.46","279","82","0","-22.8215","-47.0694"
"83","2026-05-20 13:47:49","24.73","57","1018","2.99","264","83","0","-22.8215","-47.0694"
"84","2026-05-20 13:57:49","24.13","57","1018","2.99","264","83","0","-22.8215","-47.0694"
"85","2026-05-20 14:07:49","21.32","62","1019","2.99","264","83","0","-22.8215","-47.0694"
"86","2026-05-20 14:17:49","21.32","62","1019","2.99","264","83","0","-22.8215","-47.0694"
"87","2026-05-20 14:27:49","24.13","57","1019","2.99","264","83","0","-22.8215","-47.0694"
"88","2026-05-20 14:37:49","23.67","56","1018","3.56","242","85","0","-22.8215","-47.0694"
"89","2026-05-20 14:47:49","23.67","56","1018","3.56","242","85","0","-22.8215","-47.0694"
"90","2026-05-20 14:57:49","21.32","62","1018","3.83","236","57","0","-22.8215","-47.0694"
"91","2026-05-20 15:07:49","23.85","56","1018","3.83","236","57","0","-22.8215","-47.0694"
"92","2026-05-20 15:17:49","23.85","56","1018","3.83","236","57","0","-22.8215","-47.0694"
"93","2026-05-20 15:27:49","23.85","56","1018","3.83","236","57","0","-22.8215","-47.0694"
"94","2026-05-20 15:37:49","23.07","57","1018","3.49","229","91","0","-22.8215","-47.0694"
"95","2026-05-20 15:47:49","23.07","57","1018","3.49","229","91","0","-22.8215","-47.0694"
"96","2026-05-20 15:57:49","23.07","57","1018","3.49","229","91","0","-22.8215","-47.0694"
"97","2026-05-20 16:07:49","22.76","57","1019","3.49","229","91","0","-22.8215","-47.0694"
"98","2026-05-20 16:17:49","22.76","57","1019","3.49","229","91","0","-22.8215","-47.0694"
"99","2026-05-20 16:27:49","22.76","57","1019","3.49","229","91","0","-22.8215","-47.0694"
"100","2026-05-20 16:37:49","22.76","57","1019","3.49","229","91","0","-22.8215","-47.0694"
"101","2026-05-20 16:47:49","21.39","62","1019","2.8","209","98","0","-22.8215","-47.0694"
"102","2026-05-20 16:57:49","21.39","62","1019","2.8","209","98","0","-22.8215","-47.0694"
"103","2026-05-20 17:07:49","21.39","62","1019","2.8","209","98","0","-22.8215","-47.0694"
"104","2026-05-20 17:17:49","21.57","62","1020","2.8","209","98","0","-22.8215","-47.0694"
"105","2026-05-20 17:27:49","21.57","62","1020","2.8","209","98","0","-22.8215","-47.0694"
"106","2026-05-20 17:37:49","22.32","68","1019","2.62","188","95","0","-22.8215","-47.0694"
"107","2026-05-20 17:47:49","22.32","68","1019","2.62","188","95","0","-22.8215","-47.0694"
"108","2026-05-20 17:57:49","19.73","68","1019","2.62","188","95","0","-22.8215","-47.0694"
"109","2026-05-20 18:07:49","19.73","68","1020","2.62","188","95","0","-22.8215","-47.0694"
"110","2026-05-20 18:17:49","19.73","68","1020","2.62","188","95","0","-22.8215","-47.0694"
"111","2026-05-20 18:27:49","19.73","68","1020","2.62","188","95","0","-22.8215","-47.0694"
"112","2026-05-20 18:37:49","18.62","74","1020","2.47","169","87","0","-22.8215","-47.0694"
"113","2026-05-20 18:47:49","18.62","74","1020","2.47","169","87","0","-22.8215","-47.0694"
"114","2026-05-20 18:57:49","18.93","74","1020","2.47","169","87","0","-22.8215","-47.0694"
"115","2026-05-20 19:07:49","18.93","74","1020","2.47","169","87","0","-22.8215","-47.0694"
"116","2026-05-20 19:17:49","18.93","74","1021","2.47","169","87","0","-22.8215","-47.0694"
"117","2026-05-20 19:27:49","18.93","74","1021","2.47","169","87","0","-22.8215","-47.0694"
"118","2026-05-20 19:37:49","18.93","74","1021","2.47","169","87","0","-22.8215","-47.0694"
"119","2026-05-20 19:47:49","18.07","76","1020","2.79","179","89","0","-22.8215","-47.0694"
"120","2026-05-20 19:57:49","18.07","76","1020","2.79","179","89","0","-22.8215","-47.0694"
"121","2026-05-20 20:07:49","18.07","76","1021","2.79","179","89","0","-22.8215","-47.0694"
"122","2026-05-20 20:17:49","18.07","76","1021","2.79","179","89","0","-22.8215","-47.0694"
"123","2026-05-20 20:27:49","18.07","76","1021","2.79","179","89","0","-22.8215","-47.0694"
"124","2026-05-20 20:37:49","18.07","76","1021","2.79","179","89","0","-22.8215","-47.0694"
"125","2026-05-20 20:47:49","17.51","78","1021","2.44","167","90","0","-22.8215","-47.0694"
"126","2026-05-20 20:57:49","17.51","78","1021","2.44","167","90","0","-22.8215","-47.0694"
"127","2026-05-20 21:07:49","17.51","78","1021","2.14","183","96","0","-22.8215","-47.0694"
"128","2026-05-20 21:17:49","17.51","78","1021","2.14","183","96","0","-22.8215","-47.0694"
"129","2026-05-20 21:27:49","17.51","78","1021","2.14","183","96","0","-22.8215","-47.0694"
"130","2026-05-20 21:37:49","17.51","78","1021","2.14","183","96","0","-22.8215","-47.0694"
"131","2026-05-20 21:47:49","18.07","80","1021","2.15","173","100","0","-22.8215","-47.0694"
"132","2026-05-20 21:57:49","18.07","80","1021","2.15","173","100","0","-22.8215","-47.0694"
"133","2026-05-20 22:07:49","18.07","80","1021","2.15","173","100","0","-22.8215","-47.0694"
"134","2026-05-20 22:17:49","18.07","80","1022","2.15","173","100","0","-22.8215","-47.0694"
"135","2026-05-20 22:27:49","18.07","80","1022","2.15","173","100","0","-22.8215","-47.0694"
"136","2026-05-20 22:37:49","16.96","85","1021","1.69","166","100","0","-22.8215","-47.0694"
"137","2026-05-20 22:47:49","16.96","85","1021","1.69","166","100","0","-22.8215","-47.0694"
"138","2026-05-20 22:57:49","16.96","85","1021","1.69","166","100","0","-22.8215","-47.0694"
"139","2026-05-20 23:07:49","16.96","85","1022","1.69","166","100","0","-22.8215","-47.0694"
"140","2026-05-20 23:17:49","16.96","85","1022","1.69","166","100","0","-22.8215","-47.0694"
"141","2026-05-20 23:27:49","16.96","85","1022","1.69","166","100","0","-22.8215","-47.0694"
"142","2026-05-20 23:37:49","16.4","86","1021","1.63","181","100","0","-22.8215","-47.0694"
"143","2026-05-20 23:47:49","16.4","86","1021","1.63","181","100","0","-22.8215","-47.0694"
"144","2026-05-20 23:57:49","16.4","86","1021","1.63","181","100","0","-22.8215","-47.0694"
