"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Latitude (°)","Longitude (°)"
"1","2026-06-05 00:07:49","15.29","82","1026","4.78","119","0","0","-22.8215","-47.0694"
"2","2026-06-05 00:17:49","15.29","81","1026","4.78","119","0","0","-22.8215","-47.0694"
"3","2026-06-05 00:27:49","15.29","81","1026","4.78","119","0","0","-22.8215","-47.0694"
"4","2026-06-05 00:37:49","15.29","81","1025","4.8","118","0","0","-22.8215","-47.0694"
"5","2026-06-05 00:47:49","15.29","81","1025","4.8","118","0","0","-22.8215","-47.0694"
"6","2026-06-05 00:57:49","15.29","81","1025","4.8","118","0","0","-22.8215","-47.0694"
"7","2026-06-05 01:07:49","15.29","80","1026","4.8","118","0","0","-22.8215","-47.0694"
"8","2026-06-05 01:17:49","15.29","80","1026","4.8","118","0","0","-22.8215","-47.0694"
"9","2026-06-05 01:27:49","15.29","80","1025","4.8","118","0","0","-22.8215","-47.0694"
"10","2026-06-05 01:37:49","15.29","80","1025","4.8","118","0","0","-22.8215","-47.0694"
"11","2026-06-05 01:47:49","15.29","80","1025","4.73","114","0","0","-22.8215","-47.0694"
"12","2026-06-05 01:57:49","15.29","80","1025","4.73","114","0","0","-22.8215","-47.0694"
"13","2026-06-05 02:07:49","15.29","79","1025","4.73","114","0","0","-22.8215","-47.0694"
"14","2026-06-05 02:17:49","15.29","79","1025","4.73","114","0","0","-22.8215","-47.0694"
"15","2026-06-05 02:27:49","15.29","79","1025","4.73","114","0","0","-22.8215","-47.0694"
"16","2026-06-05 02:37:49","15.29","79","1025","4.13","117","0","0","-22.8215","-47.0694"
"17","2026-06-05 02:47:49","15.29","79","1025","4.13","117","0","0","-22.8215","-47.0694"
"18","2026-06-05 02:57:49","15.29","79","1025","4.13","117","0","0","-22.8215","-47.0694"
"19","2026-06-05 03:07:49","15.29","79","1025","4.13","117","0","0","-22.8215","-47.0694"
"20","2026-06-05 03:17:49","14.73","79","1026","4.13","117","0","0","-22.8215","-47.0694"
"21","2026-06-05 03:27:49","14.73","79","1026","4.13","117","0","0","-22.8215","-47.0694"
"22","2026-06-05 03:37:49","14.73","79","1026","4.13","117","0","0","-22.8215","-47.0694"
"23","2026-06-05 03:47:49","14.73","79","1025","3.81","117","0","0","-22.8215","-47.0694"
"24","2026-06-05 03:57:49","14.73","79","1025","3.81","117","0","0","-22.8215","-47.0694"
"25","2026-06-05 04:07:49","14.18","80","1025","3.81","117","0","0","-22.8215","-47.0694"
"26","2026-06-05 04:17:49","14.18","80","1025","3.81","117","0","0","-22.8215","-47.0694"
"27","2026-06-05 04:27:49","14.18","80","1025","3.81","117","0","0","-22.8215","-47.0694"
"28","2026-06-05 04:37:49","14.18","80","1024","3.72","119","0","0","-22.8215","-47.0694"
"29","2026-06-05 04:47:49","14.18","80","1024","3.72","119","0","0","-22.8215","-47.0694"
"30","2026-06-05 04:57:49","14.18","80","1024","3.72","119","0","0","-22.8215","-47.0694"
