"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","DR","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-06-05 00:00:34","16.22","77","956.34","3800","","","","","-105","1","5","37286","1780628434401"
"2","2026-06-05 00:01:34","16.25","77","956.34","3800","","","","","-105","0.800000011920929","5","37287","1780628494392"
"3","2026-06-05 00:02:34","16.24","77","956.36","3800","","","","","-104","-2.799999952316284","5","37288","1780628554405"
"4","2026-06-05 00:03:34","16.18","77","956.34","3800","","","","","-108","-7.300000190734863","5","37289","1780628614402"
"5","2026-06-05 00:04:34","16.15","77.5","956.32","3800","","","","","-104","-1.2999999523162842","5","37290","1780628674390"
"6","2026-06-05 00:05:34","16.17","77.5","956.26","3800","","","","","-104","-1.5","5","37291","1780628734409"
"7","2026-06-05 00:06:34","16.18","77","956.36","3800","","","","","-105","0.5","5","37292","1780628794396"
"8","2026-06-05 00:07:34","16.21","77","956.3000000000001","3800","","","","","-108","-5.800000190734863","5","37293","1780628854398"
"9","2026-06-05 00:08:34","16.19","77.5","956.36","3800","","","","","-107","-5.300000190734863","5","37294","1780628914398"
"10","2026-06-05 00:09:34","16.18","77.5","956.28","3800","","","","","-107","-3.799999952316284","5","37295","1780628974397"
"11","2026-06-05 00:10:34","16.18","77.5","956.36","3800","","","","","-109","-3.799999952316284","5","37296","1780629034398"
"12","2026-06-05 00:11:34","16.14","77.5","956.3000000000001","3800","","","","","-103","3","5","37297","1780629094406"
"13","2026-06-05 00:12:34","16.16","77.5","956.3000000000001","3800","","","","","-107","-2.799999952316284","5","37298","1780629154367"
"14","2026-06-05 00:14:34","16.08","78","956.3000000000001","3800","","","","","-108","-6","5","37300","1780629274405"
"15","2026-06-05 00:15:34","16.1","78","956.28","3800","","","","","-104","-0.800000011920929","5","37301","1780629334401"
"16","2026-06-05 00:17:34","16.04","78","956.3000000000001","3800","","","","","-108","-4.300000190734863","5","37303","1780629454402"
"17","2026-06-05 00:18:34","16.04","78","956.26","3800","","","","","-105","1.5","5","37304","1780629514403"
"18","2026-06-05 00:19:34","16.07","78","956.3000000000001","3800","","","","","-102","4.800000190734863","5","37305","1780629574392"
"19","2026-06-05 00:20:34","16.04","78","956.3000000000001","3800","","","","","-105","0.5","5","37306","1780629634404"
"20","2026-06-05 00:21:34","16.05","78","956.3000000000001","3800","","","","","-103","2.799999952316284","5","37307","1780629694398"
"21","2026-06-05 00:22:34","16.07","78","956.28","3800","","","","","-100","6.300000190734863","5","37308","1780629754402"
"22","2026-06-05 00:23:34","16.06","78","956.24","3800","","","","","-105","-0.800000011920929","5","37309","1780629814405"
"23","2026-06-05 00:24:34","16.11","77.5","956.1800000000001","3800","","","","","-106","-4","5","37310","1780629874393"
"24","2026-06-05 00:25:34","16.15","77.5","956.2","3800","","","","","-107","-3.299999952316284","5","37311","1780629934388"
"25","2026-06-05 00:26:34","","","","","","","","","-105","-8","5","37312","1780629994063"
"26","2026-06-05 00:26:34","16.11","78","956.16","3800","","","","","-100","6.800000190734863","5","37312","1780629994353"
"27","2026-06-05 00:28:34","16.08","78","956.2","3800","","","","","-107","-1","5","37314","1780630114363"
"28","2026-06-05 00:29:34","16.03","78.5","956.2","3800","","","","","-102","4.300000190734863","5","37315","1780630174394"
"29","2026-06-05 00:30:34","16.03","78","956.16","3800","","","","","-108","-7.300000190734863","5","37316","1780630234396"
"30","2026-06-05 00:31:34","16","78","956.1800000000001","3800","","","","","-104","-0.30000001192092896","5","37317","1780630294378"
"31","2026-06-05 00:32:34","15.98","78","956.1800000000001","3800","","","","","-104","2.5","5","37318","1780630354401"
"32","2026-06-05 00:33:34","15.98","78.5","956.16","3800","","","","","-107","-4.300000190734863","5","37319","1780630414394"
"33","2026-06-05 00:34:34","","","","","","","","","-108","-6.800000190734863","5","37320","1780630474061"
"34","2026-06-05 00:34:34","16.06","78","956.08","3800","","","","","-100","1","5","37320","1780630474362"
"35","2026-06-05 00:35:34","16.15","77.5","956.1800000000001","3800","","","","","-98","-6.5","5","37321","1780630534393"
"36","2026-06-05 00:37:34","16.1","77.5","956.22","3800","","","","","-104","2.299999952316284","5","37323","1780630654395"
"37","2026-06-05 00:38:34","16.04","78","956.22","3800","","","","","-103","3.5","5","37324","1780630714399"
"38","2026-06-05 00:39:34","15.99","78","956.22","3800","","","","","-108","-7.5","5","37325","1780630774390"
"39","2026-06-05 00:40:34","16.03","78","956.14","3800","","","","","-107","-4","5","37326","1780630834390"
"40","2026-06-05 00:41:34","16.04","78","956.1800000000001","3800","","","","","-107","-5","5","37327","1780630894401"
"41","2026-06-05 00:42:34","16","78.5","956.24","3800","","","","","-105","0.800000011920929","5","37328","1780630954391"
"42","2026-06-05 00:43:34","16","78","956.26","3800","","","","","-107","-8.300000190734863","5","37329","1780631014401"
"43","2026-06-05 00:44:34","16.01","78","956.2","3800","","","","","-102","1.7999999523162842","5","37330","1780631074390"
"44","2026-06-05 00:47:34","15.93","78.5","956.2","3800","","","","","-104","1.7999999523162842","5","37333","1780631254421"
"45","2026-06-05 00:48:34","15.92","78.5","956.1800000000001","3800","","","","","-105","0.800000011920929","5","37334","1780631314392"
"46","2026-06-05 00:50:34","15.96","78.5","956.16","3800","","","","","-108","-7.800000190734863","5","37336","1780631434401"
"47","2026-06-05 00:51:34","15.94","78.5","956.1800000000001","3800","","","","","-105","-2.299999952316284","5","37337","1780631494390"
"48","2026-06-05 00:52:34","15.92","78.5","956.2","3800","","","","","-107","-2.799999952316284","5","37338","1780631554395"
"49","2026-06-05 00:54:34","15.93","78.5","956.16","3800","","","","","-100","4","5","37340","1780631674394"
"50","2026-06-05 00:56:34","15.97","78.5","956.12","3800","","","","","-107","-3","5","37342","1780631794397"
"51","2026-06-05 00:57:34","15.95","78.5","956.14","3800","","","","","-105","0","5","37343","1780631854392"
"52","2026-06-05 00:58:34","15.95","78.5","956.1","3800","","","","","-107","0.5","5","37344","1780631914387"
"53","2026-06-05 00:59:34","15.89","79","956.12","3800","","","","","-107","-4","5","37345","1780631974396"
"54","2026-06-05 01:00:34","15.88","79","956.08","3800","","","","","-105","-0.5","5","37346","1780632034387"
"55","2026-06-05 01:03:34","15.89","78.5","956.12","3800","","","","","-101","4.800000190734863","5","37349","1780632214386"
"56","2026-06-05 01:05:34","15.86","79","956.1","3800","","","","","-107","-3.299999952316284","5","37351","1780632334367"
"57","2026-06-05 01:06:34","15.93","78.5","956.08","3800","","","","","-108","2","5","37352","1780632394385"
"58","2026-06-05 01:07:34","15.9","78.5","956.12","3800","","","","","-105","-0.30000001192092896","5","37353","1780632454389"
"59","2026-06-05 01:08:34","15.86","79","956.08","3800","","","","","-107","-3.299999952316284","5","37354","1780632514394"
"60","2026-06-05 01:09:34","15.84","79","956.08","3800","","","","","-102","4.800000190734863","5","37355","1780632574393"
"61","2026-06-05 01:10:34","15.83","79","956.1","3800","","","","","-107","-4.300000190734863","5","37356","1780632634390"
"62","2026-06-05 01:11:34","15.82","79","956.08","3800","","","","","-107","-5","5","37357","1780632694387"
"63","2026-06-05 01:12:34","15.85","78.5","956.04","3800","","","","","-105","1.5","5","37358","1780632754387"
"64","2026-06-05 01:13:34","15.88","78.5","956.04","3800","","","","","-105","-4.5","5","37359","1780632814389"
"65","2026-06-05 01:14:34","15.84","78.5","956.0600000000001","3800","","","","","-107","-2","5","37360","1780632874394"
"66","2026-06-05 01:15:34","15.83","79","956.02","3800","","","","","-106","-2.5","5","37361","1780632934385"
"67","2026-06-05 01:16:34","15.86","79","955.98","3800","","","","","-107","-2.5","5","37362","1780632994383"
"68","2026-06-05 01:17:34","15.91","78.5","956","3800","","","","","-106","-2.299999952316284","5","37363","1780633054389"
"69","2026-06-05 01:20:34","15.83","78.5","956.04","3800","","","","","-105","-0.5","5","37366","1780633234384"
"70","2026-06-05 01:21:34","15.8","79","955.98","3800","","","","","-107","-5","5","37367","1780633294386"
"71","2026-06-05 01:22:34","15.75","79","955.94","3800","","","","","-106","-0.800000011920929","5","37368","1780633354393"
"72","2026-06-05 01:23:34","15.74","79","955.96","3800","","","","","-104","-0.30000001192092896","5","37369","1780633414389"
"73","2026-06-05 01:24:34","15.75","79","956","3800","","","","","-107","-3","5","37370","1780633474396"
"74","2026-06-05 01:25:34","","","","","","","","","-109","-7.5","5","37371","1780633534063"
"75","2026-06-05 01:25:34","15.7","79","955.9","3800","","","","","-106","-1.7999999523162842","5","37371","1780633534341"
