"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","DR","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-06-05 17:34:24","25.75","54","952.16","3480","","","","","-107","-6","0","11245","1780691664531"
"2","2026-06-05 17:34:38","25.81","53.5","952.16","3540","","","","","-107","-5.800000190734863","0","11246","1780691678172"
"3","2026-06-05 17:35:07","25.9","53.5","952.08","3600","","","","","-108","-9.800000190734863","0","11248","1780691706987"
"4","2026-06-05 17:35:21","25.94","55.5","952.16","3560","","","","","-108","-20.5","0","11249","1780691721383"
"5","2026-06-05 17:35:50","25.99","54","952.14","3540","","","","","-108","-11.5","0","11251","1780691750183"
"6","2026-06-05 17:36:04","26.03","57","952.12","3920","","","","","-107","-10.300000190734863","0","11252","1780691764569"
"7","2026-06-05 17:36:19","26.07","54","952.14","3920","","","","","-108","-9.800000190734863","0","11253","1780691778966"
"8","2026-06-05 17:36:33","26.13","53.5","952.14","3920","","","","","-107","-8.5","0","11254","1780691793368"
"9","2026-06-05 17:36:47","26.21","53","952.1","3900","","","","","-108","-8.800000190734863","0","11255","1780691807757"
"10","2026-06-05 17:37:20","26.39","52","952.12","3900","","","","","-107","-6","0","11257","1780691840405"
"11","2026-06-05 17:37:34","26.48","52","952.08","3920","","","","","-106","-6.5","0","11258","1780691854910"
"12","2026-06-05 17:37:49","26.56","52","952.1","3920","","","","","-108","-6.300000190734863","0","11259","1780691869413"
"13","2026-06-05 17:38:03","26.63","51.5","952.1","3920","","","","","-107","-5.5","0","11260","1780691883902"
"14","2026-06-05 17:38:18","26.7","51.5","952.1","3920","","","","","-106","-5.800000190734863","0","11261","1780691898408"
"15","2026-06-05 17:38:32","26.77","51.5","952.08","3920","","","","","-107","-5.800000190734863","0","11262","1780691912906"
"16","2026-06-05 17:38:47","26.84","51","952.12","3920","","","","","-107","-6.800000190734863","0","11263","1780691927385"
"17","2026-06-05 17:39:01","26.9","51","952.1","3920","","","","","-107","-5.300000190734863","0","11264","1780691941911"
"18","2026-06-05 17:39:16","26.96","50.5","952.1","3920","","","","","-107","-5.5","0","11265","1780691956406"
"19","2026-06-05 17:39:30","27","50.5","952.0600000000001","3920","","","","","-105","-6.300000190734863","0","11266","1780691970908"
"20","2026-06-05 17:39:45","27.06","50.5","952.1","3920","","","","","-106","-4.800000190734863","0","11267","1780691985406"
"21","2026-06-05 17:39:59","27.11","50","952.08","3920","","","","","-107","-6.5","0","11268","1780691999870"
"22","2026-06-05 17:40:14","27.16","50","952.14","3540","","","","","-108","-12.5","0","11269","1780692014285"
"23","2026-06-05 17:40:28","27.2","50","952.12","3920","","","","","-107","-15","0","11270","1780692028683"
"24","2026-06-05 17:41:25","27.41","49.5","952.1","3920","","","","","-107","-10.800000190734863","0","11274","1780692085857"
"25","2026-06-05 17:41:40","27.48","49.5","952.1","3920","","","","","-107","-11.5","0","11275","1780692100356"
"26","2026-06-05 17:41:54","27.55","49.5","952.08","3920","","","","","-107","-9","0","11276","1780692114849"
"27","2026-06-05 17:57:40","23.7","43.5","953.34","3680","","","","","-103","1.7999999523162842","0","11279","1780693060212"
"28","2026-06-05 17:58:09","23.49","45","953.34","3640","","","","","-105","-2.5","0","11281","1780693089040"
"29","2026-06-05 17:58:20","23.38","45.5","953.32","3660","","-22.819015502929688","-47.07223129272461","648","-103","0.30000001192092896","0","11282","1780693100762"
"30","2026-06-05 17:58:25","23.29","45","953.34","3640","","-22.81901741027832","-47.072227478027344","649","-106","-2.299999952316284","0","11283","1780693105561"
"31","2026-06-05 17:58:35","23.23","46","953.4200000000001","3640","","-22.818981170654297","-47.07224655151367","658.7","-107","-6.300000190734863","0","11285","1780693115551"
"32","2026-06-05 17:58:40","23.19","46","953.3000000000001","3660","","-22.818965911865234","-47.072242736816406","661.7","-105","-1","0","11286","1780693120543"
"33","2026-06-05 17:58:45","23.15","45.5","953.32","3640","","-22.818960189819336","-47.07224655151367","661.5","-105","-2.299999952316284","0","11287","1780693125554"
"34","2026-06-05 17:58:50","23.1","49","953.26","3640","","-22.818918228149414","-47.07225799560547","663.7","-99","1.7999999523162842","0","11288","1780693130547"
"35","2026-06-05 17:58:55","23.07","46","953.44","3660","","-22.818880081176758","-47.072261810302734","663.4000000000001","-106","-4.300000190734863","0","11289","1780693135545"
"36","2026-06-05 17:59:00","23.04","46.5","953.32","3700","","-22.818843841552734","-47.07227325439453","663.2","-103","-1.5","0","11290","1780693140542"
"37","2026-06-05 17:59:10","22.98","46.5","953.4200000000001","3680","","-22.81879997253418","-47.072269439697266","639.2","-105","1.5","0","11291","1780693150544"
"38","2026-06-05 17:59:20","22.93","46.5","953.26","3680","","-22.818777084350586","-47.0722541809082","607.2","-99","2.5","0","11292","1780693160548"
