"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-03-20 00:00:54";"20.4";"80";"940.74";"3700";"16";"-22.822246551513672";"-47.065670013427734";"602.9";"-101";"9.800000190734863";"34802";"1773975654808"
"2";"2026-03-20 00:01:54";"20.39";"80";"940.72";"3720";"16";"-22.82221794128418";"-47.06565475463867";"600.7";"-101";"9.300000190734863";"34803";"1773975714819"
"3";"2026-03-20 00:02:54";"20.4";"80";"940.74";"3680";"16";"-22.822246551513672";"-47.06568908691406";"607.2";"-101";"9.300000190734863";"34804";"1773975774818"
"4";"2026-03-20 00:03:54";"20.4";"80";"940.7";"3740";"16";"-22.822254180908203";"-47.06568145751953";"606.9";"-101";"9.5";"34805";"1773975834807"
"5";"2026-03-20 00:04:54";"20.4";"80";"940.72";"3680";"16";"-22.822221755981445";"-47.065677642822266";"607";"-101";"9.300000190734863";"34806";"1773975894814"
"6";"2026-03-20 00:05:54";"20.4";"80";"940.72";"3680";"16";"-22.82221794128418";"-47.065670013427734";"609.9";"-101";"9.5";"34807";"1773975954816"
"7";"2026-03-20 00:06:54";"20.4";"80";"940.72";"3700";"16";"-22.822227478027344";"-47.06565856933594";"612";"-101";"10";"34808";"1773976014808"
"8";"2026-03-20 00:07:54";"20.4";"80";"940.7";"3660";"16";"-22.82223129272461";"-47.06568145751953";"610";"-101";"10";"34809";"1773976074825"
"9";"2026-03-20 00:08:54";"20.4";"80";"940.74";"3680";"16";"-22.822246551513672";"-47.0656852722168";"608.7";"-101";"10";"34810";"1773976134774"
"10";"2026-03-20 00:09:54";"20.4";"80";"940.74";"3680";"16";"-22.822233200073242";"-47.065670013427734";"607.9";"-101";"9.5";"34811";"1773976194825"
"11";"2026-03-20 00:10:54";"20.4";"80";"940.76";"3680";"16";"-22.822229385375977";"-47.0656623840332";"606.7";"-100";"10.5";"34812";"1773976254819"
"12";"2026-03-20 00:11:54";"20.39";"79.5";"940.76";"3680";"16";"-22.822250366210938";"-47.06566619873047";"603.7";"-101";"9.300000190734863";"34813";"1773976314837"
"13";"2026-03-20 00:12:54";"20.39";"80";"940.78";"3680";"16";"-22.82227325439453";"-47.065673828125";"604";"-101";"9.800000190734863";"34814";"1773976374822"
"14";"2026-03-20 00:13:54";"20.39";"80";"940.8000000000001";"3680";"16";"-22.822267532348633";"-47.06568145751953";"606";"-100";"9.5";"34815";"1773976434816"
"15";"2026-03-20 00:14:54";"20.4";"80";"940.84";"3660";"16";"-22.82223892211914";"-47.06568145751953";"608.5";"-101";"9.5";"34816";"1773976494815"
"16";"2026-03-20 00:15:54";"20.39";"80";"940.8000000000001";"3660";"16";"-22.822233200073242";"-47.06566619873047";"613.2";"-100";"10.300000190734863";"34817";"1773976554824"
"17";"2026-03-20 00:16:54";"20.4";"80";"940.84";"3680";"16";"-22.822246551513672";"-47.06569290161133";"603.2";"-101";"10";"34818";"1773976614780"
"18";"2026-03-20 00:17:54";"20.39";"79.5";"940.8000000000001";"3660";"16";"-22.822227478027344";"-47.065670013427734";"601.7";"-101";"9.5";"34819";"1773976674812"
"19";"2026-03-20 00:18:54";"20.39";"80";"940.8000000000001";"3660";"16";"-22.822254180908203";"-47.06569290161133";"606.7";"-100";"10";"34820";"1773976734817"
"20";"2026-03-20 00:19:54";"20.39";"80";"940.8000000000001";"3700";"16";"-22.822233200073242";"-47.0656852722168";"602.7";"-100";"10.300000190734863";"34821";"1773976794811"
"21";"2026-03-20 00:20:54";"20.38";"80";"940.8000000000001";"3680";"16";"-22.822221755981445";"-47.0656852722168";"603";"-102";"8.800000190734863";"34822";"1773976854805"
"22";"2026-03-20 00:21:54";"20.38";"80";"940.82";"3680";"16";"-22.82223129272461";"-47.065673828125";"607.5";"-100";"10";"34823";"1773976914814"
"23";"2026-03-20 00:22:54";"20.38";"80";"940.86";"3680";"16";"-22.822250366210938";"-47.06570053100586";"604.9";"-101";"9.5";"34824";"1773976974779"
"24";"2026-03-20 00:23:54";"20.38";"80";"940.82";"3700";"16";"-22.82224464416504";"-47.06570053100586";"604.4";"-101";"9";"34825";"1773977034817"
"25";"2026-03-20 00:24:54";"20.37";"80";"940.82";"3660";"16";"-22.82221794128418";"-47.06568908691406";"615.4000000000001";"-101";"9.800000190734863";"34826";"1773977094823"
"26";"2026-03-20 00:25:54";"20.37";"80";"940.8000000000001";"3660";"16";"-22.822214126586914";"-47.06568908691406";"611.5";"-101";"9.800000190734863";"34827";"1773977154856"
"27";"2026-03-20 00:26:54";"20.37";"80";"940.76";"3700";"16";"-22.822221755981445";"-47.0656852722168";"611.2";"-100";"9.800000190734863";"34828";"1773977214814"
"28";"2026-03-20 00:27:54";"20.36";"80";"940.78";"3680";"16";"-22.822214126586914";"-47.065677642822266";"610.5";"-100";"10";"34829";"1773977274820"
"29";"2026-03-20 00:28:54";"20.36";"80";"940.8000000000001";"3660";"16";"-22.82224464416504";"-47.065677642822266";"614.5";"-101";"9";"34830";"1773977334824"
