"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-02-27 00:00:41";"22.01";"74.5";"939.6";"3680";"16";"-22.822233200073242";"-47.06560134887695";"623.7";"-104";"8";"12024";"1772161240866"
"2";"2026-02-27 00:01:41";"22.01";"74.5";"939.5600000000001";"3660";"16";"-22.822250366210938";"-47.06563949584961";"620.5";"-106";"6.5";"12025";"1772161300864"
"3";"2026-02-27 00:02:41";"22.01";"74.5";"939.5600000000001";"3700";"16";"-22.822229385375977";"-47.06562805175781";"618.2";"-106";"6.5";"12026";"1772161360863"
"4";"2026-02-27 00:03:41";"22.01";"74";"939.54";"3740";"16";"-22.82221794128418";"-47.06562423706055";"618.5";"-106";"6";"12027";"1772161420871"
"5";"2026-02-27 00:04:40";"22.02";"74.5";"939.52";"3680";"16";"-22.822200775146484";"-47.06562423706055";"623.2";"-106";"6";"12028";"1772161480863"
"6";"2026-02-27 00:05:41";"22.02";"74";"939.52";"3660";"16";"-22.822227478027344";"-47.065673828125";"616.2";"-106";"6";"12029";"1772161540861"
"7";"2026-02-27 00:06:41";"22.02";"74";"939.52";"3680";"16";"-22.822254180908203";"-47.065650939941406";"616.7";"-106";"5.8";"12030";"1772161600864"
"8";"2026-02-27 00:07:41";"22.02";"74";"939.5";"3680";"16";"-22.822248458862305";"-47.06564712524414";"618.9000000000001";"-105";"7";"12031";"1772161660862"
"9";"2026-02-27 00:08:41";"22.03";"74";"939.48";"3660";"16";"-22.82223129272461";"-47.06565856933594";"622.2";"-106";"6";"12032";"1772161720866"
"10";"2026-02-27 00:09:41";"22.03";"74";"939.5";"3660";"16";"-22.822246551513672";"-47.065608978271484";"617.5";"-106";"6";"12033";"1772161780880"
"11";"2026-02-27 00:10:41";"22.03";"74";"939.48";"3660";"16";"-22.822301864624023";"-47.06565475463867";"618";"-106";"6.3";"12034";"1772161840858"
"12";"2026-02-27 00:11:41";"22.03";"74";"939.54";"3680";"16";"-22.82227325439453";"-47.06564712524414";"612";"-106";"6.3";"12035";"1772161900874"
"13";"2026-02-27 00:12:41";"22.03";"74";"939.5";"3680";"16";"-22.822307586669922";"-47.065677642822266";"620.7";"-106";"6.5";"12036";"1772161960871"
"14";"2026-02-27 00:13:41";"22.03";"74";"939.48";"3700";"16";"-22.82227897644043";"-47.065704345703125";"626.7";"-109";"3.5";"12037";"1772162020878"
"15";"2026-02-27 00:14:40";"22.03";"74";"939.46";"3640";"16";"-22.82221794128418";"-47.06565475463867";"624.5";"-107";"5";"12038";"1772162080870"
"16";"2026-02-27 00:15:41";"22.04";"74";"939.44";"3660";"16";"-22.82222557067871";"-47.0656852722168";"615.2";"-106";"6.5";"12039";"1772162140869"
"17";"2026-02-27 00:16:41";"22.04";"74";"939.44";"3700";"16";"-22.822254180908203";"-47.06568145751953";"615.9000000000001";"-108";"4";"12040";"1772162200873"
"18";"2026-02-27 00:17:41";"22.05";"74";"939.4200000000001";"3660";"16";"-22.822206497192383";"-47.06565475463867";"617.7";"-107";"6.3";"12041";"1772162260869"
"19";"2026-02-27 00:18:41";"22.05";"74";"939.4200000000001";"3680";"16";"-22.822179794311523";"-47.06558609008789";"622.5";"-108";"4";"12042";"1772162320868"
"20";"2026-02-27 00:19:41";"22.05";"74";"939.4200000000001";"3700";"16";"-22.82221221923828";"-47.06563186645508";"623.2";"-108";"4.8";"12043";"1772162380891"
"21";"2026-02-27 00:20:41";"22.05";"74";"939.38";"3720";"16";"-22.822248458862305";"-47.06563949584961";"617.7";"-109";"3.8";"12044";"1772162440868"
"22";"2026-02-27 00:21:41";"22.05";"74";"939.38";"3720";"16";"-22.82229232788086";"-47.06569290161133";"606.2";"-107";"5.3";"12045";"1772162500863"
"23";"2026-02-27 00:22:41";"22.05";"74";"939.36";"3700";"16";"-22.822267532348633";"-47.06569290161133";"611.7";"-105";"7.3";"12046";"1772162560873"
"24";"2026-02-27 00:23:41";"22.06";"74";"939.34";"3660";"16";"-22.822240829467773";"-47.065673828125";"616.9000000000001";"-108";"4";"12047";"1772162620875"
"25";"2026-02-27 00:24:41";"22.06";"74";"939.34";"3680";"16";"-22.82222557067871";"-47.06565856933594";"617";"-105";"6.8";"12048";"1772162680862"
"26";"2026-02-27 00:25:41";"22.06";"74";"939.34";"3680";"16";"-22.822227478027344";"-47.06565475463867";"615";"-107";"5";"12049";"1772162740870"
"27";"2026-02-27 00:26:41";"22.06";"74";"939.36";"3720";"16";"-22.822242736816406";"-47.065670013427734";"613.7";"-107";"5.3";"12050";"1772162800860"
"28";"2026-02-27 00:27:41";"22.06";"74";"939.36";"3700";"16";"-22.82223892211914";"-47.06565856933594";"611.2";"-108";"4.3";"12051";"1772162860870"
"29";"2026-02-27 00:28:41";"22.06";"74";"939.36";"3660";"16";"-22.822223663330078";"-47.06563949584961";"627.9000000000001";"-109";"3.3";"12052";"1772162920867"
"30";"2026-02-27 00:29:41";"22.07";"74";"939.36";"3660";"16";"-22.822208404541016";"-47.065635681152344";"634.7";"-107";"5.3";"12053";"1772162980872"
"31";"2026-02-27 00:30:41";"22.07";"74";"939.34";"3700";"16";"-22.822181701660156";"-47.06561279296875";"634.7";"-106";"5.3";"12054";"1772163040872"
"32";"2026-02-27 00:31:41";"22.07";"74";"939.34";"3640";"16";"-22.822284698486328";"-47.06560134887695";"639.5";"-106";"6";"12055";"1772163100875"
"33";"2026-02-27 00:32:41";"22.08";"74";"939.3000000000001";"3700";"16";"-22.8222713470459";"-47.065582275390625";"637";"-106";"6.5";"12056";"1772163160877"
"34";"2026-02-27 00:33:41";"22.08";"74";"939.28";"3660";"16";"-22.822185516357422";"-47.06554412841797";"627.9000000000001";"-107";"4.8";"12057";"1772163220871"
"35";"2026-02-27 00:34:41";"22.08";"74";"939.24";"3700";"16";"-22.822195053100586";"-47.06558609008789";"627";"-106";"5.5";"12058";"1772163280870"
"36";"2026-02-27 00:35:41";"22.09";"74";"939.22";"3720";"16";"-22.82222557067871";"-47.065643310546875";"625.9000000000001";"-106";"6";"12059";"1772163340873"
"37";"2026-02-27 00:36:41";"22.1";"74";"939.2";"3680";"16";"-22.82223892211914";"-47.065696716308594";"623.2";"-108";"4.5";"12060";"1772163400871"
"38";"2026-02-27 00:37:41";"22.1";"74";"939.24";"3660";"16";"-22.822233200073242";"-47.065673828125";"615.7";"-109";"3.3";"12061";"1772163460873"
"39";"2026-02-27 00:38:41";"22.11";"74";"939.22";"3680";"16";"-22.822235107421875";"-47.065670013427734";"614";"-105";"6.5";"12062";"1772163520874"
"40";"2026-02-27 00:39:41";"22.11";"74";"939.12";"3660";"16";"-22.822240829467773";"-47.06565856933594";"616.2";"-106";"6.3";"12063";"1772163580868"
"41";"2026-02-27 00:40:41";"22.12";"74";"939.1800000000001";"3660";"16";"-22.822248458862305";"-47.06568908691406";"614.5";"-107";"5.3";"12064";"1772163640877"
"42";"2026-02-27 00:41:41";"22.11";"74";"939.12";"3660";"16";"-22.822248458862305";"-47.06559371948242";"618.9000000000001";"-108";"4.5";"12065";"1772163700876"
"43";"2026-02-27 00:42:41";"22.11";"74";"939.1800000000001";"3660";"16";"-22.822280883789062";"-47.065521240234375";"614.2";"-107";"5";"12066";"1772163760870"
"44";"2026-02-27 00:43:41";"22.11";"74";"939.12";"3640";"16";"-22.8222599029541";"-47.0655403137207";"625.7";"-107";"5";"12067";"1772163820867"
"45";"2026-02-27 00:44:41";"22.1";"74";"939.12";"3720";"16";"-22.82225227355957";"-47.06561279296875";"615.7";"-107";"4.5";"12068";"1772163880876"
"46";"2026-02-27 00:45:41";"22.1";"74";"939.16";"3680";"16";"-22.822248458862305";"-47.06562423706055";"619.9000000000001";"-107";"5";"12069";"1772163940864"
"47";"2026-02-27 00:46:41";"22.09";"74";"939.08";"3700";"16";"-22.822250366210938";"-47.065650939941406";"620";"-106";"6.3";"12070";"1772164000861"
"48";"2026-02-27 00:47:41";"22.08";"74";"939.1";"3660";"16";"-22.82225799560547";"-47.06566619873047";"616.7";"-108";"3.8";"12071";"1772164060865"
