"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-04-16 15:49:43","25.45","35.5","1013.2","2040","48000","","","","-100","9.5","32402","1776365383643"
"2","2026-04-16 15:50:43","","","","","","","","","-101","9.300000190734863","32403","1776365443333"
"3","2026-04-16 15:50:43","25.46","36","1013.1800000000001","2060","52000","","","","-101","8.5","32403","1776365443606"
"4","2026-04-16 15:51:43","25.47","36.5","1013.16","2080","56000","","","","-101","8.5","32404","1776365503637"
"5","2026-04-16 15:52:43","21.92","51","942.5600000000001","3820","440","","","","-101","9","32405","1776365563644"
"6","2026-04-16 15:53:43","21.88","51.5","942.48","3800","440","","","","-101","8.5","32406","1776365623647"
"7","2026-04-16 15:54:43","21.88","51.5","942.52","3840","444","","","","-102","8","32407","1776365683640"
"8","2026-04-16 15:55:43","21.86","51.5","942.52","3840","432","","","","-102","7.800000190734863","32408","1776365743639"
"9","2026-04-16 15:56:43","21.85","51.5","942.54","3800","444","","","","-103","6.800000190734863","32409","1776365803645"
"10","2026-04-16 15:57:43","21.86","51.5","942.54","3780","444","","","","-100","9.5","32410","1776365863645"
"11","2026-04-16 15:58:43","21.84","51.5","942.52","3840","436","","","","-102","7.800000190734863","32411","1776365923641"
"12","2026-04-16 15:59:43","21.83","51.5","942.54","3800","444","","","","-103","7.800000190734863","32412","1776365983645"
"13","2026-04-16 16:00:43","21.85","51.5","942.5600000000001","3780","436","","","","-103","7.5","32413","1776366043643"
"14","2026-04-16 16:01:43","21.84","51.5","942.52","3820","444","","","","-102","7.800000190734863","32414","1776366103637"
"15","2026-04-16 16:02:43","21.86","51","942.54","3800","432","","","","-100","9.300000190734863","32415","1776366163633"
"16","2026-04-16 16:03:43","21.85","51.5","942.5","3800","436","","","","-100","9","32416","1776366223641"
"17","2026-04-16 16:04:43","21.85","51","942.52","3820","432","","","","-102","8","32417","1776366283647"
"18","2026-04-16 16:05:43","21.85","51","942.5","3800","432","","","","-100","9","32418","1776366343654"
"19","2026-04-16 16:06:43","21.86","51","942.5","3800","436","","","","-100","9.800000190734863","32419","1776366403641"
"20","2026-04-16 16:07:43","21.87","51","942.46","3800","436","","","","-100","10","32420","1776366463640"
"21","2026-04-16 16:08:43","21.85","51","942.46","3800","440","","","","-99","10","32421","1776366523646"
"22","2026-04-16 16:09:43","21.88","51","942.4200000000001","3840","440","","","","-103","7.800000190734863","32422","1776366583640"
"23","2026-04-16 16:10:43","21.82","51","942.4200000000001","3840","432","","","","-103","7.800000190734863","32423","1776366643643"
"24","2026-04-16 16:11:43","21.87","51","942.44","3800","440","","","","-101","9.5","32424","1776366703644"
"25","2026-04-16 16:12:43","21.87","51","942.4","3820","428","","","","-102","8.300000190734863","32425","1776366763645"
"26","2026-04-16 16:13:43","21.86","51","942.4","3840","440","","","","-102","7.800000190734863","32426","1776366823636"
"27","2026-04-16 16:14:43","21.86","51","942.4","3840","428","","","","-102","4.800000190734863","32427","1776366883641"
"28","2026-04-16 16:15:43","21.86","51","942.38","3820","436","","","","-101","9","32428","1776366943641"
"29","2026-04-16 16:16:43","21.85","51","942.38","3840","440","","","","-102","8.300000190734863","32429","1776367003646"
"30","2026-04-16 16:17:43","21.85","51","942.36","3800","432","","","","-104","6","32430","1776367063629"
"31","2026-04-16 16:18:43","21.86","50.5","942.38","3840","440","","","","-101","9.300000190734863","32431","1776367123641"
"32","2026-04-16 16:19:43","21.84","51","942.36","3820","436","","","","-102","8.300000190734863","32432","1776367183641"
"33","2026-04-16 16:20:43","21.85","50.5","942.36","3800","432","","","","-102","8.300000190734863","32433","1776367243636"
"34","2026-04-16 16:21:43","21.84","50.5","942.36","3800","428","","","","-103","7.5","32434","1776367303647"
"35","2026-04-16 16:22:43","21.85","50.5","942.36","3840","432","","","","-104","6.300000190734863","32435","1776367363637"
"36","2026-04-16 16:23:43","21.85","50.5","942.38","3840","424","","","","-104","6.5","32436","1776367423648"
"37","2026-04-16 16:24:43","21.85","50.5","942.38","3800","424","","","","-106","4.800000190734863","32437","1776367483645"
"38","2026-04-16 16:25:43","21.86","50.5","942.36","3820","436","","","","-106","4.800000190734863","32438","1776367543649"
"39","2026-04-16 16:26:43","21.83","50.5","942.4","3780","436","","","","-107","4.300000190734863","32439","1776367603641"
"40","2026-04-16 16:27:43","21.83","50.5","942.4","3860","432","","","","-106","4.5","32440","1776367663633"
"41","2026-04-16 16:28:43","21.8","50.5","942.4","3800","428","","","","-101","8.5","32441","1776367723616"
"42","2026-04-16 16:29:43","21.82","50.5","942.4","3780","436","","","","-102","8.300000190734863","32442","1776367783642"
"43","2026-04-16 16:30:43","21.83","50.5","942.4200000000001","3840","428","","","","-102","7.800000190734863","32443","1776367843635"
