"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-06-01 00:06:11";"16.7";"65";"950.08";"3740";"";"-22.82217025756836";"-47.06563949584961";"619";"-91";"13";"18306";"1780283171817"
"2";"2026-06-01 00:16:11";"16.65";"65";"950";"3720";"";"-22.822113037109375";"-47.06571960449219";"639";"-93";"12.300000190734863";"18307";"1780283771810"
"3";"2026-06-01 00:26:11";"16.62";"65";"950.0600000000001";"3740";"";"-22.82213592529297";"-47.06565856933594";"630.4000000000001";"-93";"13.300000190734863";"18308";"1780284371815"
"4";"2026-06-01 00:36:11";"16.58";"65";"950.02";"3720";"";"-22.822128295898438";"-47.06563949584961";"624.2";"-93";"12.5";"18309";"1780284971799"
"5";"2026-06-01 00:46:11";"16.53";"65";"950.1";"3700";"";"-22.82213592529297";"-47.06563186645508";"615.5";"-93";"12.5";"18310";"1780285571811"
"6";"2026-06-01 00:56:11";"16.4";"65.5";"950.0600000000001";"3700";"";"-22.8221378326416";"-47.06564712524414";"626.2";"-93";"12.300000190734863";"18311";"1780286171800"
"7";"2026-06-01 01:06:11";"16.27";"65.5";"950.12";"3700";"";"-22.82202911376953";"-47.065704345703125";"621";"-94";"12.300000190734863";"18312";"1780286771809"
"8";"2026-06-01 01:16:11";"16.14";"65.5";"950.04";"3720";"";"-22.822092056274414";"-47.06559753417969";"625.2";"-93";"12.5";"18313";"1780287371826"
"9";"2026-06-01 01:26:11";"16.01";"65.5";"949.94";"3720";"";"-22.822118759155273";"-47.06565475463867";"613.7";"-94";"12.300000190734863";"18314";"1780287971819"
"10";"2026-06-01 01:36:11";"16.01";"65.5";"949.82";"3720";"";"-22.822114944458008";"-47.06565475463867";"611";"-94";"12.300000190734863";"18315";"1780288571813"
"11";"2026-06-01 01:46:11";"15.95";"65.5";"949.72";"3720";"";"-22.822097778320312";"-47.065696716308594";"612.7";"-93";"11.800000190734863";"18316";"1780289171816"
"12";"2026-06-01 01:56:11";"15.97";"65.5";"949.64";"3680";"";"-22.82208251953125";"-47.065650939941406";"608";"-93";"12.5";"18317";"1780289771825"
"13";"2026-06-01 02:06:10";"15.89";"65.5";"949.64";"3680";"";"-22.822185516357422";"-47.065643310546875";"617.9000000000001";"-93";"12.300000190734863";"18318";"1780290370812"
"14";"2026-06-01 02:16:11";"15.74";"66";"949.7";"3700";"";"-22.822153091430664";"-47.06570816040039";"609.2";"-93";"12";"18319";"1780290971823"
"15";"2026-06-01 02:26:11";"15.75";"65.5";"949.7";"3680";"";"-22.822105407714844";"-47.06566619873047";"612.9";"-93";"13";"18320";"1780291571775"
"16";"2026-06-01 02:36:11";"15.59";"66";"949.64";"3680";"";"-22.822134017944336";"-47.06566619873047";"601.2";"-93";"12.5";"18321";"1780292171782"
"17";"2026-06-01 02:46:11";"15.29";"66.5";"949.54";"3700";"";"-22.82213020324707";"-47.06565475463867";"619.2";"-93";"12.800000190734863";"18322";"1780292771806"
"18";"2026-06-01 02:56:11";"15.05";"67";"949.38";"3700";"";"-22.822134017944336";"-47.06564712524414";"609.5";"-93";"12.300000190734863";"18323";"1780293371814"
"19";"2026-06-01 03:06:11";"";"";"";"";"";"";"";"";"-93";"12.800000190734863";"18324";"1780293971457"
"20";"2026-06-01 03:06:11";"15";"67";"949.34";"3700";"";"-22.822107315063477";"-47.06571578979492";"609.7";"-92";"12.800000190734863";"18324";"1780293971775"
"21";"2026-06-01 03:16:11";"14.94";"66.5";"949.26";"3680";"";"-22.822118759155273";"-47.06562805175781";"617";"-92";"12.800000190734863";"18325";"1780294571812"
"22";"2026-06-01 03:26:11";"14.86";"66.5";"949.0600000000001";"3680";"";"-22.822097778320312";"-47.06563949584961";"625";"-93";"12.300000190734863";"18326";"1780295171820"
"23";"2026-06-01 03:36:11";"14.75";"67";"948.9200000000001";"3680";"";"-22.822126388549805";"-47.06565475463867";"617.2";"-93";"12.5";"18327";"1780295771810"
"24";"2026-06-01 03:46:11";"14.62";"67";"948.82";"3680";"";"-22.822113037109375";"-47.065635681152344";"607.4";"-90";"13.300000190734863";"18328";"1780296371814"
"25";"2026-06-01 03:56:11";"14.45";"67.5";"948.76";"3700";"";"-22.822145462036133";"-47.06568908691406";"611.5";"-92";"13";"18329";"1780296971817"
"26";"2026-06-01 04:06:11";"14.26";"67.5";"948.74";"3660";"";"-22.822097778320312";"-47.06564712524414";"605.2";"-93";"12.5";"18330";"1780297571816"
"27";"2026-06-01 04:16:10";"14.12";"68";"948.74";"3660";"";"-22.822181701660156";"-47.065643310546875";"614.7";"-92";"12.800000190734863";"18331";"1780298170823"
"28";"2026-06-01 04:26:11";"13.96";"68";"948.78";"3660";"";"-22.822153091430664";"-47.06568145751953";"610.7";"-91";"12.800000190734863";"18332";"1780298771784"
"29";"2026-06-01 04:36:11";"13.86";"68";"948.8000000000001";"3660";"";"-22.822185516357422";"-47.065673828125";"606.9";"-92";"12.800000190734863";"18333";"1780299371823"
"30";"2026-06-01 04:46:11";"13.9";"67.5";"948.9";"3680";"";"-22.822092056274414";"-47.06564712524414";"611.7";"-91";"13";"18334";"1780299971824"
"31";"2026-06-01 04:56:11";"13.96";"67.5";"948.88";"3700";"";"-22.82213020324707";"-47.06561279296875";"611.5";"-92";"12.5";"18335";"1780300571811"
"32";"2026-06-01 05:06:11";"14.01";"67";"948.96";"3660";"";"-22.822113037109375";"-47.06560134887695";"601.7";"-92";"12.800000190734863";"18336";"1780301171819"
"33";"2026-06-01 05:16:11";"14.04";"67";"949";"3660";"";"-22.8221378326416";"-47.06565856933594";"611.7";"-91";"12.5";"18337";"1780301771814"
"34";"2026-06-01 05:26:11";"14";"67";"949.1";"3660";"";"-22.822139739990234";"-47.06565475463867";"613.7";"-91";"11.800000190734863";"18338";"1780302371824"
"35";"2026-06-01 05:36:11";"14.06";"67";"949.12";"3660";"";"-22.822134017944336";"-47.06562423706055";"617.5";"-91";"12.800000190734863";"18339";"1780302971819"
"36";"2026-06-01 05:46:11";"14.12";"67";"949.24";"3660";"";"-22.82215690612793";"-47.065650939941406";"611.7";"-91";"13";"18340";"1780303571808"
"37";"2026-06-01 05:56:11";"14.23";"67";"949.36";"3680";"";"-22.82215118408203";"-47.065677642822266";"600.5";"-91";"12.300000190734863";"18341";"1780304171792"
"38";"2026-06-01 06:06:11";"14.42";"66";"949.52";"3660";"";"-22.822153091430664";"-47.06565475463867";"613";"-92";"13";"18342";"1780304771826"
"39";"2026-06-01 06:16:11";"14.58";"66";"949.66";"3660";"";"-22.82215118408203";"-47.06565475463867";"609.9";"-91";"13";"18343";"1780305371831"
"40";"2026-06-01 06:26:11";"14.64";"66";"949.82";"3640";"";"-22.822153091430664";"-47.065643310546875";"631";"-91";"12.800000190734863";"18344";"1780305971815"
"41";"2026-06-01 06:36:11";"14.67";"66";"949.96";"3680";"";"-22.82215118408203";"-47.065635681152344";"620.4000000000001";"-91";"12.5";"18345";"1780306571819"
"42";"2026-06-01 06:46:11";"14.64";"66";"950";"3640";"";"-22.8221435546875";"-47.065704345703125";"609.5";"-90";"12.800000190734863";"18346";"1780307171808"
"43";"2026-06-01 06:56:10";"14.8";"66";"950.08";"3640";"";"-22.82213592529297";"-47.06565475463867";"611.2";"-91";"12.5";"18347";"1780307770820"
"44";"2026-06-01 07:06:11";"14.84";"66";"950.0600000000001";"3660";"";"-22.822111129760742";"-47.065635681152344";"614.2";"-92";"12.800000190734863";"18348";"1780308371802"
"45";"2026-06-01 07:16:10";"14.95";"66";"950.12";"3680";"";"-22.822134017944336";"-47.065670013427734";"614.4000000000001";"-93";"12.300000190734863";"18349";"1780308970815"
"46";"2026-06-01 07:26:10";"15.16";"65.5";"950.1800000000001";"3640";"";"-22.822078704833984";"-47.06560134887695";"616.4000000000001";"-92";"12.800000190734863";"18350";"1780309570821"
"47";"2026-06-01 07:36:11";"15.41";"65";"950.24";"3620";"";"-22.822128295898438";"-47.065677642822266";"605.5";"-91";"12.5";"18351";"1780310171810"
"48";"2026-06-01 07:46:11";"15.59";"64.5";"950.28";"3660";"";"-22.82211685180664";"-47.065643310546875";"613.4";"-91";"12.5";"18352";"1780310771817"
"49";"2026-06-01 07:56:11";"16.31";"63";"950.34";"3640";"";"-22.8221435546875";"-47.065711975097656";"621.2";"-92";"13";"18353";"1780311371807"
"50";"2026-06-01 08:06:11";"19.23";"56";"950.46";"3640";"";"-22.822172164916992";"-47.06565856933594";"614.4000000000001";"-92";"12.800000190734863";"18354";"1780311971820"
"51";"2026-06-01 08:16:11";"28.03";"38";"950.54";"3640";"";"-22.822120666503906";"-47.06563186645508";"618.4000000000001";"-92";"13";"18355";"1780312571812"
"52";"2026-06-01 08:26:11";"21.35";"54.5";"950.7";"3640";"";"-22.822139739990234";"-47.065670013427734";"612.2";"-93";"12.300000190734863";"18356";"1780313171814"
"53";"2026-06-01 08:36:11";"19.55";"59.5";"950.9200000000001";"3640";"";"-22.82213020324707";"-47.065673828125";"621.2";"-92";"12";"18357";"1780313771779"
"54";"2026-06-01 08:46:11";"19.45";"60.5";"951.02";"3660";"";"-22.822050094604492";"-47.06562423706055";"634";"-92";"12.5";"18358";"1780314371779"
"55";"2026-06-01 08:56:10";"19.53";"60.5";"951.16";"3640";"";"-22.822120666503906";"-47.06565475463867";"613";"-95";"12";"18359";"1780314970794"
"56";"2026-06-01 09:06:11";"19.7";"60.5";"951.28";"3640";"";"-22.8221435546875";"-47.06563186645508";"620.5";"-92";"13";"18360";"1780315571824"
"57";"2026-06-01 09:16:11";"19.92";"60.5";"951.3000000000001";"3620";"";"-22.822134017944336";"-47.065582275390625";"629.2";"-93";"13";"18361";"1780316171817"
"58";"2026-06-01 09:26:11";"20.19";"60";"951.5";"3640";"";"-22.8221492767334";"-47.06566619873047";"608";"-93";"12.800000190734863";"18362";"1780316771821"
"59";"2026-06-01 09:36:11";"20.78";"58.5";"951.48";"3660";"";"-22.822154998779297";"-47.065650939941406";"608.7";"-92";"12.800000190734863";"18363";"1780317371823"
"60";"2026-06-01 09:46:10";"21.03";"58.5";"951.5600000000001";"3620";"";"-22.82211685180664";"-47.06564712524414";"619";"-94";"12.300000190734863";"18364";"1780317970796"
