"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-05-14 00:00:56";"16.08";"58";"947.82";"3680";"";"-22.822132110595703";"-47.0656852722168";"608.9";"-95";"11.800000190734863";"14052";"1778727656811"
"2";"2026-05-14 00:01:56";"16.06";"58";"947.8000000000001";"3660";"";"-22.8221492767334";"-47.06568908691406";"607.5";"-95";"12";"14053";"1778727716827"
"3";"2026-05-14 00:02:56";"16.05";"58";"947.72";"3700";"";"-22.822154998779297";"-47.065673828125";"605.2";"-96";"12";"14054";"1778727776810"
"4";"2026-05-14 00:03:56";"16.04";"58";"947.7";"3660";"";"-22.82216453552246";"-47.065677642822266";"604";"-94";"12";"14055";"1778727836815"
"5";"2026-05-14 00:04:56";"16.05";"58";"947.7";"3680";"";"-22.822189331054688";"-47.0656852722168";"605";"-96";"12.300000190734863";"14056";"1778727896829"
"6";"2026-05-14 00:05:56";"16";"58";"947.6800000000001";"3660";"";"-22.82220458984375";"-47.06569290161133";"615.5";"-95";"12";"14057";"1778727956828"
"7";"2026-05-14 00:06:56";"15.98";"58";"947.7";"3660";"";"-22.82222557067871";"-47.06569290161133";"611.9";"-96";"11.5";"14058";"1778728016818"
"8";"2026-05-14 00:07:56";"15.94";"58";"947.72";"3660";"";"-22.82215118408203";"-47.065696716308594";"612";"-95";"12";"14059";"1778728076825"
"9";"2026-05-14 00:08:56";"15.92";"58";"947.72";"3660";"";"-22.82217788696289";"-47.06570053100586";"614.7";"-95";"12.300000190734863";"14060";"1778728136830"
"10";"2026-05-14 00:09:56";"15.92";"58";"947.72";"3660";"";"-22.822132110595703";"-47.06565475463867";"615.5";"-95";"12";"14061";"1778728196787"
"11";"2026-05-14 00:10:56";"15.91";"58";"947.6800000000001";"3660";"";"-22.82212257385254";"-47.065677642822266";"603.5";"-96";"11.300000190734863";"14062";"1778728256818"
"12";"2026-05-14 00:11:56";"15.89";"58.5";"947.6800000000001";"3660";"";"-22.822154998779297";"-47.0656852722168";"605.4";"-95";"11.800000190734863";"14063";"1778728316813"
"13";"2026-05-14 00:12:56";"15.86";"58";"947.6800000000001";"3680";"";"-22.82219696044922";"-47.06571960449219";"605.5";"-95";"12.300000190734863";"14064";"1778728376826"
"14";"2026-05-14 00:13:56";"15.85";"58.5";"947.6800000000001";"3660";"";"-22.822181701660156";"-47.06568908691406";"609.7";"-95";"12";"14065";"1778728436818"
"15";"2026-05-14 00:14:56";"15.84";"58.5";"947.6800000000001";"3660";"";"-22.822181701660156";"-47.06569290161133";"608.4";"-95";"12";"14066";"1778728496820"
"16";"2026-05-14 00:15:56";"15.85";"58.5";"947.6800000000001";"3700";"";"-22.822158813476562";"-47.06565475463867";"615.2";"-94";"12";"14067";"1778728556823"
"17";"2026-05-14 00:16:56";"15.84";"58";"947.66";"3660";"";"-22.822145462036133";"-47.06565856933594";"615.5";"-94";"12.5";"14068";"1778728616822"
"18";"2026-05-14 00:17:56";"15.85";"58.5";"947.6800000000001";"3700";"";"-22.822141647338867";"-47.0656623840332";"608.5";"-95";"12.300000190734863";"14069";"1778728676816"
"19";"2026-05-14 00:18:56";"15.88";"58.5";"947.66";"3660";"";"-22.822242736816406";"-47.065704345703125";"603";"-95";"11.5";"14070";"1778728736822"
"20";"2026-05-14 00:19:56";"15.87";"58.5";"947.64";"3660";"";"-22.82217025756836";"-47.065677642822266";"617.2";"-95";"11.800000190734863";"14071";"1778728796810"
"21";"2026-05-14 00:20:56";"15.86";"58.5";"947.58";"3640";"";"-22.8221435546875";"-47.06568145751953";"619.4000000000001";"-95";"11.5";"14072";"1778728856823"
"22";"2026-05-14 00:21:56";"15.86";"58.5";"947.5600000000001";"3680";"";"-22.82216453552246";"-47.06565475463867";"618.2";"-95";"12.300000190734863";"14073";"1778728916802"
"23";"2026-05-14 00:22:56";"15.86";"58";"947.52";"3660";"";"-22.822113037109375";"-47.06566619873047";"615.9000000000001";"-95";"12";"14074";"1778728976818"
"24";"2026-05-14 00:23:56";"15.84";"58.5";"947.54";"3640";"";"-22.822120666503906";"-47.06570053100586";"609";"-95";"12";"14075";"1778729036807"
"25";"2026-05-14 00:24:56";"15.84";"58";"947.52";"3700";"";"-22.82215118408203";"-47.06565475463867";"614.7";"-95";"12.300000190734863";"14076";"1778729096812"
"26";"2026-05-14 00:25:56";"15.84";"58.5";"947.52";"3660";"";"-22.822162628173828";"-47.0656852722168";"616";"-95";"11";"14077";"1778729156813"
"27";"2026-05-14 00:26:56";"15.82";"58.5";"947.46";"3660";"";"-22.82219696044922";"-47.06571578979492";"609";"-95";"12.300000190734863";"14078";"1778729216813"
"28";"2026-05-14 00:27:56";"15.83";"58.5";"947.5";"3660";"";"-22.82221031188965";"-47.06566619873047";"615.9000000000001";"-95";"12";"14079";"1778729276813"
"29";"2026-05-14 00:28:56";"15.83";"58";"947.44";"3660";"";"-22.822195053100586";"-47.06570816040039";"610.5";"-95";"12";"14080";"1778729336816"
"30";"2026-05-14 00:29:56";"15.83";"58.5";"947.46";"3660";"";"-22.822202682495117";"-47.06572723388672";"607.2";"-95";"12";"14081";"1778729396813"
"31";"2026-05-14 00:30:56";"15.84";"58";"947.48";"3660";"";"-22.82217025756836";"-47.06565475463867";"620.2";"-96";"11.800000190734863";"14082";"1778729456811"
"32";"2026-05-14 00:31:56";"15.84";"58";"947.44";"3660";"";"-22.822078704833984";"-47.065643310546875";"614";"-94";"11.800000190734863";"14083";"1778729516817"
"33";"2026-05-14 00:32:56";"15.85";"58";"947.44";"3660";"";"-22.8221492767334";"-47.0656852722168";"610.2";"-95";"12.300000190734863";"14084";"1778729576814"
"34";"2026-05-14 00:33:56";"15.84";"58";"947.48";"3680";"";"-22.82218360900879";"-47.06568908691406";"615";"-95";"12";"14085";"1778729636808"
"35";"2026-05-14 00:34:56";"15.84";"58";"947.4200000000001";"3660";"";"-22.822216033935547";"-47.06568908691406";"616.7";"-94";"12.300000190734863";"14086";"1778729696830"
"36";"2026-05-14 00:35:56";"15.85";"58";"947.44";"3680";"";"-22.822229385375977";"-47.06569290161133";"610.7";"-94";"12";"14087";"1778729756814"
"37";"2026-05-14 00:36:56";"15.86";"58";"947.46";"3680";"";"-22.82217788696289";"-47.065670013427734";"593.2";"-94";"12.5";"14088";"1778729816812"
"38";"2026-05-14 00:37:56";"15.84";"58";"947.48";"3660";"";"-22.822200775146484";"-47.065711975097656";"603";"-94";"12.300000190734863";"14089";"1778729876801"
"39";"2026-05-14 00:38:56";"15.82";"58.5";"947.4200000000001";"3660";"";"-22.822202682495117";"-47.06570053100586";"607";"-94";"12.300000190734863";"14090";"1778729936814"
"40";"2026-05-14 00:39:56";"15.82";"58.5";"947.48";"3660";"";"-22.82216453552246";"-47.065704345703125";"616.5";"-94";"9";"14091";"1778729996794"
"41";"2026-05-14 00:40:56";"15.81";"58";"947.46";"3680";"";"-22.822158813476562";"-47.065673828125";"610.5";"-94";"12.300000190734863";"14092";"1778730056801"
"42";"2026-05-14 00:41:56";"15.79";"58";"947.54";"3680";"";"-22.82215690612793";"-47.065677642822266";"611.5";"-94";"11.5";"14093";"1778730116807"
"43";"2026-05-14 00:42:56";"15.78";"58.5";"947.58";"3660";"";"-22.822162628173828";"-47.06564712524414";"611.4";"-95";"11.800000190734863";"14094";"1778730176809"
"44";"2026-05-14 00:43:56";"15.79";"58";"947.5600000000001";"3660";"";"-22.822168350219727";"-47.06568145751953";"605";"-94";"11.5";"14095";"1778730236813"
"45";"2026-05-14 00:44:56";"15.78";"58.5";"947.58";"3680";"";"-22.82213592529297";"-47.065704345703125";"622";"-94";"11.300000190734863";"14096";"1778730296797"
"46";"2026-05-14 00:45:56";"15.78";"58.5";"947.6";"3660";"";"-22.82210922241211";"-47.065711975097656";"620.5";"-95";"11.800000190734863";"14097";"1778730356804"
"47";"2026-05-14 00:46:56";"15.75";"58.5";"947.6";"3660";"";"-22.82215690612793";"-47.06571578979492";"622.2";"-95";"12";"14098";"1778730416813"
