"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-03-24 00:06:37";"22.97";"68";"942.96";"3200";"0";"";"";"";"-114";"-6.800000190734863";"14267";"1774321597592"
"2";"2026-03-24 00:09:37";"22.97";"68";"942.98";"3200";"0";"";"";"";"-114";"-8.5";"14270";"1774321777618"
"3";"2026-03-24 00:17:37";"22.96";"68";"942.88";"3240";"0";"";"";"";"-114";"-7.5";"14278";"1774322257584"
"4";"2026-03-24 00:18:37";"22.97";"67.5";"942.82";"3240";"0";"";"";"";"-114";"-9.800000190734863";"14279";"1774322317618"
"5";"2026-03-24 00:23:37";"22.97";"67.5";"942.82";"3260";"0";"";"";"";"-114";"-7.300000190734863";"14284";"1774322617664"
"6";"2026-03-24 00:25:37";"22.97";"67.5";"942.84";"3260";"0";"";"";"";"-114";"-9.300000190734863";"14286";"1774322737615"
"7";"2026-03-24 00:26:37";"22.97";"67.5";"942.84";"3200";"0";"";"";"";"-114";"-7.5";"14287";"1774322797625"
"8";"2026-03-24 00:30:37";"22.98";"67.5";"942.86";"3220";"0";"";"";"";"-114";"-10";"14291";"1774323037625"
"9";"2026-03-24 00:32:37";"22.98";"67.5";"942.88";"3200";"0";"";"";"";"-114";"-8.300000190734863";"14293";"1774323157620"
"10";"2026-03-24 00:33:37";"22.97";"67.5";"942.9200000000001";"3200";"0";"";"";"";"-114";"-10";"14294";"1774323217597"
"11";"2026-03-24 00:34:37";"22.98";"67.5";"942.9200000000001";"3240";"0";"";"";"";"-114";"-7.300000190734863";"14295";"1774323277610"
"12";"2026-03-24 00:36:37";"22.99";"67.5";"942.98";"3240";"0";"";"";"";"-114";"-9.300000190734863";"14297";"1774323397620"
"13";"2026-03-24 00:43:37";"22.96";"67";"943.02";"3220";"0";"";"";"";"-114";"-10";"14304";"1774323817647"
"14";"2026-03-24 00:47:37";"22.97";"67.5";"942.96";"3200";"0";"";"";"";"-114";"-6.800000190734863";"14308";"1774324057621"
"15";"2026-03-24 00:50:37";"22.96";"67.5";"943.02";"3260";"0";"";"";"";"-114";"-8.300000190734863";"14311";"1774324237627"
"16";"2026-03-24 00:54:37";"22.96";"67.5";"943.04";"3240";"0";"";"";"";"-114";"-10";"14315";"1774324477616"
"17";"2026-03-24 01:00:37";"22.96";"67.5";"943.02";"3220";"0";"";"";"";"-114";"-8.5";"14321";"1774324837594"
"18";"2026-03-24 01:02:37";"22.96";"67.5";"943.1";"3220";"0";"";"";"";"-114";"-8.300000190734863";"14323";"1774324957624"
"19";"2026-03-24 01:04:37";"22.95";"67.5";"943.04";"3220";"0";"";"";"";"-114";"-8.800000190734863";"14325";"1774325077619"
"20";"2026-03-24 01:07:37";"22.96";"67.5";"943";"3200";"0";"";"";"";"-114";"-7.300000190734863";"14328";"1774325257615"
