"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-03-04 00:00:37";"23.08";"59";"945.1";"3840";"0";"";"";"";"-112";"-1.8";"50610";"1772593237626"
"2";"2026-03-04 00:01:37";"23.1";"59";"945.12";"3900";"0";"";"";"";"-112";"-2.3";"50611";"1772593297628"
"3";"2026-03-04 00:02:37";"23.08";"59";"945.12";"3880";"0";"";"";"";"-111";"-0.8";"50612";"1772593357630"
"4";"2026-03-04 00:03:37";"23.09";"59";"945.1";"3840";"0";"";"";"";"-112";"-0.8";"50613";"1772593417620"
"5";"2026-03-04 00:04:37";"23.09";"59";"945.12";"3820";"0";"";"";"";"-112";"-1.8";"50614";"1772593477616"
"6";"2026-03-04 00:05:37";"23.08";"59";"945.1";"3920";"0";"";"";"";"-112";"-2";"50615";"1772593537611"
"7";"2026-03-04 00:06:37";"23.09";"59";"945.08";"3820";"0";"";"";"";"-112";"-1.3";"50616";"1772593597628"
"8";"2026-03-04 00:07:37";"23.09";"59";"945.08";"3920";"0";"";"";"";"-112";"-1.5";"50617";"1772593657617"
"9";"2026-03-04 00:08:37";"23.09";"59";"945.1";"3900";"0";"";"";"";"-113";"-2.8";"50618";"1772593717626"
"10";"2026-03-04 00:09:37";"23.09";"59";"945.04";"3840";"0";"";"";"";"-112";"-2";"50619";"1772593777621"
"11";"2026-03-04 00:10:37";"23.09";"59";"945.08";"3820";"0";"";"";"";"-112";"-1.5";"50620";"1772593837632"
"12";"2026-03-04 00:11:37";"23.08";"59";"945.0600000000001";"3880";"0";"";"";"";"-112";"-1.5";"50621";"1772593897619"
"13";"2026-03-04 00:12:37";"23.08";"59";"945.08";"3880";"0";"";"";"";"-112";"-2.3";"50622";"1772593957619"
"14";"2026-03-04 00:13:37";"23.08";"59";"945.04";"3920";"0";"";"";"";"-112";"-1.5";"50623";"1772594017621"
"15";"2026-03-04 00:14:37";"23.08";"59";"945.04";"3880";"0";"";"";"";"-112";"-1.5";"50624";"1772594077613"
"16";"2026-03-04 00:15:37";"23.08";"59";"945.0600000000001";"3820";"0";"";"";"";"-112";"-1.5";"50625";"1772594137623"
"17";"2026-03-04 00:16:37";"23.08";"59";"944.98";"3900";"0";"";"";"";"-111";"-1.3";"50626";"1772594197619"
"18";"2026-03-04 00:17:37";"23.09";"59";"945";"3820";"0";"";"";"";"-112";"-1.8";"50627";"1772594257622"
"19";"2026-03-04 00:18:37";"23.08";"59";"945.02";"3840";"0";"";"";"";"-112";"-2";"50628";"1772594317624"
"20";"2026-03-04 00:19:37";"23.08";"59";"944.98";"3860";"0";"";"";"";"-112";"-0.8";"50629";"1772594377630"
"21";"2026-03-04 00:20:37";"23.07";"59";"944.98";"3860";"0";"";"";"";"-112";"-2";"50630";"1772594437620"
"22";"2026-03-04 00:21:37";"23.07";"59";"945";"3880";"0";"";"";"";"-112";"-1.3";"50631";"1772594497628"
"23";"2026-03-04 00:22:37";"23.07";"59";"945";"3860";"0";"";"";"";"-111";"-0.5";"50632";"1772594557629"
"24";"2026-03-04 00:23:37";"23.07";"59";"945.02";"3820";"0";"";"";"";"-112";"-2";"50633";"1772594617625"
"25";"2026-03-04 00:24:37";"23.07";"59";"944.98";"3880";"0";"";"";"";"-112";"-1.3";"50634";"1772594677623"
"26";"2026-03-04 00:25:37";"23.07";"59";"945";"3900";"0";"";"";"";"-112";"-1.8";"50635";"1772594737617"
"27";"2026-03-04 00:26:37";"23.07";"59";"945";"3860";"0";"";"";"";"-112";"-1.5";"50636";"1772594797628"
"28";"2026-03-04 00:27:37";"23.07";"59";"944.94";"3820";"0";"";"";"";"-112";"-1.3";"50637";"1772594857628"
"29";"2026-03-04 00:28:37";"23.07";"59";"944.9200000000001";"3860";"0";"";"";"";"-112";"-2.3";"50638";"1772594917623"
"30";"2026-03-04 00:29:37";"23.07";"59";"944.94";"3840";"0";"";"";"";"-112";"-2";"50639";"1772594977632"
"31";"2026-03-04 00:30:37";"23.07";"59";"944.9";"3820";"0";"";"";"";"-112";"-3.5";"50640";"1772595037616"
"32";"2026-03-04 00:31:37";"23.07";"59";"944.9200000000001";"3900";"0";"";"";"";"-111";"-0.3";"50641";"1772595097623"
"33";"2026-03-04 00:32:37";"23.07";"59";"944.94";"3860";"0";"";"";"";"-111";"-0.8";"50642";"1772595157628"
"34";"2026-03-04 00:33:37";"23.07";"59";"944.96";"3900";"0";"";"";"";"-113";"-4.5";"50643";"1772595217625"
"35";"2026-03-04 00:34:37";"23.06";"59";"944.9200000000001";"3900";"0";"";"";"";"-111";"-1";"50644";"1772595277613"
"36";"2026-03-04 00:35:37";"23.07";"59";"944.94";"3860";"0";"";"";"";"-112";"-1.5";"50645";"1772595337618"
"37";"2026-03-04 00:36:37";"23.07";"59";"945";"3880";"0";"";"";"";"-112";"-1";"50646";"1772595397633"
"38";"2026-03-04 00:37:37";"23.06";"59";"944.96";"3840";"0";"";"";"";"-111";"-0.8";"50647";"1772595457684"
"39";"2026-03-04 00:38:37";"23.05";"59";"944.94";"3840";"0";"";"";"";"-112";"-2";"50648";"1772595517618"
"40";"2026-03-04 00:39:37";"23.06";"59";"944.9200000000001";"3900";"0";"";"";"";"-112";"-1.5";"50649";"1772595577613"
"41";"2026-03-04 00:40:37";"23.06";"59.5";"944.9";"3820";"0";"";"";"";"-112";"-2.8";"50650";"1772595637629"
"42";"2026-03-04 00:41:37";"23.05";"59";"944.9";"3900";"0";"";"";"";"-113";"-2.5";"50651";"1772595697617"
"43";"2026-03-04 00:42:37";"23.05";"59";"944.88";"3840";"0";"";"";"";"-112";"-1.8";"50652";"1772595757629"
"44";"2026-03-04 00:43:37";"23.05";"59";"944.84";"3820";"0";"";"";"";"-112";"-2";"50653";"1772595817630"
"45";"2026-03-04 00:44:37";"23.05";"59.5";"944.84";"3820";"0";"";"";"";"-112";"-1.8";"50654";"1772595877622"
"46";"2026-03-04 00:45:37";"23.05";"59";"944.82";"3880";"0";"";"";"";"-112";"-1";"50655";"1772595937626"
"47";"2026-03-04 00:46:37";"23.05";"59";"944.76";"3860";"0";"";"";"";"-112";"-1.8";"50656";"1772595997616"
"48";"2026-03-04 00:47:37";"23.05";"59";"944.78";"3860";"0";"";"";"";"-112";"-2.3";"50657";"1772596057625"
"49";"2026-03-04 00:48:37";"23.05";"59";"944.8000000000001";"3820";"0";"";"";"";"-112";"-2.5";"50658";"1772596117613"
"50";"2026-03-04 00:49:37";"23.05";"59";"944.76";"3860";"0";"";"";"";"-112";"-2";"50659";"1772596177617"
"51";"2026-03-04 00:50:37";"23.05";"59.5";"944.76";"3900";"0";"";"";"";"-111";"-1.8";"50660";"1772596237621"
"52";"2026-03-04 00:51:37";"23.05";"59.5";"944.7";"3860";"0";"";"";"";"-112";"-1.5";"50661";"1772596297626"
"53";"2026-03-04 00:52:37";"23.05";"59.5";"944.7";"3840";"0";"";"";"";"-112";"-1.3";"50662";"1772596357614"
"54";"2026-03-04 00:53:37";"23.05";"59";"944.6800000000001";"3920";"0";"";"";"";"-112";"-1.3";"50663";"1772596417629"
"55";"2026-03-04 00:54:37";"23.05";"59.5";"944.7";"3880";"0";"";"";"";"-112";"-0.8";"50664";"1772596477621"
"56";"2026-03-04 00:55:37";"23.05";"59.5";"944.6800000000001";"3840";"0";"";"";"";"-112";"-1.3";"50665";"1772596537628"
"57";"2026-03-04 00:56:37";"23.05";"59";"944.72";"3840";"0";"";"";"";"-112";"-1.3";"50666";"1772596597628"
"58";"2026-03-04 00:57:37";"23.05";"59";"944.62";"3900";"0";"";"";"";"-112";"-0.5";"50667";"1772596657621"
"59";"2026-03-04 00:58:37";"23.05";"59";"944.64";"3820";"0";"";"";"";"-112";"-1.5";"50668";"1772596717627"
"60";"2026-03-04 00:59:37";"23.05";"59";"944.64";"3840";"0";"";"";"";"-112";"-1.3";"50669";"1772596777623"
"61";"2026-03-04 01:00:37";"23.05";"59";"944.62";"3900";"0";"";"";"";"-112";"-1.3";"50670";"1772596837613"
"62";"2026-03-04 01:01:37";"23.05";"59";"944.6";"3900";"0";"";"";"";"-112";"-1.5";"50671";"1772596897627"
"63";"2026-03-04 01:02:37";"23.05";"59.5";"944.6";"3820";"0";"";"";"";"-112";"-1.5";"50672";"1772596957622"
"64";"2026-03-04 01:03:37";"23.05";"59";"944.6";"3900";"0";"";"";"";"-112";"-1.3";"50673";"1772597017613"
"65";"2026-03-04 01:04:37";"23.05";"59";"944.62";"3840";"0";"";"";"";"-112";"-1.5";"50674";"1772597077620"
"66";"2026-03-04 01:05:37";"23.05";"59";"944.58";"3820";"0";"";"";"";"-112";"-2.5";"50675";"1772597137617"
"67";"2026-03-04 01:06:37";"23.05";"59.5";"944.54";"3860";"0";"";"";"";"-112";"-1.8";"50676";"1772597197618"
"68";"2026-03-04 01:07:37";"23.05";"59.5";"944.5600000000001";"3900";"0";"";"";"";"-112";"-2.3";"50677";"1772597257625"
"69";"2026-03-04 01:08:37";"23.05";"59.5";"944.58";"3900";"0";"";"";"";"-112";"-2.3";"50678";"1772597317621"
"70";"2026-03-04 01:09:37";"23.05";"59";"944.54";"3920";"0";"";"";"";"-112";"-1.8";"50679";"1772597377697"
"71";"2026-03-04 01:10:37";"23.05";"59.5";"944.54";"3880";"0";"";"";"";"-112";"-2.3";"50680";"1772597437627"
"72";"2026-03-04 01:11:37";"23.04";"59.5";"944.52";"3820";"0";"";"";"";"-111";"0";"50681";"1772597497621"
"73";"2026-03-04 01:12:37";"23.04";"59.5";"944.52";"3840";"0";"";"";"";"-111";"-1.3";"50682";"1772597557618"
"74";"2026-03-04 01:13:37";"23.04";"59.5";"944.5";"3900";"0";"";"";"";"-112";"-2.3";"50683";"1772597617617"
"75";"2026-03-04 01:14:37";"23.05";"59.5";"944.5";"3880";"0";"";"";"";"-112";"-2.3";"50684";"1772597677622"
"76";"2026-03-04 01:15:37";"23.04";"59.5";"944.5";"3820";"0";"";"";"";"-112";"-1.5";"50685";"1772597737610"
"77";"2026-03-04 01:16:37";"23.05";"59.5";"944.48";"3840";"0";"";"";"";"-112";"-2";"50686";"1772597797616"
"78";"2026-03-04 01:17:37";"23.04";"59.5";"944.5";"3820";"0";"";"";"";"-112";"-1.8";"50687";"1772597857629"
"79";"2026-03-04 01:18:37";"23.04";"59.5";"944.5";"3820";"0";"";"";"";"-112";"-1.5";"50688";"1772597917619"
"80";"2026-03-04 01:19:37";"23.04";"59.5";"944.48";"3860";"0";"";"";"";"-112";"-1.5";"50689";"1772597977619"
"81";"2026-03-04 01:20:37";"23.04";"59.5";"944.46";"3840";"0";"";"";"";"-112";"-1.8";"50690";"1772598037616"
"82";"2026-03-04 01:21:37";"23.04";"59.5";"944.46";"3900";"0";"";"";"";"-112";"-1.8";"50691";"1772598097613"
"83";"2026-03-04 01:22:37";"23.03";"59.5";"944.44";"3820";"0";"";"";"";"-112";"-1.8";"50692";"1772598157621"
"84";"2026-03-04 01:23:37";"23.04";"59.5";"944.38";"3900";"0";"";"";"";"-112";"-2.3";"50693";"1772598217623"
"85";"2026-03-04 01:24:37";"23.03";"59.5";"944.38";"3860";"0";"";"";"";"-113";"-2.3";"50694";"1772598277618"
"86";"2026-03-04 01:25:37";"23.03";"59.5";"944.4";"3820";"0";"";"";"";"-112";"-1";"50695";"1772598337613"
"87";"2026-03-04 01:26:37";"23.03";"59.5";"944.4200000000001";"3860";"0";"";"";"";"-113";"-2";"50696";"1772598397610"
"88";"2026-03-04 01:27:37";"23.03";"59.5";"944.4";"3880";"0";"";"";"";"-112";"-1.5";"50697";"1772598457624"
"89";"2026-03-04 01:28:37";"23.03";"59.5";"944.46";"3840";"0";"";"";"";"-112";"-0.5";"50698";"1772598517625"
"90";"2026-03-04 01:29:37";"23.03";"59.5";"944.4200000000001";"3820";"0";"";"";"";"-112";"-1.8";"50699";"1772598577621"
"91";"2026-03-04 01:30:37";"23.02";"59.5";"944.4";"3860";"0";"";"";"";"-112";"-1";"50700";"1772598637610"
"92";"2026-03-04 01:31:37";"23.03";"59.5";"944.46";"3900";"0";"";"";"";"-112";"-2.3";"50701";"1772598697612"
"93";"2026-03-04 01:32:37";"23.03";"59.5";"944.46";"3820";"0";"";"";"";"-112";"-1.5";"50702";"1772598757623"
"94";"2026-03-04 01:33:37";"23.02";"59.5";"944.44";"3920";"0";"";"";"";"-112";"-1.3";"50703";"1772598817786"
"95";"2026-03-04 01:34:37";"23.02";"59.5";"944.4";"3820";"0";"";"";"";"-112";"-2.8";"50704";"1772598877620"
"96";"2026-03-04 01:35:37";"23.02";"59.5";"944.4";"3820";"0";"";"";"";"-112";"-0.5";"50705";"1772598937628"
"97";"2026-03-04 01:36:37";"23.02";"59.5";"944.4";"3840";"0";"";"";"";"-112";"-1.8";"50706";"1772598997616"
"98";"2026-03-04 01:37:37";"23.02";"59.5";"944.38";"3840";"0";"";"";"";"-112";"-0.5";"50707";"1772599057616"
"99";"2026-03-04 01:38:37";"23.02";"59.5";"944.36";"3880";"0";"";"";"";"-111";"-0.3";"50708";"1772599117613"
"100";"2026-03-04 01:39:37";"23.02";"60";"944.38";"3900";"0";"";"";"";"-112";"-0.8";"50709";"1772599177621"
"101";"2026-03-04 01:40:37";"23.02";"60";"944.38";"3840";"0";"";"";"";"-112";"-1.5";"50710";"1772599237617"
"102";"2026-03-04 01:41:37";"23.02";"60";"944.32";"3820";"0";"";"";"";"-112";"-0.8";"50711";"1772599297613"
"103";"2026-03-04 01:42:37";"23.01";"60";"944.28";"3880";"0";"";"";"";"-113";"-4";"50712";"1772599357622"
"104";"2026-03-04 01:43:37";"23.02";"60";"944.28";"3860";"0";"";"";"";"-112";"-1.3";"50713";"1772599417618"
"105";"2026-03-04 01:44:37";"23.02";"60";"944.28";"3900";"0";"";"";"";"-112";"-1";"50714";"1772599477607"
"106";"2026-03-04 01:45:37";"23.01";"60";"944.28";"3880";"0";"";"";"";"-112";"-1.8";"50715";"1772599537614"
"107";"2026-03-04 01:46:37";"23.01";"60";"944.26";"3820";"0";"";"";"";"-112";"-1.3";"50716";"1772599597621"
"108";"2026-03-04 01:47:37";"23.01";"60";"944.24";"3920";"0";"";"";"";"-112";"-1.3";"50717";"1772599657618"
"109";"2026-03-04 01:48:37";"23.01";"60";"944.24";"3920";"0";"";"";"";"-111";"-1.5";"50718";"1772599717623"
"110";"2026-03-04 01:49:37";"23.01";"59.5";"944.24";"3880";"0";"";"";"";"-112";"-1.8";"50719";"1772599777616"
"111";"2026-03-04 01:50:37";"23.01";"60";"944.2";"3820";"0";"";"";"";"-112";"-2";"50720";"1772599837623"
"112";"2026-03-04 01:51:37";"23";"59.5";"944.16";"3900";"0";"";"";"";"-112";"-1";"50721";"1772599897642"
"113";"2026-03-04 01:52:37";"23";"60";"944.12";"3920";"0";"";"";"";"-112";"-2.3";"50722";"1772599957620"
"114";"2026-03-04 01:53:37";"23";"60";"944.1";"3900";"0";"";"";"";"-112";"-2.5";"50723";"1772600017617"
"115";"2026-03-04 01:54:37";"23";"60";"944.1";"3860";"0";"";"";"";"-112";"-1.5";"50724";"1772600077614"
"116";"2026-03-04 01:55:37";"23";"60";"944.04";"3840";"0";"";"";"";"-113";"-5";"50725";"1772600137620"
"117";"2026-03-04 01:56:37";"23";"60";"944.08";"3880";"0";"";"";"";"-112";"-1.5";"50726";"1772600197611"
"118";"2026-03-04 01:57:37";"23";"60";"944.1";"3860";"0";"";"";"";"-112";"-1.8";"50727";"1772600257619"
"119";"2026-03-04 01:58:37";"23.01";"60";"944.14";"3860";"0";"";"";"";"-112";"-2.3";"50728";"1772600317622"
"120";"2026-03-04 01:59:37";"23.01";"60";"944.16";"3860";"0";"";"";"";"-112";"-3";"50729";"1772600377612"
"121";"2026-03-04 02:00:37";"23";"60";"944.14";"3820";"0";"";"";"";"-112";"-2.3";"50730";"1772600437616"
"122";"2026-03-04 02:01:37";"23";"60";"944.16";"3840";"0";"";"";"";"-112";"-2.5";"50731";"1772600497610"
