"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-05-05 10:58:43","23.54","48.5","953.1800000000001","3760","","","","","-106","4.800000190734863","14335","1777989523611"
"2","2026-05-05 10:59:43","","","","","","","","","-107","4","14336","1777989583301"
"3","2026-05-05 10:59:43","23.42","49","953.26","3740","","","","","-106","3.5","14336","1777989583605"
"4","2026-05-05 11:00:43","23.38","49","953.28","3740","","","","","-106","5.800000190734863","14337","1777989643652"
"5","2026-05-05 11:01:43","23.31","49.5","953.28","3740","","","","","-103","7.300000190734863","14338","1777989703652"
"6","2026-05-05 11:02:43","23.3","49.5","953.26","3720","","","","","-103","7.5","14339","1777989763648"
"7","2026-05-05 11:03:43","23.29","50","953.3000000000001","3740","","","","","-107","3.5","14340","1777989823615"
"8","2026-05-05 11:04:43","23.29","50","953.3000000000001","3760","","","","","-105","6.300000190734863","14341","1777989883636"
"9","2026-05-05 11:05:43","23.34","50","953.32","3740","","","","","-104","6","14342","1777989943650"
"10","2026-05-05 11:06:34","23.39","50","953.3000000000001","3740","","-22.822189331054688","-47.06576919555664","609","-108","2","14343","1777989994841"
"11","2026-05-05 11:07:34","23.4","50","953.3000000000001","3780","","-22.822223663330078","-47.06581497192383","604.7","-110","0.5","14344","1777990054833"
"12","2026-05-05 11:08:34","23.43","50.5","953.24","3780","","-22.82213592529297","-47.065616607666016","621.2","-108","3","14345","1777990114774"
"13","2026-05-05 11:09:34","23.45","50.5","953.26","3740","","-22.822174072265625","-47.06562805175781","613.2","-106","4.5","14346","1777990174765"
"14","2026-05-05 11:10:34","23.51","50","953.26","3740","","-22.82207679748535","-47.06546401977539","622.4000000000001","-104","6.300000190734863","14347","1777990234841"
"15","2026-05-05 11:11:34","23.53","50","953.22","3720","","-22.82215690612793","-47.0656852722168","620.5","-107","3.799999952316284","14348","1777990294820"
"16","2026-05-05 11:12:34","23.53","50","953.22","3740","","-22.822114944458008","-47.065616607666016","628","-104","6.300000190734863","14349","1777990354837"
"17","2026-05-05 11:13:34","23.55","49.5","953.22","3760","","-22.822099685668945","-47.065635681152344","628.2","-111","-2","14350","1777990414774"
"18","2026-05-05 11:14:34","23.53","49.5","953.2","3740","","-22.822078704833984","-47.06568908691406","627.7","-111","-3","14351","1777990474798"
"19","2026-05-05 11:15:34","23.52","49.5","953.1800000000001","3740","","-22.82205581665039","-47.0654182434082","632.7","-107","2.5","14352","1777990534812"
"20","2026-05-05 11:16:34","23.52","49.5","953.1800000000001","3760","","-22.821998596191406","-47.06551742553711","633.7","-105","4.800000190734863","14353","1777990594801"
"21","2026-05-05 11:17:34","23.53","49.5","953.16","3740","","-22.82200050354004","-47.06550598144531","635.7","-107","3.799999952316284","14354","1777990654770"
"22","2026-05-05 11:18:34","23.52","49.5","953.14","3740","","-22.822011947631836","-47.06552505493164","641.2","-104","6.300000190734863","14355","1777990714817"
"23","2026-05-05 11:19:34","23.46","49","953.12","3740","","-22.82199478149414","-47.06548309326172","644","-110","1.2999999523162842","14356","1777990774782"
"24","2026-05-05 11:20:34","23.43","49","953.16","3740","","-22.821990966796875","-47.06548309326172","646.5","-105","5.800000190734863","14357","1777990834842"
"25","2026-05-05 11:21:34","23.39","48.5","953.1","3740","","-22.822080612182617","-47.06555938720703","626","-105","5.300000190734863","14358","1777990894795"
"26","2026-05-05 11:22:34","23.43","49","953.1","3760","","-22.82211685180664","-47.0655403137207","627.7","-107","4.300000190734863","14359","1777990954774"
"27","2026-05-05 11:23:34","23.41","48.5","953.08","3740","","-22.822010040283203","-47.06544494628906","631.2","-104","6.300000190734863","14360","1777991014838"
"28","2026-05-05 11:24:34","23.39","48.5","953.08","3740","","-22.822099685668945","-47.06562423706055","622.2","-108","1.7999999523162842","14361","1777991074802"
"29","2026-05-05 11:25:34","23.38","48.5","953.12","3740","","-22.822072982788086","-47.06559371948242","624.5","-106","4.800000190734863","14362","1777991134842"
"30","2026-05-05 11:26:34","23.33","49","953.08","3740","","-22.822050094604492","-47.065547943115234","624.7","-107","4.800000190734863","14363","1777991194835"
"31","2026-05-05 11:27:34","23.3","48.5","953.1","3740","","-22.822050094604492","-47.06550979614258","619.2","-109","3","14364","1777991254770"
"32","2026-05-05 11:28:34","23.27","48.5","953.0600000000001","3740","","-22.82201385498047","-47.065494537353516","620.9000000000001","-109","3.299999952316284","14365","1777991314838"
"33","2026-05-05 11:29:34","23.23","48.5","953.0600000000001","3760","","-22.822038650512695","-47.06537628173828","618.7","-108","2.799999952316284","14366","1777991374804"
"34","2026-05-05 11:30:34","23.16","49","953.0600000000001","3760","","-22.822105407714844","-47.06553649902344","622.2","-104","7","14367","1777991434782"
"35","2026-05-05 11:31:34","23.12","48.5","953.02","3740","","-22.8221435546875","-47.065643310546875","618.7","-111","1.2999999523162842","14368","1777991494824"
"36","2026-05-05 11:32:34","23.1","48.5","953.02","3740","","-22.822174072265625","-47.065738677978516","617.7","-109","1.2999999523162842","14369","1777991554836"
"37","2026-05-05 11:33:34","23.08","48.5","952.98","3720","","-22.822166442871094","-47.065860748291016","614.4000000000001","-105","5","14370","1777991614828"
"38","2026-05-05 11:34:34","23.03","48.5","952.96","3760","","-22.82211685180664","-47.065765380859375","612.7","-108","1.2999999523162842","14371","1777991674808"
"39","2026-05-05 11:35:34","23.02","48.5","952.94","3720","","-22.822101593017578","-47.06571578979492","616.7","-106","4","14372","1777991734774"
"40","2026-05-05 11:36:34","22.96","48.5","952.96","3740","","-22.822290420532227","-47.065704345703125","611.5","-107","5","14373","1777991794777"
"41","2026-05-05 11:38:34","22.9","48.5","952.94","3760","","-22.822195053100586","-47.06566619873047","616.2","-107","4","14375","1777991914819"
"42","2026-05-05 11:39:34","22.88","48.5","952.9200000000001","3720","","-22.822160720825195","-47.06566619873047","611.5","-109","3","14376","1777991974799"
"43","2026-05-05 11:40:34","22.9","48.5","952.9","3740","","-22.822269439697266","-47.065792083740234","598.5","-106","4.300000190734863","14377","1777992034833"
"44","2026-05-05 11:41:34","22.88","48.5","952.88","3720","","-22.82213020324707","-47.065731048583984","629.9000000000001","-105","5.5","14378","1777992094804"
"45","2026-05-05 11:42:34","22.9","49","952.84","3740","","-22.82205581665039","-47.06563186645508","640","-103","7","14379","1777992154801"
"46","2026-05-05 11:43:34","22.89","49","952.86","3720","","-22.821990966796875","-47.06570053100586","632","-106","5","14380","1777992214774"
"47","2026-05-05 11:44:34","22.91","49","952.86","3720","","-22.822498321533203","-47.065391540527344","632.2","-106","4","14381","1777992274774"
"48","2026-05-05 11:45:34","22.93","49","952.84","3720","","-22.822420120239258","-47.06538391113281","632.4000000000001","-106","4","14382","1777992334824"
"49","2026-05-05 11:46:43","22.89","49","952.82","3740","","","","","-111","-2","14383","1777992403641"
"50","2026-05-05 11:48:34","22.85","49","952.76","3720","","-22.821754455566406","-47.065834045410156","620.9000000000001","-106","3","14385","1777992514809"
"51","2026-05-05 11:49:34","22.82","49","952.76","3740","","-22.821807861328125","-47.06560516357422","643.7","-107","3","14386","1777992574803"
"52","2026-05-05 11:50:34","22.83","49.5","952.74","3720","","-22.82193374633789","-47.06560134887695","642.2","-110","-0.30000001192092896","14387","1777992634776"
"53","2026-05-05 11:51:34","22.86","49","952.78","3740","","-22.82210350036621","-47.0656852722168","635.4000000000001","-103","3.799999952316284","14388","1777992694826"
"54","2026-05-05 11:52:34","22.9","49","952.76","3760","","-22.822208404541016","-47.06540298461914","637.9000000000001","-104","6.300000190734863","14389","1777992754804"
"55","2026-05-05 11:53:34","22.93","49","952.78","3740","","-22.822162628173828","-47.06541061401367","638.2","-104","5.300000190734863","14390","1777992814819"
"56","2026-05-05 11:54:34","22.91","49","952.74","3720","","-22.82210350036621","-47.065406799316406","640.9000000000001","-113","-7.300000190734863","14391","1777992874827"
"57","2026-05-05 11:55:34","22.92","48.5","952.74","3740","","-22.822202682495117","-47.06541442871094","639.9000000000001","-105","6","14392","1777992934776"
"58","2026-05-05 11:56:34","22.92","48.5","952.74","3720","","-22.822277069091797","-47.06540298461914","642","-103","6.300000190734863","14393","1777992994786"
"59","2026-05-05 11:57:34","22.91","48.5","952.76","3720","","-22.822284698486328","-47.06538772583008","642.2","-104","6","14394","1777993054805"
"60","2026-05-05 11:58:34","22.89","48.5","952.72","3700","","-22.82218360900879","-47.065338134765625","642.2","-110","-0.800000011920929","14395","1777993114767"
"61","2026-05-05 11:59:34","22.88","48.5","952.72","3740","","-22.82219123840332","-47.06517791748047","647.4000000000001","-106","5.800000190734863","14396","1777993174842"
"62","2026-05-05 12:00:34","22.86","48.5","952.7","3740","","-22.821992874145508","-47.06536865234375","645.2","-104","5.300000190734863","14397","1777993234781"
"63","2026-05-05 12:01:34","22.86","48.5","952.74","3740","","-22.821971893310547","-47.06546401977539","636.7","-109","1.7999999523162842","14398","1777993294774"
"64","2026-05-05 12:02:34","22.84","48.5","952.7","3720","","-22.822263717651367","-47.065433502197266","639","-105","5.800000190734863","14399","1777993354822"
"65","2026-05-05 12:03:34","22.81","48.5","952.72","3720","","-22.82219696044922","-47.06535720825195","636.7","-104","6","14400","1777993414820"
"66","2026-05-05 12:04:34","22.76","49","952.72","3720","","-22.82209587097168","-47.065460205078125","635.7","-109","2.799999952316284","14401","1777993474805"
"67","2026-05-05 12:05:34","22.77","49","952.6800000000001","3720","","-22.822105407714844","-47.0655403137207","628.4000000000001","-105","6.800000190734863","14402","1777993534834"
"68","2026-05-05 12:06:34","22.77","49","952.6800000000001","3720","","-22.822118759155273","-47.06560516357422","620.4000000000001","-108","3","14403","1777993594780"
"69","2026-05-05 12:07:34","22.76","48.5","952.7","3740","","-22.822118759155273","-47.065555572509766","625","-103","7","14404","1777993654828"
"70","2026-05-05 12:08:34","22.74","48.5","952.6800000000001","3700","","-22.822139739990234","-47.065513610839844","626","-105","5.300000190734863","14405","1777993714820"
"71","2026-05-05 12:09:34","22.71","49","952.66","3720","","-22.822065353393555","-47.06555938720703","628","-108","3.799999952316284","14406","1777993774769"
"72","2026-05-05 12:10:34","22.68","48.5","952.64","3720","","-22.822040557861328","-47.065555572509766","637.9000000000001","-106","5","14407","1777993834798"
"73","2026-05-05 12:11:34","22.62","48.5","952.64","3740","","-22.822067260742188","-47.065399169921875","639.5","-107","3.5","14408","1777993894845"
"74","2026-05-05 12:12:34","22.56","48.5","952.62","3760","","-22.82190704345703","-47.06550598144531","639.2","-109","2.799999952316284","14409","1777993954838"
"75","2026-05-05 12:13:34","22.5","48.5","952.58","3700","","-22.822065353393555","-47.06552505493164","647.2","-113","-3.5","14410","1777994014775"
"76","2026-05-05 12:14:34","22.44","48.5","952.58","3720","","-22.822265625","-47.06540298461914","649.5","-109","2","14411","1777994074771"
"77","2026-05-05 12:15:34","22.36","49","952.5600000000001","3720","","-22.822206497192383","-47.06550216674805","651","-107","3.5","14412","1777994134854"
"78","2026-05-05 12:16:34","22.28","49","952.5600000000001","3720","","-22.82204818725586","-47.06549835205078","646.7","-105","6.5","14413","1777994194826"
"79","2026-05-05 12:17:34","22.22","48.5","952.54","3740","","-22.8222599029541","-47.065528869628906","646","-106","5","14414","1777994254819"
"80","2026-05-05 12:18:34","22.15","49","952.5","3740","","-22.82206153869629","-47.06542205810547","642.7","-106","6.5","14415","1777994314851"
"81","2026-05-05 12:19:34","22.09","48.5","952.48","3720","","-22.822195053100586","-47.065242767333984","650","-107","3.299999952316284","14416","1777994374778"
"82","2026-05-05 12:20:34","22.06","49","952.52","3740","","-22.822120666503906","-47.0654411315918","635.7","-110","1","14417","1777994434806"
"83","2026-05-05 12:21:34","22.01","49","952.5","3700","","-22.8221492767334","-47.06558609008789","625.4000000000001","-106","4.300000190734863","14418","1777994494826"
"84","2026-05-05 12:22:34","21.98","49","952.48","3720","","-22.822114944458008","-47.06559371948242","620.5","-104","6.300000190734863","14419","1777994554800"
"85","2026-05-05 12:23:34","21.94","49","952.46","3740","","-22.822187423706055","-47.06570816040039","615.2","-107","4.5","14420","1777994614778"
"86","2026-05-05 12:24:34","21.87","49","952.48","3740","","-22.822120666503906","-47.0655403137207","617.5","-103","6","14421","1777994674806"
"87","2026-05-05 12:25:34","21.83","49","952.46","3720","","-22.822132110595703","-47.06553649902344","620.2","-105","6","14422","1777994734800"
"88","2026-05-05 12:26:34","21.8","49","952.46","3740","","-22.822139739990234","-47.065513610839844","619.9000000000001","-109","3.5","14423","1777994794797"
"89","2026-05-05 12:27:34","21.75","49.5","952.48","3720","","-22.82208824157715","-47.06548309326172","617.5","-104","6.300000190734863","14424","1777994854829"
"90","2026-05-05 12:28:34","21.71","50","952.46","3700","","-22.822080612182617","-47.065521240234375","615.7","-106","4.800000190734863","14425","1777994914775"
