"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Lat","Lon"
"1","2026-05-29 00:07:49","14.18","80","1022","3.88","134","3","0","-22.8215","-47.0694"
"2","2026-05-29 00:17:49","14.18","80","1022","3.88","134","3","0","-22.8215","-47.0694"
"3","2026-05-29 00:27:49","14.18","82","1022","3.88","134","3","0","-22.8215","-47.0694"
"4","2026-05-29 00:37:49","14.18","82","1021","3.81","132","3","0","-22.8215","-47.0694"
"5","2026-05-29 00:47:49","14.18","82","1021","3.81","132","3","0","-22.8215","-47.0694"
"6","2026-05-29 00:57:49","14.18","82","1021","3.81","132","3","0","-22.8215","-47.0694"
"7","2026-05-29 01:07:49","14.18","82","1021","3.81","132","3","0","-22.8215","-47.0694"
"8","2026-05-29 01:17:49","14.18","82","1022","3.81","132","3","0","-22.8215","-47.0694"
"9","2026-05-29 01:27:49","14.18","82","1022","3.81","132","3","0","-22.8215","-47.0694"
"10","2026-05-29 01:37:49","13.62","83","1021","3.91","132","2","0","-22.8215","-47.0694"
"11","2026-05-29 01:47:49","13.62","83","1021","3.91","132","2","0","-22.8215","-47.0694"
"12","2026-05-29 01:57:49","13.62","83","1021","3.91","132","2","0","-22.8215","-47.0694"
"13","2026-05-29 02:07:49","13.62","83","1021","3.91","132","2","0","-22.8215","-47.0694"
"14","2026-05-29 02:17:49","13.62","83","1022","3.91","132","2","0","-22.8215","-47.0694"
"15","2026-05-29 02:27:49","13.62","83","1022","3.91","132","2","0","-22.8215","-47.0694"
"16","2026-05-29 02:37:49","13.62","83","1021","4.12","127","9","0","-22.8215","-47.0694"
"17","2026-05-29 02:47:49","13.62","83","1021","4.12","127","9","0","-22.8215","-47.0694"
"18","2026-05-29 02:57:49","13.67","83","1021","4.12","127","9","0","-22.8161","-47.0742"
"19","2026-05-29 03:07:49","13.62","83","1021","4.12","127","9","0","-22.8215","-47.0694"
"20","2026-05-29 03:17:49","13.62","83","1021","4.12","127","9","0","-22.8215","-47.0694"
"21","2026-05-29 03:27:49","13.07","84","1021","4.12","127","9","0","-22.8215","-47.0694"
"22","2026-05-29 03:37:49","13.07","84","1020","3.78","124","44","0","-22.8215","-47.0694"
"23","2026-05-29 03:47:49","13.07","84","1020","3.78","124","44","0","-22.8215","-47.0694"
"24","2026-05-29 03:57:49","13.07","84","1020","3.78","124","44","0","-22.8215","-47.0694"
"25","2026-05-29 04:07:49","13.07","84","1021","3.78","124","44","0","-22.8215","-47.0694"
"26","2026-05-29 04:17:49","13.07","84","1021","3.78","124","44","0","-22.8215","-47.0694"
"27","2026-05-29 04:27:49","13.07","85","1021","3.78","124","44","0","-22.8215","-47.0694"
"28","2026-05-29 04:37:49","13.07","85","1021","3.78","124","44","0","-22.8215","-47.0694"
"29","2026-05-29 04:47:49","13.07","85","1020","3.66","119","45","0","-22.8215","-47.0694"
"30","2026-05-29 04:57:49","13.07","85","1020","3.66","119","45","0","-22.8215","-47.0694"
"31","2026-05-29 05:07:49","13.07","85","1021","3.66","119","45","0","-22.8241","-47.074"
"32","2026-05-29 05:17:49","13.07","85","1021","3.66","119","45","0","-22.8215","-47.0694"
"33","2026-05-29 05:27:49","13.07","85","1021","3.66","119","45","0","-22.8215","-47.0694"
"34","2026-05-29 05:37:49","13.07","85","1021","3.42","122","45","0","-22.8215","-47.0694"
"35","2026-05-29 05:47:49","13.07","85","1021","3.42","122","45","0","-22.8215","-47.0694"
"36","2026-05-29 05:57:49","13.07","85","1021","3.42","122","45","0","-22.8215","-47.0694"
"37","2026-05-29 06:07:49","13.07","85","1021","3.42","122","45","0","-22.8215","-47.0694"
"38","2026-05-29 06:17:49","13.07","85","1021","3.42","122","45","0","-22.8215","-47.0694"
"39","2026-05-29 06:27:49","12.51","88","1021","3.42","122","45","0","-22.8215","-47.0694"
"40","2026-05-29 06:37:49","12.51","88","1021","3.42","122","45","0","-22.8215","-47.0694"
"41","2026-05-29 06:47:49","12.51","88","1021","3","130","47","0","-22.8215","-47.0694"
"42","2026-05-29 06:57:49","12.51","88","1021","3","130","47","0","-22.8215","-47.0694"
"43","2026-05-29 07:07:49","12.51","88","1022","3","130","47","0","-22.8215","-47.0694"
"44","2026-05-29 07:17:49","12.51","88","1022","3","130","47","0","-22.8215","-47.0694"
