"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Lat","Lon"
"1","2026-05-21 00:07:49","16.4","86","1021","1.63","181","100","0","-22.8215","-47.0694"
"2","2026-05-21 00:17:49","16.4","86","1022","1.63","181","100","0","-22.8215","-47.0694"
"3","2026-05-21 00:27:49","16.4","86","1022","1.63","181","100","0","-22.8215","-47.0694"
"4","2026-05-21 00:37:49","16.96","84","1021","1.38","178","100","0","-22.8215","-47.0694"
"5","2026-05-21 00:47:49","16.96","84","1021","1.38","178","100","0","-22.8215","-47.0694"
"6","2026-05-21 00:57:49","16.96","84","1021","1.38","178","100","0","-22.8215","-47.0694"
"7","2026-05-21 01:07:49","16.96","84","1021","1.38","178","100","0","-22.8215","-47.0694"
"8","2026-05-21 01:17:49","16.96","84","1022","1.38","178","100","0","-22.8215","-47.0694"
"9","2026-05-21 01:27:49","16.96","84","1022","1.38","178","100","0","-22.8215","-47.0694"
"10","2026-05-21 01:37:49","16.4","84","1020","1.59","175","99","0","-22.8215","-47.0694"
"11","2026-05-21 01:47:49","16.4","84","1020","1.59","175","99","0","-22.8215","-47.0694"
"12","2026-05-21 01:57:49","16.4","84","1020","1.59","175","99","0","-22.8215","-47.0694"
"13","2026-05-21 02:07:49","16.4","84","1020","1.59","175","99","0","-22.8215","-47.0694"
"14","2026-05-21 02:17:49","16.4","84","1021","1.59","175","99","0","-22.8215","-47.0694"
"15","2026-05-21 02:27:49","16.4","84","1021","1.59","175","99","0","-22.8215","-47.0694"
"16","2026-05-21 02:37:49","15.85","86","1020","2.25","168","91","0","-22.8215","-47.0694"
"17","2026-05-21 02:47:49","15.85","86","1020","2.25","168","91","0","-22.8215","-47.0694"
"18","2026-05-21 02:57:49","15.85","86","1020","2.65","140","90","0","-22.8215","-47.0694"
"19","2026-05-21 03:07:49","15.85","86","1020","2.65","140","90","0","-22.8215","-47.0694"
"20","2026-05-21 03:17:49","15.85","86","1021","2.65","140","90","0","-22.8215","-47.0694"
"21","2026-05-21 03:27:49","15.85","86","1021","2.65","140","90","0","-22.8215","-47.0694"
"22","2026-05-21 03:37:49","15.85","87","1020","3.3","138","100","0","-22.8215","-47.0694"
"23","2026-05-21 03:47:49","15.85","87","1020","3.3","138","100","0","-22.8215","-47.0694"
"24","2026-05-21 03:57:49","15.85","87","1020","3.3","138","100","0","-22.8215","-47.0694"
"25","2026-05-21 04:07:49","15.85","87","1020","3.3","138","100","0","-22.8215","-47.0694"
"26","2026-05-21 04:17:49","15.85","87","1021","3.3","138","100","0","-22.8215","-47.0694"
"27","2026-05-21 04:27:49","15.85","87","1021","3.3","138","100","0","-22.8215","-47.0694"
"28","2026-05-21 04:37:49","15.29","88","1020","3.24","129","91","0","-22.8215","-47.0694"
"29","2026-05-21 04:47:49","15.29","88","1020","3.24","129","91","0","-22.8215","-47.0694"
"30","2026-05-21 04:57:49","15.29","88","1020","3.24","129","91","0","-22.8215","-47.0694"
"31","2026-05-21 05:07:49","15.29","88","1020","3.24","129","91","0","-22.8215","-47.0694"
"32","2026-05-21 05:17:49","15.29","88","1021","3.24","129","91","0","-22.8215","-47.0694"
"33","2026-05-21 05:27:49","15.29","88","1021","3.24","129","91","0","-22.8215","-47.0694"
"34","2026-05-21 05:37:49","15.48","86","1020","3.3","135","96","0","-22.8215","-47.0694"
"35","2026-05-21 05:47:49","15.48","86","1020","3.3","135","96","0","-22.8215","-47.0694"
"36","2026-05-21 05:57:49","15.29","86","1020","3.3","135","96","0","-22.8215","-47.0694"
"37","2026-05-21 06:07:49","15.29","86","1020","3.3","135","96","0","-22.8215","-47.0694"
"38","2026-05-21 06:17:49","15.29","86","1022","3.3","135","96","0","-22.8215","-47.0694"
"39","2026-05-21 06:27:49","15.29","86","1022","3.3","135","96","0","-22.8215","-47.0694"
"40","2026-05-21 06:37:49","14.73","84","1021","2.93","137","92","0","-22.8215","-47.0694"
"41","2026-05-21 06:47:49","14.73","84","1021","2.93","137","92","0","-22.8215","-47.0694"
"42","2026-05-21 06:57:49","14.73","84","1021","2.93","137","92","0","-22.8215","-47.0694"
"43","2026-05-21 07:07:49","14.73","84","1021","2.93","137","92","0","-22.8215","-47.0694"
