"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-05-07 17:22:36";"21.68";"53.5";"944.24";"3500";"";"";"";"";"-110";"0";"11722";"1778185356335"
"2";"2026-05-07 17:22:46";"";"";"";"";"";"";"";"";"-111";"-3";"11723";"1778185366023"
"3";"2026-05-07 17:22:46";"21.65";"55.5";"944.22";"3500";"";"";"";"";"-111";"-0.800000011920929";"11723";"1778185366316"
"4";"2026-05-07 17:23:06";"21.59";"58.5";"944.2";"3520";"";"";"";"";"-113";"-7.800000190734863";"11725";"1778185386353"
"5";"2026-05-07 17:24:16";"21.42";"54.5";"944.22";"3520";"";"";"";"";"-112";"-7.300000190734863";"11732";"1778185456347"
"6";"2026-05-07 17:24:26";"21.38";"57";"944.26";"3520";"";"";"";"";"-113";"-7.800000190734863";"11733";"1778185466349"
