"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-02-17 00:00:54";"27.3";"58";"945.54";"3820";"0";"";"";"";"-111";"1";"1347";"1771297254377"
"2";"2026-02-17 00:01:54";"27.3";"58";"945.54";"3840";"0";"";"";"";"-111";"1.3";"1348";"1771297314461"
"3";"2026-02-17 00:02:54";"27.3";"58";"945.5";"3840";"0";"";"";"";"-111";"0.5";"1349";"1771297374381"
"4";"2026-02-17 00:03:54";"27.3";"58";"945.46";"3820";"0";"";"";"";"-111";"1.3";"1350";"1771297434384"
"5";"2026-02-17 00:04:54";"27.3";"58";"945.42";"3820";"0";"";"";"";"-111";"0.3";"1351";"1771297494387"
"6";"2026-02-17 00:05:54";"27.3";"58";"945.46";"3820";"0";"";"";"";"-111";"1.3";"1352";"1771297554380"
"7";"2026-02-17 00:06:54";"27.3";"58";"945.44";"3840";"0";"";"";"";"-111";"1.3";"1353";"1771297614375"
"8";"2026-02-17 00:07:54";"27.3";"58";"945.48";"3840";"0";"";"";"";"-111";"0.8";"1354";"1771297674373"
"9";"2026-02-17 00:08:54";"27.3";"58";"945.5";"3840";"0";"";"";"";"-111";"0.8";"1355";"1771297734380"
"10";"2026-02-17 00:09:54";"27.3";"58";"945.52";"3820";"0";"";"";"";"-111";"0";"1356";"1771297794385"
"11";"2026-02-17 00:10:54";"27.3";"58";"945.56";"3820";"0";"";"";"";"-111";"0.8";"1357";"1771297854378"
"12";"2026-02-17 00:11:54";"27.3";"58";"945.58";"3840";"0";"";"";"";"-111";"1.3";"1358";"1771297914377"
"13";"2026-02-17 00:12:54";"27.3";"58";"945.6";"3840";"0";"";"";"";"-111";"1.3";"1359";"1771297974379"
"14";"2026-02-17 00:13:54";"27.3";"58";"945.6";"3840";"0";"";"";"";"-111";"1";"1360";"1771298034377"
"15";"2026-02-17 00:14:54";"27.3";"58";"945.58";"3840";"0";"";"";"";"-111";"1.3";"1361";"1771298094380"
"16";"2026-02-17 00:15:54";"27.3";"58";"945.62";"3840";"0";"";"";"";"-111";"1.3";"1362";"1771298154369"
"17";"2026-02-17 00:16:54";"27.3";"58.5";"945.62";"3840";"0";"";"";"";"-111";"1.3";"1363";"1771298214370"
"18";"2026-02-17 00:17:54";"27.3";"58";"945.62";"3820";"0";"";"";"";"-111";"1.3";"1364";"1771298274370"
"19";"2026-02-17 00:18:54";"27.3";"58";"945.58";"3840";"0";"";"";"";"-111";"1.3";"1365";"1771298334374"
"20";"2026-02-17 00:19:54";"27.3";"58.5";"945.56";"3820";"0";"";"";"";"-111";"0.3";"1366";"1771298394375"
"21";"2026-02-17 00:20:54";"27.3";"58.5";"945.54";"3820";"0";"";"";"";"-111";"0.5";"1367";"1771298454373"
"22";"2026-02-17 00:21:54";"27.3";"58";"945.56";"3820";"0";"";"";"";"-111";"1";"1368";"1771298514370"
"23";"2026-02-17 00:22:54";"27.3";"58";"945.54";"3860";"0";"";"";"";"-110";"0.8";"1369";"1771298574374"
"24";"2026-02-17 00:23:54";"27.3";"58.5";"945.52";"3820";"0";"";"";"";"-111";"0.8";"1370";"1771298634378"
"25";"2026-02-17 00:24:54";"27.2";"58.5";"945.52";"3820";"0";"";"";"";"-111";"1.5";"1371";"1771298694376"
"26";"2026-02-17 00:25:54";"27.2";"58.5";"945.48";"3840";"0";"";"";"";"-111";"0.5";"1372";"1771298754380"
"27";"2026-02-17 00:26:54";"27.2";"58.5";"945.48";"3820";"0";"";"";"";"-111";"0";"1373";"1771298814380"
"28";"2026-02-17 00:27:54";"27.2";"58.5";"945.46";"3820";"0";"";"";"";"-111";"0.3";"1374";"1771298874369"
"29";"2026-02-17 00:28:54";"27.2";"58.5";"945.46";"3820";"0";"";"";"";"-111";"1.3";"1375";"1771298934370"
"30";"2026-02-17 00:29:54";"27.2";"58.5";"945.38";"3840";"0";"";"";"";"-111";"0";"1376";"1771298994375"
"31";"2026-02-17 00:31:54";"27.1";"58.5";"945.34";"3820";"0";"";"";"";"-111";"0.8";"1378";"1771299114375"
"32";"2026-02-17 00:32:54";"27.1";"58.5";"945.32";"3840";"0";"";"";"";"-110";"1";"1379";"1771299174371"
"33";"2026-02-17 00:33:54";"27.2";"58.5";"945.32";"3840";"0";"";"";"";"-111";"1.3";"1380";"1771299234365"
"34";"2026-02-17 00:34:54";"27.1";"59";"945.32";"3820";"0";"";"";"";"-111";"1.3";"1381";"1771299294435"
"35";"2026-02-17 00:35:54";"27.1";"59";"945.3";"3840";"0";"";"";"";"-111";"1";"1382";"1771299354367"
"36";"2026-02-17 00:36:54";"27.1";"59";"945.3";"3820";"0";"";"";"";"-111";"1.3";"1383";"1771299414372"
"37";"2026-02-17 00:37:54";"27.1";"58.5";"945.32";"3820";"0";"";"";"";"-111";"0.8";"1384";"1771299474369"
"38";"2026-02-17 00:38:54";"27.2";"58.5";"945.32";"3820";"0";"";"";"";"-111";"1";"1385";"1771299534380"
"39";"2026-02-17 00:39:54";"27.1";"58.5";"945.32";"3820";"0";"";"";"";"-111";"0.5";"1386";"1771299594373"
"40";"2026-02-17 00:40:54";"27.1";"59";"945.34";"3840";"0";"";"";"";"-111";"0.5";"1387";"1771299654366"
"41";"2026-02-17 00:41:54";"27.1";"59";"945.36";"3840";"0";"";"";"";"-111";"0.5";"1388";"1771299714366"
"42";"2026-02-17 00:42:54";"27.1";"59";"945.34";"3820";"0";"";"";"";"-111";"0.5";"1389";"1771299774367"
"43";"2026-02-17 00:43:54";"27.1";"59";"945.34";"3840";"0";"";"";"";"-111";"0.8";"1390";"1771299834371"
"44";"2026-02-17 00:44:54";"27.1";"59";"945.32";"3820";"0";"";"";"";"-111";"0.8";"1391";"1771299894364"
"45";"2026-02-17 00:45:54";"27.1";"59";"945.3";"3820";"0";"";"";"";"-111";"0.5";"1392";"1771299954375"
"46";"2026-02-17 00:46:54";"27.1";"59";"945.3";"3820";"0";"";"";"";"-111";"0.5";"1393";"1771300014375"
"47";"2026-02-17 00:47:54";"27.1";"59";"945.26";"3820";"0";"";"";"";"-111";"0.8";"1394";"1771300074366"
"48";"2026-02-17 00:48:54";"27.1";"59";"945.22";"3820";"0";"";"";"";"-111";"1.3";"1395";"1771300134371"
"49";"2026-02-17 00:49:54";"27.1";"59";"945.24";"3840";"0";"";"";"";"-111";"0.8";"1396";"1771300194373"
"50";"2026-02-17 00:50:54";"27.1";"59";"945.18";"3840";"0";"";"";"";"-111";"1.3";"1397";"1771300254371"
"51";"2026-02-17 00:51:54";"27.1";"59";"945.2";"3820";"0";"";"";"";"-111";"0.8";"1398";"1771300314373"
"52";"2026-02-17 00:52:54";"27.1";"59";"945.22";"3820";"0";"";"";"";"-111";"1.3";"1399";"1771300374373"
"53";"2026-02-17 00:53:54";"27.1";"59";"945.22";"3820";"0";"";"";"";"-111";"0.8";"1400";"1771300434365"
"54";"2026-02-17 00:54:54";"27.1";"59";"945.22";"3840";"0";"";"";"";"-110";"1.8";"1401";"1771300494368"
"55";"2026-02-17 00:55:54";"27.1";"59";"945.22";"3840";"0";"";"";"";"-110";"1.8";"1402";"1771300554374"
"56";"2026-02-17 00:56:54";"27.1";"59.5";"945.22";"3840";"0";"";"";"";"-110";"1.5";"1403";"1771300614358"
"57";"2026-02-17 00:57:54";"27";"59";"945.22";"3840";"0";"";"";"";"-111";"1.5";"1404";"1771300674369"
"58";"2026-02-17 00:58:54";"27.1";"59";"945.18";"3840";"0";"";"";"";"-111";"0.5";"1405";"1771300734374"
"59";"2026-02-17 00:59:54";"27";"59";"945.2";"3840";"0";"";"";"";"-110";"2";"1406";"1771300794371"
"60";"2026-02-17 01:00:54";"27.1";"59.5";"945.18";"3820";"0";"";"";"";"-111";"1.5";"1407";"1771300854368"
"61";"2026-02-17 01:01:54";"27";"59";"945.16";"3820";"0";"";"";"";"-111";"1.5";"1408";"1771300914371"
"62";"2026-02-17 01:03:54";"27.1";"59.5";"945.14";"3820";"0";"";"";"";"-110";"1.3";"1410";"1771301034380"
"63";"2026-02-17 01:04:54";"27";"59.5";"945.1";"3820";"0";"";"";"";"-111";"1.3";"1411";"1771301094360"
"64";"2026-02-17 01:05:54";"27";"59.5";"945.1";"3820";"0";"";"";"";"-111";"0.8";"1412";"1771301154444"
"65";"2026-02-17 01:06:54";"27";"59.5";"945.08";"3840";"0";"";"";"";"-111";"0.3";"1413";"1771301214367"
"66";"2026-02-17 01:07:54";"27.1";"59.5";"945.1";"3820";"0";"";"";"";"-111";"0.8";"1414";"1771301274370"
"67";"2026-02-17 01:08:54";"27.1";"59.5";"945.1";"3840";"0";"";"";"";"-111";"1";"1415";"1771301334369"
"68";"2026-02-17 01:09:54";"27.1";"59.5";"945.04";"3820";"0";"";"";"";"-111";"1.3";"1416";"1771301394363"
"69";"2026-02-17 01:10:54";"27.1";"59";"945.06";"3820";"0";"";"";"";"-111";"0.8";"1417";"1771301454364"
"70";"2026-02-17 01:11:54";"27";"59.5";"945.06";"3820";"0";"";"";"";"-111";"0.8";"1418";"1771301514365"
"71";"2026-02-17 01:12:54";"27";"59.5";"945.02";"3820";"0";"";"";"";"-111";"1.3";"1419";"1771301574358"
"72";"2026-02-17 01:13:54";"27";"59.5";"945.02";"3820";"0";"";"";"";"-110";"1.8";"1420";"1771301634361"
"73";"2026-02-17 01:14:54";"27";"59.5";"945";"3840";"0";"";"";"";"-111";"0.5";"1421";"1771301694360"
"74";"2026-02-17 01:15:54";"27";"59.5";"945";"3820";"0";"";"";"";"-111";"1.8";"1422";"1771301754361"
"75";"2026-02-17 01:16:54";"27";"59.5";"944.94";"3820";"0";"";"";"";"-111";"1.3";"1423";"1771301814362"
"76";"2026-02-17 01:17:54";"27";"59.5";"944.96";"3820";"0";"";"";"";"-111";"1.5";"1424";"1771301874365"
"77";"2026-02-17 01:18:54";"27";"59.5";"944.94";"3820";"0";"";"";"";"-110";"1";"1425";"1771301934362"
"78";"2026-02-17 01:19:54";"27";"59.5";"944.94";"3820";"0";"";"";"";"-110";"0.8";"1426";"1771301994369"
"79";"2026-02-17 01:20:54";"27";"59.5";"944.9";"3840";"0";"";"";"";"-111";"0.8";"1427";"1771302054364"
"80";"2026-02-17 01:21:54";"27";"59.5";"944.92";"3820";"0";"";"";"";"-111";"1.5";"1428";"1771302114360"
