"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-04-26 03:49:31";"23.39";"61";"944.44";"2580";"";"";"";"";"-100";"9.300000190734863";"11250";"1777186171606"
"2";"2026-04-26 03:49:40";"23.39";"61.5";"944.44";"2600";"";"";"";"";"-100";"9.5";"11251";"1777186180649"
"3";"2026-04-26 03:49:50";"23.39";"61";"944.46";"2580";"";"";"";"";"-100";"9.800000190734863";"11252";"1777186190683"
"4";"2026-04-26 03:50:00";"23.39";"61";"944.48";"2580";"";"";"";"";"-100";"9.800000190734863";"11253";"1777186200672"
"5";"2026-04-26 03:50:10";"23.39";"61.5";"944.44";"2560";"";"";"";"";"-100";"9.5";"11254";"1777186210684"
"6";"2026-04-26 03:50:20";"23.39";"61";"944.48";"2560";"";"";"";"";"-100";"9.5";"11255";"1777186220690"
"7";"2026-04-26 03:50:30";"23.39";"61.5";"944.4200000000001";"2580";"";"";"";"";"-100";"9.300000190734863";"11256";"1777186230681"
"8";"2026-04-26 03:50:40";"23.39";"61";"944.44";"2560";"";"";"";"";"-100";"9.5";"11257";"1777186240664"
"9";"2026-04-26 03:50:50";"23.39";"61.5";"944.44";"2560";"";"";"";"";"-100";"9.5";"11258";"1777186250680"
"10";"2026-04-26 03:51:00";"23.39";"61.5";"944.46";"2560";"";"";"";"";"-100";"9.800000190734863";"11259";"1777186260682"
"11";"2026-04-26 03:51:10";"23.39";"61.5";"944.44";"2540";"";"";"";"";"-100";"9.5";"11260";"1777186270687"
"12";"2026-04-26 03:51:20";"23.39";"61.5";"944.46";"2540";"";"";"";"";"-100";"9.800000190734863";"11261";"1777186280645"
"13";"2026-04-26 03:51:30";"23.39";"61";"944.44";"2520";"";"";"";"";"-100";"9.5";"11262";"1777186290697"
"14";"2026-04-26 03:51:40";"23.39";"61.5";"944.44";"2540";"";"";"";"";"-100";"9.800000190734863";"11263";"1777186300677"
"15";"2026-04-26 03:51:50";"23.39";"61.5";"944.4200000000001";"2500";"";"";"";"";"-100";"9.5";"11264";"1777186310686"
"16";"2026-04-26 03:52:00";"23.39";"61";"944.46";"2480";"";"";"";"";"-100";"9.800000190734863";"11265";"1777186320682"
"17";"2026-04-26 03:52:10";"23.38";"61";"944.4200000000001";"2480";"";"";"";"";"-100";"9.300000190734863";"11266";"1777186330679"
"18";"2026-04-26 03:52:20";"23.39";"61.5";"944.46";"2480";"";"";"";"";"-100";"9.5";"11267";"1777186340689"
"19";"2026-04-26 03:52:30";"23.39";"61.5";"944.44";"2480";"";"";"";"";"-100";"9.5";"11268";"1777186350679"
"20";"2026-04-26 03:52:40";"23.39";"61.5";"944.46";"2480";"";"";"";"";"-100";"9.800000190734863";"11269";"1777186360674"
"21";"2026-04-26 03:52:50";"23.39";"61.5";"944.46";"2460";"";"";"";"";"-100";"9.800000190734863";"11270";"1777186370689"
"22";"2026-04-26 03:53:00";"23.39";"61";"944.46";"2460";"";"";"";"";"-100";"9.300000190734863";"11271";"1777186380685"
"23";"2026-04-26 03:53:10";"23.39";"61.5";"944.44";"2460";"";"";"";"";"-100";"9.800000190734863";"11272";"1777186390681"
"24";"2026-04-26 03:53:20";"23.38";"61";"944.46";"2460";"";"";"";"";"-100";"9.5";"11273";"1777186400679"
"25";"2026-04-26 03:53:30";"23.38";"61";"944.46";"2440";"";"";"";"";"-100";"9.5";"11274";"1777186410677"
"26";"2026-04-26 03:53:40";"23.38";"61.5";"944.48";"2420";"";"";"";"";"-100";"9.800000190734863";"11275";"1777186420660"
"27";"2026-04-26 03:53:50";"23.39";"61";"944.44";"2440";"";"";"";"";"-100";"9.5";"11276";"1777186430685"
"28";"2026-04-26 03:54:00";"23.39";"61.5";"944.46";"2420";"";"";"";"";"-100";"9.800000190734863";"11277";"1777186440687"
"29";"2026-04-26 03:54:10";"23.39";"61.5";"944.44";"2400";"";"";"";"";"-100";"9.5";"11278";"1777186450681"
"30";"2026-04-26 03:54:20";"23.39";"61";"944.44";"2400";"";"";"";"";"-99";"9.5";"11279";"1777186460687"
"31";"2026-04-26 03:54:30";"23.38";"61.5";"944.48";"2360";"";"";"";"";"-100";"9.5";"11280";"1777186470685"
"32";"2026-04-26 03:54:40";"23.38";"61.5";"944.48";"2380";"";"";"";"";"-100";"9.5";"11281";"1777186480680"
"33";"2026-04-26 03:54:50";"23.38";"61";"944.4200000000001";"2360";"";"";"";"";"-100";"9.300000190734863";"11282";"1777186490686"
"34";"2026-04-26 03:55:00";"23.38";"61";"944.44";"2360";"";"";"";"";"-100";"9.5";"11283";"1777186500689"
"35";"2026-04-26 03:55:10";"23.38";"61.5";"944.46";"2360";"";"";"";"";"-100";"9.800000190734863";"11284";"1777186510677"
"36";"2026-04-26 10:31:10";"24.93";"57";"946.58";"2600";"";"";"";"";"-102";"8";"11285";"1777210270513"
"37";"2026-04-26 10:31:19";"24.93";"57";"946.58";"2580";"";"";"";"";"-102";"8.300000190734863";"11286";"1777210279600"
"38";"2026-04-26 10:31:29";"24.93";"57";"946.6";"2580";"";"";"";"";"-102";"8.300000190734863";"11287";"1777210289584"
"39";"2026-04-26 10:31:39";"24.93";"57";"946.6";"2600";"";"";"";"";"-102";"8.300000190734863";"11288";"1777210299602"
"40";"2026-04-26 10:31:49";"24.93";"57";"946.5600000000001";"2580";"";"";"";"";"-103";"7.5";"11289";"1777210309597"
"41";"2026-04-26 10:31:59";"24.93";"57";"946.5600000000001";"2580";"";"";"";"";"-102";"7.800000190734863";"11290";"1777210319606"
"42";"2026-04-26 10:32:09";"24.94";"57";"946.6";"2560";"";"";"";"";"-102";"8";"11291";"1777210329604"
"43";"2026-04-26 10:32:19";"24.94";"57";"946.6";"2580";"";"";"";"";"-104";"7.300000190734863";"11292";"1777210339602"
"44";"2026-04-26 10:32:29";"24.93";"57";"946.6";"2560";"";"";"";"";"-102";"7.800000190734863";"11293";"1777210349583"
"45";"2026-04-26 10:32:39";"24.93";"57";"946.58";"2540";"";"";"";"";"-102";"8.300000190734863";"11294";"1777210359608"
"46";"2026-04-26 10:32:49";"24.94";"57";"946.58";"2540";"";"";"";"";"-103";"7.5";"11295";"1777210369600"
"47";"2026-04-26 10:32:59";"24.95";"57";"946.6";"2520";"";"";"";"";"-101";"8.5";"11296";"1777210379607"
"48";"2026-04-26 10:33:09";"24.95";"57";"946.6";"2520";"";"";"";"";"-101";"8.5";"11297";"1777210389599"
"49";"2026-04-26 10:33:19";"24.95";"57";"946.58";"2520";"";"";"";"";"-101";"8.300000190734863";"11298";"1777210399599"
"50";"2026-04-26 10:33:29";"24.96";"57";"946.58";"2520";"";"";"";"";"-101";"8.300000190734863";"11299";"1777210409578"
"51";"2026-04-26 10:33:39";"24.95";"57";"946.5600000000001";"2500";"";"";"";"";"-102";"8.300000190734863";"11300";"1777210419595"
"52";"2026-04-26 10:33:49";"24.95";"57";"946.5600000000001";"2500";"";"";"";"";"-102";"8.300000190734863";"11301";"1777210429601"
"53";"2026-04-26 10:33:59";"24.96";"57";"946.5600000000001";"2480";"";"";"";"";"-102";"8.300000190734863";"11302";"1777210439590"
"54";"2026-04-26 10:34:09";"24.96";"57";"946.58";"2480";"";"";"";"";"-102";"8.300000190734863";"11303";"1777210449605"
