"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-04-26 00:00:37";"20.8";"55.5";"944.8000000000001";"3560";"";"-22.822093963623047";"-47.065650939941406";"611.7";"-88";"13";"56283";"1777172437838"
"2";"2026-04-26 00:01:37";"20.81";"55.5";"944.84";"3560";"";"-22.82210350036621";"-47.065670013427734";"610.5";"-88";"13.5";"56284";"1777172497827"
"3";"2026-04-26 00:02:37";"20.82";"55.5";"944.82";"3540";"";"-22.82212257385254";"-47.06565856933594";"610.5";"-88";"13.5";"56285";"1777172557846"
"4";"2026-04-26 00:03:37";"20.82";"55.5";"944.8000000000001";"3540";"";"-22.822113037109375";"-47.065670013427734";"608.7";"-88";"13.5";"56286";"1777172617835"
"5";"2026-04-26 00:04:37";"20.86";"55.5";"944.82";"3560";"";"-22.822118759155273";"-47.065673828125";"607.7";"-89";"13.5";"56287";"1777172677860"
"6";"2026-04-26 00:05:37";"20.85";"55.5";"944.8000000000001";"3540";"";"-22.822139739990234";"-47.065650939941406";"609.4";"-88";"13.5";"56288";"1777172737826"
"7";"2026-04-26 00:06:37";"20.85";"55.5";"944.8000000000001";"3560";"";"-22.82213592529297";"-47.065670013427734";"621.7";"-88";"13.800000190734863";"56289";"1777172797857"
"8";"2026-04-26 00:07:37";"20.84";"55.5";"944.82";"3560";"";"-22.822145462036133";"-47.06563949584961";"619.7";"-88";"13.300000190734863";"56290";"1777172857830"
"9";"2026-04-26 00:08:37";"20.84";"55.5";"944.8000000000001";"3580";"";"-22.8221378326416";"-47.065650939941406";"614.9000000000001";"-88";"13.300000190734863";"56291";"1777172917840"
"10";"2026-04-26 00:09:37";"20.84";"55.5";"944.82";"3540";"";"-22.822139739990234";"-47.06565856933594";"617";"-88";"13.5";"56292";"1777172977845"
