"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-04-17 00:00:03","23.11","54","943.24","3840","","","","","-80","11.800000190734863","50188","1776394803742"
"2","2026-04-17 00:00:13","23.1","54","943.24","3840","","","","","-78","13.5","50189","1776394813715"
"3","2026-04-17 00:00:23","23.1","54","943.22","3800","","","","","-77","13","50190","1776394823735"
"4","2026-04-17 00:00:33","23.1","54","943.22","3800","","","","","-77","13.300000190734863","50191","1776394833727"
"5","2026-04-17 00:00:43","23.1","54","943.22","3820","","","","","-77","13","50192","1776394843700"
"6","2026-04-17 00:00:53","23.1","54","943.22","3800","","","","","-77","13.300000190734863","50193","1776394853731"
"7","2026-04-17 00:01:03","23.1","54","943.24","3800","","","","","-77","12.5","50194","1776394863732"
"8","2026-04-17 00:01:13","23.1","54","943.24","3820","","","","","-77","13.300000190734863","50195","1776394873713"
"9","2026-04-17 00:01:23","23.1","54","943.24","3840","","","","","-79","9.800000190734863","50196","1776394883694"
"10","2026-04-17 00:01:33","23.11","54","943.22","3820","","","","","-78","13.800000190734863","50197","1776394893726"
"11","2026-04-17 00:01:43","23.1","54","943.2","3800","","","","","-79","11","50198","1776394903697"
"12","2026-04-17 00:01:53","23.1","54","943.24","3840","","","","","-77","13","50199","1776394913697"
"13","2026-04-17 00:02:03","23.1","54","943.2","3820","","","","","-77","13.800000190734863","50200","1776394923728"
"14","2026-04-17 00:02:13","23.1","54","943.2","3840","","","","","-76","12.800000190734863","50201","1776394933705"
"15","2026-04-17 00:02:23","23.11","54","943.22","3820","","","","","-77","13","50202","1776394943724"
"16","2026-04-17 00:02:33","23.1","54","943.2","3840","","","","","-78","14.300000190734863","50203","1776394953723"
"17","2026-04-17 00:02:43","23.1","54","943.22","3840","","","","","-79","12.800000190734863","50204","1776394963699"
"18","2026-04-17 00:02:53","23.11","54","943.2","3840","","","","","-78","13.800000190734863","50205","1776394973731"
"19","2026-04-17 00:03:03","23.1","54","943.22","3820","","","","","-79","13.800000190734863","50206","1776394983728"
"20","2026-04-17 00:03:13","23.11","54","943.2","3800","","","","","-78","10.300000190734863","50207","1776394993735"
"21","2026-04-17 00:03:23","23.11","54","943.22","3820","","","","","-77","13.5","50208","1776395003737"
"22","2026-04-17 00:03:33","23.11","54","943.2","3820","","","","","-78","14","50209","1776395013731"
"23","2026-04-17 00:03:43","23.11","54","943.1800000000001","3840","","","","","-76","13.5","50210","1776395023703"
"24","2026-04-17 00:03:53","23.1","54","943.16","3820","","","","","-79","13.5","50211","1776395033737"
"25","2026-04-17 00:04:03","23.11","54","943.1800000000001","3820","","","","","-77","13.300000190734863","50212","1776395043740"
"26","2026-04-17 00:04:13","23.11","54","943.14","3820","","","","","-77","13.300000190734863","50213","1776395053703"
"27","2026-04-17 00:04:23","23.11","54","943.2","3820","","","","","-78","10","50214","1776395063705"
"28","2026-04-17 00:04:33","23.11","54","943.1800000000001","3800","","","","","-78","13.5","50215","1776395073736"
"29","2026-04-17 00:04:43","23.1","54","943.16","3820","","","","","-78","13","50216","1776395083690"
"30","2026-04-17 00:04:53","23.11","54","943.16","3840","","","","","-78","14","50217","1776395093733"
"31","2026-04-17 00:05:03","23.1","54","943.16","3800","","","","","-77","13.300000190734863","50218","1776395103742"
"32","2026-04-17 00:05:13","23.1","54","943.16","3840","","","","","-77","13.300000190734863","50219","1776395113700"
"33","2026-04-17 00:05:23","23.1","54","943.14","3800","","","","","-78","13.300000190734863","50220","1776395123730"
"34","2026-04-17 00:05:33","23.1","54","943.16","3840","","","","","-79","13.5","50221","1776395133734"
"35","2026-04-17 00:05:43","23.1","54","943.14","3800","","","","","-77","13.300000190734863","50222","1776395143696"
"36","2026-04-17 00:05:53","23.1","54","943.12","3800","","","","","-77","13.5","50223","1776395153746"
"37","2026-04-17 00:06:03","23.1","54","943.12","3840","","","","","-78","13.800000190734863","50224","1776395163731"
"38","2026-04-17 00:06:13","23.1","54","943.14","3840","","","","","-76","13.5","50225","1776395173708"
"39","2026-04-17 00:06:23","23.1","54","943.14","3820","","","","","-78","14","50226","1776395183740"
"40","2026-04-17 00:06:33","23.1","54","943.14","3820","","","","","-77","13","50227","1776395193736"
"41","2026-04-17 00:06:43","23.1","54","943.16","3800","","","","","-78","12.5","50228","1776395203690"
"42","2026-04-17 00:06:53","23.09","54","943.12","3840","","","","","-79","13.5","50229","1776395213734"
"43","2026-04-17 00:07:03","23.1","54","943.14","3840","","","","","-79","13.300000190734863","50230","1776395223739"
"44","2026-04-17 00:07:13","23.09","54","943.14","3840","","","","","-77","13.5","50231","1776395233707"
"45","2026-04-17 00:07:23","23.09","54","943.12","3820","","","","","-79","13.800000190734863","50232","1776395243726"
"46","2026-04-17 00:07:33","23.09","54","943.12","3840","","","","","-78","13.800000190734863","50233","1776395253722"
"47","2026-04-17 00:07:43","23.1","54","943.14","3840","","","","","-79","13.800000190734863","50234","1776395263695"
"48","2026-04-17 00:07:53","23.09","54","943.14","3800","","","","","-78","12.800000190734863","50235","1776395273725"
"49","2026-04-17 00:08:03","23.1","54","943.16","3820","","","","","-79","13.300000190734863","50236","1776395283738"
"50","2026-04-17 00:08:13","23.1","54","943.12","3800","","","","","-78","13.800000190734863","50237","1776395293704"
"51","2026-04-17 00:08:23","23.1","54","943.16","3840","","","","","-77","13.300000190734863","50238","1776395303735"
"52","2026-04-17 00:08:33","23.09","54","943.14","3800","","","","","-77","13.300000190734863","50239","1776395313735"
"53","2026-04-17 00:08:43","23.09","54","943.12","3800","","","","","-79","13","50240","1776395323693"
"54","2026-04-17 00:08:53","23.1","54","943.16","3800","","","","","-78","13","50241","1776395333733"
"55","2026-04-17 00:09:03","23.1","54","943.1800000000001","3820","","","","","-77","13.300000190734863","50242","1776395343727"
"56","2026-04-17 00:09:13","23.09","54","943.14","3840","","","","","-77","13.800000190734863","50243","1776395353703"
"57","2026-04-17 00:09:23","23.1","54","943.14","3800","","","","","-77","11","50244","1776395363729"
"58","2026-04-17 00:09:33","23.09","54","943.14","3820","","","","","-78","10.5","50245","1776395373734"
"59","2026-04-17 00:09:43","23.1","54","943.14","3820","","","","","-76","13.800000190734863","50246","1776395383694"
"60","2026-04-17 00:09:53","23.1","54","943.14","3820","","","","","-77","13","50247","1776395393727"
"61","2026-04-17 00:10:03","23.09","54","943.14","3800","","","","","-78","13.300000190734863","50248","1776395403739"
"62","2026-04-17 00:10:13","23.1","54","943.2","3820","","","","","-77","13.5","50249","1776395413693"
"63","2026-04-17 00:10:23","23.09","54","943.1800000000001","3820","","","","","-77","13.5","50250","1776395423734"
"64","2026-04-17 00:10:33","23.09","54","943.16","3820","","","","","-76","14.300000190734863","50251","1776395433738"
"65","2026-04-17 00:10:43","23.09","54","943.16","3840","","","","","-76","13.5","50252","1776395443692"
"66","2026-04-17 00:10:53","23.1","54","943.1800000000001","3840","","","","","-78","10.5","50253","1776395453736"
"67","2026-04-17 00:11:03","23.1","54","943.16","3840","","","","","-77","13.300000190734863","50254","1776395463735"
"68","2026-04-17 00:11:13","23.1","54","943.16","3820","","","","","-76","14.300000190734863","50255","1776395473707"
"69","2026-04-17 00:11:23","23.09","54","943.2","3800","","","","","-77","13.300000190734863","50256","1776395483737"
"70","2026-04-17 00:11:33","23.1","54","943.22","3840","","","","","-76","12.5","50257","1776395493724"
"71","2026-04-17 00:11:43","23.1","54.5","943.1800000000001","3840","","","","","-77","13","50258","1776395503696"
"72","2026-04-17 00:11:53","23.09","54","943.16","3840","","","","","-76","12.800000190734863","50259","1776395513733"
"73","2026-04-17 00:12:03","23.09","54","943.1800000000001","3820","","","","","-77","14","50260","1776395523701"
"74","2026-04-17 00:12:13","23.09","54","943.2","3840","","","","","-77","13.5","50261","1776395533696"
"75","2026-04-17 00:12:23","23.09","54","943.1800000000001","3840","","","","","-77","13.5","50262","1776395543699"
"76","2026-04-17 00:12:33","23.09","54","943.1800000000001","3800","","","","","-76","13.800000190734863","50263","1776395553743"
"77","2026-04-17 00:12:43","23.09","54","943.2","3840","","","","","-78","14","50264","1776395563695"
"78","2026-04-17 00:12:53","23.09","54","943.22","3840","","","","","-80","13.300000190734863","50265","1776395573734"
"79","2026-04-17 00:13:03","23.09","54","943.1800000000001","3820","","","","","-79","13.5","50266","1776395583693"
