"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","DR","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-06-04 00:06:09","16.51","63","955.5600000000001","3720","","-22.822132110595703","-47.06564712524414","612","-92","12.800000190734863","5","18738","1780542369808"
"2","2026-06-04 00:16:09","16.5","63","955.66","3720","","-22.82211685180664","-47.065643310546875","639.9000000000001","-100","10.300000190734863","5","18739","1780542969811"
"3","2026-06-04 00:26:09","16.49","63","955.6800000000001","3740","","-22.822139739990234","-47.06563186645508","613.2","-97","11.300000190734863","5","18740","1780543569806"
"4","2026-06-04 00:36:09","16.47","63","955.66","3740","","-22.82212257385254","-47.065643310546875","615.2","-99","8.800000190734863","5","18741","1780544169816"
"5","2026-06-04 00:46:09","16.39","63","955.72","3700","","-22.82215118408203","-47.065608978271484","611.7","-105","6.300000190734863","5","18742","1780544769816"
"6","2026-06-04 00:56:09","16.33","63","955.72","3740","","-22.822195053100586","-47.065696716308594","598.2","-93","12.300000190734863","5","18743","1780545369802"
"7","2026-06-04 01:06:09","16.24","63.5","955.58","3740","","-22.82213592529297","-47.06562423706055","613.5","-104","6.800000190734863","5","18744","1780545969814"
"8","2026-06-04 01:16:09","16.19","63","955.58","3700","","-22.822097778320312","-47.06564712524414","620.5","-92","13","5","18745","1780546569817"
"9","2026-06-04 01:26:09","16.18","63","955.5","3680","","-22.82210922241211","-47.06565856933594","614.2","-97","11","5","18746","1780547169811"
"10","2026-06-04 01:36:09","16.15","63","955.4","3700","","-22.822139739990234","-47.065635681152344","605.7","-102","8.5","5","18747","1780547769814"
"11","2026-06-04 01:46:09","16.15","63","955.28","3700","","-22.822128295898438","-47.0656623840332","619","-92","12.800000190734863","5","18748","1780548369792"
"12","2026-06-04 01:56:09","16.08","63.5","955.14","3720","","-22.822193145751953","-47.06563949584961","610.9","-94","12","5","18749","1780548969816"
"13","2026-06-04 02:06:09","16.01","63.5","955.2","3720","","-22.82215118408203","-47.06565475463867","609.7","-91","12.800000190734863","5","18750","1780549569818"
"14","2026-06-04 02:16:09","15.97","63.5","955.1800000000001","3720","","-22.822097778320312","-47.06565856933594","616.2","-102","8.5","5","18751","1780550169823"
"15","2026-06-04 02:26:09","15.91","63.5","955.16","3680","","-22.82213592529297","-47.06563949584961","613.2","-95","11.800000190734863","5","18752","1780550769815"
"16","2026-06-04 02:36:09","15.88","63.5","955.3000000000001","3680","","-22.82213020324707","-47.065643310546875","605.2","-95","12","5","18753","1780551369805"
"17","2026-06-04 02:46:09","15.85","63.5","955.22","3700","","-22.8221378326416","-47.065670013427734","622.9000000000001","-97","11.300000190734863","5","18754","1780551969818"
"18","2026-06-04 02:56:09","15.82","63.5","955.28","3680","","-22.82210922241211","-47.06570053100586","627","-96","11.800000190734863","5","18755","1780552569819"
"19","2026-06-04 03:06:09","15.8","63.5","955.22","3680","","-22.822114944458008","-47.06565475463867","618.5","-103","7.800000190734863","5","18756","1780553169808"
"20","2026-06-04 03:16:08","15.84","63.5","955.28","3700","","-22.82212257385254","-47.06566619873047","628","-92","12.800000190734863","5","18757","1780553768824"
"21","2026-06-04 03:26:09","15.87","63.5","955.26","3680","","-22.822114944458008","-47.06563949584961","609.5","-93","12.800000190734863","5","18758","1780554369832"
"22","2026-06-04 03:36:09","","","","","","","","","-101","9.300000190734863","5","18759","1780554969476"
"23","2026-06-04 03:36:09","15.87","63.5","955.2","3700","","-22.822175979614258","-47.065650939941406","605","-102","7.800000190734863","5","18759","1780554969783"
"24","2026-06-04 03:46:09","15.79","63.5","955.2","3660","","-22.82213020324707","-47.0656623840332","613.2","-94","12.300000190734863","5","18760","1780555569813"
"25","2026-06-04 03:56:09","15.73","63.5","955.34","3680","","-22.82213020324707","-47.06565475463867","619.2","-99","10","5","18761","1780556169815"
"26","2026-06-04 04:06:09","15.69","63.5","955.3000000000001","3700","","-22.822162628173828","-47.06565856933594","613.9","-96","11.800000190734863","5","18762","1780556769828"
"27","2026-06-04 04:16:09","15.66","63.5","955.3000000000001","3680","","-22.8221435546875","-47.065673828125","614.5","-96","11.300000190734863","5","18763","1780557369819"
"28","2026-06-04 04:26:09","15.62","64","955.22","3660","","-22.822158813476562","-47.06564712524414","611.7","-93","12.800000190734863","5","18764","1780557969820"
"29","2026-06-04 04:36:09","15.55","64","955.28","3700","","-22.822118759155273","-47.065704345703125","608.5","-92","12.800000190734863","5","18765","1780558569815"
"30","2026-06-04 04:46:09","15.56","64","955.28","3680","","-22.822099685668945","-47.06563949584961","611.5","-94","12","5","18766","1780559169817"
"31","2026-06-04 04:56:09","15.56","64","955.3000000000001","3700","","-22.822145462036133","-47.06562423706055","617.5","-94","12","5","18767","1780559769816"
"32","2026-06-04 05:06:09","15.53","64","955.36","3700","","-22.822141647338867","-47.065670013427734","616.9000000000001","-92","12.5","5","18768","1780560369815"
"33","2026-06-04 05:16:09","15.42","64","955.28","3660","","-22.822147369384766","-47.06565856933594","614.5","-95","12","5","18769","1780560969816"
"34","2026-06-04 05:26:09","15.32","64","955.32","3680","","-22.822147369384766","-47.06566619873047","609","-93","12","5","18770","1780561569816"
"35","2026-06-04 05:36:09","15.28","64.5","955.32","3660","","-22.82213592529297","-47.06565856933594","617","-96","11.5","5","18771","1780562169816"
"36","2026-06-04 05:46:09","15.29","64","955.26","3660","","-22.822124481201172","-47.065616607666016","614.2","-102","8","5","18772","1780562769821"
"37","2026-06-04 05:56:09","15.26","64","955.34","3660","","-22.822111129760742","-47.06568908691406","602.9","-93","12.5","5","18773","1780563369828"
"38","2026-06-04 06:06:09","15.23","64","955.46","3660","","-22.822124481201172","-47.06566619873047","606.5","-97","10.800000190734863","5","18774","1780563969803"
"39","2026-06-04 06:16:09","15.21","64.5","955.54","3660","","-22.8221492767334","-47.065616607666016","625.7","-92","12.800000190734863","5","18775","1780564569815"
"40","2026-06-04 06:26:09","15.13","64.5","955.7","3680","","-22.822132110595703","-47.065643310546875","610.5","-95","12","5","18776","1780565169828"
"41","2026-06-04 06:36:09","15.09","64.5","955.82","3660","","-22.822120666503906","-47.065677642822266","619","-94","12","5","18777","1780565769815"
"42","2026-06-04 06:46:09","15.07","64.5","956","3660","","-22.822132110595703","-47.065670013427734","612.2","-94","12.300000190734863","5","18778","1780566369776"
"43","2026-06-04 06:56:09","15.11","64.5","956.1","3680","","-22.82213592529297","-47.06566619873047","615","-95","11.800000190734863","5","18779","1780566969816"
"44","2026-06-04 07:06:09","15.23","64","956.3000000000001","3680","","-22.822120666503906","-47.065643310546875","610.2","-96","11.5","5","18780","1780567569814"
"45","2026-06-04 07:16:09","15.5","63.5","956.4","3660","","-22.822134017944336","-47.06568145751953","610.2","-97","11","5","18781","1780568169781"
"46","2026-06-04 07:26:09","16.07","62.5","956.52","3660","","-22.822114944458008","-47.06565856933594","614.4000000000001","-92","12.800000190734863","5","18782","1780568769805"
"47","2026-06-04 07:36:09","21.49","49.5","956.64","3660","","-22.822067260742188","-47.06561279296875","619","-93","12.5","5","18783","1780569369809"
"48","2026-06-04 07:46:09","23.7","46","956.74","3680","","-22.822124481201172","-47.06570053100586","620.2","-99","10.300000190734863","5","18784","1780569969813"
"49","2026-06-04 07:56:09","24.98","44.5","956.72","3660","","-22.82210922241211","-47.065616607666016","610.7","-94","12","5","18785","1780570569809"
"50","2026-06-04 08:06:09","26.73","40.5","956.94","3660","","-22.822158813476562","-47.065670013427734","613.7","-97","11","5","18786","1780571169808"
"51","2026-06-04 08:16:09","27.79","41","956.88","3660","","-22.822158813476562","-47.065650939941406","617.7","-93","13","5","18787","1780571769809"
"52","2026-06-04 08:26:09","22.27","53.5","957","3660","","-22.822141647338867","-47.06564712524414","619.7","-93","12.5","5","18788","1780572369820"
"53","2026-06-04 08:36:09","20.73","57","957.14","3660","","-22.822097778320312","-47.06564712524414","622.7","-91","12.800000190734863","5","18789","1780572969821"
"54","2026-06-04 08:46:09","20.07","59","957.1800000000001","3680","","-22.822078704833984","-47.065616607666016","626.5","-93","12.300000190734863","5","18790","1780573569826"
"55","2026-06-04 08:56:09","20.14","59","957.32","3660","","-22.822158813476562","-47.06563949584961","609.5","-97","10.5","5","18791","1780574169821"
"56","2026-06-04 09:06:09","20.54","58","957.34","3660","","-22.822059631347656","-47.065582275390625","639","-92","13","5","18792","1780574769831"
"57","2026-06-04 09:16:09","20.66","58","957.4","3640","","-22.822105407714844","-47.065650939941406","618.2","-97","11","5","18793","1780575369816"
"58","2026-06-04 09:26:09","20.89","57.5","957.4","3640","","-22.822071075439453","-47.06563949584961","626.5","-92","13","5","18794","1780575969818"
"59","2026-06-04 09:36:09","21.34","57","957.52","3660","","-22.822097778320312","-47.06563949584961","621.9000000000001","-105","6","5","18795","1780576569820"
"60","2026-06-04 09:46:09","22.01","55.5","957.52","3640","","-22.822101593017578","-47.06566619873047","623.4000000000001","-93","12.5","5","18796","1780577169821"
"61","2026-06-04 09:56:09","23.29","52.5","957.48","3660","","-22.822114944458008","-47.06571578979492","603.9","-91","12.800000190734863","5","18797","1780577769830"
"62","2026-06-04 10:06:09","22.87","54","957.34","3660","","-22.822118759155273","-47.065643310546875","613.2","-101","9","5","18798","1780578369814"
"63","2026-06-04 10:16:08","22.49","55.5","957.3000000000001","3640","","-22.822101593017578","-47.06565856933594","609","-92","12.800000190734863","5","18799","1780578968815"
"64","2026-06-04 10:26:09","23.56","53.5","957.3000000000001","3640","","-22.822145462036133","-47.06566619873047","614","-93","12","5","18800","1780579569816"
"65","2026-06-04 10:36:09","24.16","52.5","957.26","3680","","-22.82213020324707","-47.065696716308594","602.7","-92","12.800000190734863","5","18801","1780580169805"
"66","2026-06-04 10:46:09","25.13","50.5","957.2","3660","","-22.822132110595703","-47.065677642822266","603.2","-93","12.300000190734863","5","18802","1780580769824"
"67","2026-06-04 10:56:09","24.92","52.5","957.1800000000001","3640","","-22.822128295898438","-47.06568908691406","619","-95","12.300000190734863","5","18803","1780581369814"
"68","2026-06-04 11:06:09","31.51","39.5","957.12","3760","","-22.82213020324707","-47.06565475463867","608.5","-92","12.800000190734863","5","18804","1780581969817"
"69","2026-06-04 11:16:09","35.28","35","956.96","3800","","-22.822160720825195","-47.0656623840332","617","-90","13.5","5","18805","1780582569813"
"70","2026-06-04 11:26:09","36.48","34.5","956.82","3820","","-22.822134017944336","-47.065643310546875","617","-100","9.800000190734863","5","18806","1780583169822"
"71","2026-06-04 11:36:09","35.7","37","956.72","3860","","-22.82216453552246","-47.065643310546875","614.2","-96","10","5","18807","1780583769787"
"72","2026-06-04 11:46:09","36.3","37","956.5","3880","","-22.822153091430664","-47.065670013427734","615","-96","12.300000190734863","5","18808","1780584369809"
"73","2026-06-04 11:56:09","37.16","36","956.34","3900","","-22.822139739990234","-47.0656623840332","608","-93","13","5","18809","1780584969812"
"74","2026-06-04 12:06:09","36.85","37.5","956.3000000000001","3960","","-22.822162628173828","-47.06566619873047","611","-94","12.300000190734863","5","18810","1780585569819"
"75","2026-06-04 12:16:09","36.07","39.5","956.16","3960","","-22.822160720825195","-47.065650939941406","620.9000000000001","-92","12.800000190734863","5","18811","1780586169812"
"76","2026-06-04 12:26:09","35.99","40","956","3920","","-22.8221378326416","-47.06562805175781","609.2","-94","12","5","18812","1780586769819"
"77","2026-06-04 12:36:09","34.96","42.5","955.82","3940","","-22.822145462036133","-47.065673828125","619","-92","12.5","5","18813","1780587369826"
"78","2026-06-04 12:46:09","34.83","43","955.62","3980","","-22.8221435546875","-47.065650939941406","613.2","-93","12.800000190734863","5","18814","1780587969797"
"79","2026-06-04 12:56:09","34.88","43","955.48","3940","","-22.822101593017578","-47.06568908691406","621.7","-94","12.800000190734863","5","18815","1780588569808"
"80","2026-06-04 13:06:09","34.37","44.5","955.32","3960","","-22.82215690612793","-47.065650939941406","606.7","-93","12.800000190734863","5","18816","1780589169814"
"81","2026-06-04 13:16:09","33.65","46","955.2","3960","","-22.8221492767334","-47.0656852722168","624.2","-96","11.5","5","18817","1780589769820"
"82","2026-06-04 13:26:08","33.2","47.5","955.02","3960","","-22.822181701660156","-47.065696716308594","614","-91","12.800000190734863","5","18818","1780590368827"
"83","2026-06-04 13:36:09","32.56","48.5","954.9200000000001","3960","","-22.82211685180664","-47.0656852722168","614.4000000000001","-95","11.300000190734863","5","18819","1780590969822"
"84","2026-06-04 13:46:09","32.8","48.5","954.74","3940","","-22.822145462036133","-47.06565475463867","618.7","-91","12.300000190734863","5","18820","1780591569814"
"85","2026-06-04 13:56:09","31.23","51.5","954.6800000000001","3940","","-22.822147369384766","-47.065650939941406","609.2","-92","13.300000190734863","5","18821","1780592169816"
"86","2026-06-04 14:06:09","31.26","51","954.64","3960","","-22.82218360900879","-47.065677642822266","604.5","-93","12.5","5","18822","1780592769817"
"87","2026-06-04 14:16:09","31.74","50","954.46","4000","","-22.822166442871094","-47.06563949584961","610.4","-95","12.300000190734863","5","18823","1780593369812"
"88","2026-06-04 14:26:09","31.28","50.5","954.36","3980","","-22.822134017944336","-47.065650939941406","611.5","-96","11","5","18824","1780593969816"
"89","2026-06-04 14:36:09","31.03","50.5","954.3000000000001","3980","","-22.822105407714844","-47.06565475463867","620.5","-98","11","5","18825","1780594569809"
"90","2026-06-04 14:46:09","31.07","50.5","954.26","3980","","-22.82213592529297","-47.065673828125","603","-95","12.300000190734863","5","18826","1780595169810"
"91","2026-06-04 14:56:08","30.97","50.5","954.22","3980","","-22.822132110595703","-47.065677642822266","601.9","-93","12.5","5","18827","1780595768811"
"92","2026-06-04 15:06:09","31.28","50","954.12","3980","","-22.822128295898438","-47.06562805175781","621.5","-96","12","5","18828","1780596369819"
"93","2026-06-04 15:16:09","30.8","51","954.14","3920","","-22.822124481201172","-47.06565856933594","612.7","-93","12.800000190734863","5","18829","1780596969817"
"94","2026-06-04 15:26:09","29.86","52","954.0600000000001","3900","","-22.822132110595703","-47.06563949584961","617.4000000000001","-99","10.300000190734863","5","18830","1780597569814"
"95","2026-06-04 15:36:09","28.46","54","954","3880","","-22.822179794311523","-47.065643310546875","612.5","-92","12.5","5","18831","1780598169820"
"96","2026-06-04 15:46:09","28.22","54","953.96","3900","","-22.822132110595703","-47.0656623840332","621.7","-96","10.800000190734863","5","18832","1780598769811"
"97","2026-06-04 15:56:09","27.77","55","953.88","3860","","-22.822134017944336","-47.0656623840332","617.7","-99","10.300000190734863","5","18833","1780599369776"
"98","2026-06-04 16:06:09","26.8","55.5","953.9200000000001","3840","","-22.822120666503906","-47.065635681152344","623.2","-92","13.300000190734863","5","18834","1780599969820"
"99","2026-06-04 16:16:09","25.66","56.5","953.94","3860","","-22.822160720825195","-47.06563186645508","617","-93","12.300000190734863","5","18835","1780600569811"
"100","2026-06-04 16:26:09","24.95","57","953.9200000000001","3820","","-22.822126388549805","-47.06562042236328","618.5","-98","10.5","5","18836","1780601169819"
"101","2026-06-04 16:36:09","24.3","57.5","953.9200000000001","3820","","-22.82218360900879","-47.06558609008789","621","-95","12","5","18837","1780601769820"
"102","2026-06-04 16:46:09","23.79","58","953.88","3840","","-22.822216033935547","-47.06566619873047","626","-98","11.300000190734863","5","18838","1780602369821"
"103","2026-06-04 16:56:09","23.25","58","953.9","3780","","-22.822154998779297","-47.06562042236328","614.5","-97","11.5","5","18839","1780602969825"
"104","2026-06-04 17:06:09","22.73","58.5","954.02","3800","","-22.82218360900879","-47.065643310546875","618.7","-102","8.800000190734863","5","18840","1780603569827"
"105","2026-06-04 17:16:09","22.27","59","954.0600000000001","3820","","-22.8221378326416","-47.06562423706055","612.9","-95","12.300000190734863","5","18841","1780604169818"
"106","2026-06-04 17:26:09","21.87","59","954.1800000000001","3780","","-22.822147369384766","-47.065635681152344","612.7","-99","10.5","5","18842","1780604769817"
"107","2026-06-04 17:36:09","21.42","59.5","954.2","3820","","-22.822111129760742","-47.0656623840332","611.4","-98","10.5","5","18843","1780605369818"
"108","2026-06-04 17:46:09","21.12","59.5","954.28","3780","","-22.82211685180664","-47.06565475463867","610.2","-95","12","5","18844","1780605969810"
"109","2026-06-04 17:56:09","20.85","60","954.32","3760","","-22.822111129760742","-47.06566619873047","600.7","-99","10.300000190734863","5","18845","1780606569804"
"110","2026-06-04 18:06:09","20.63","60","954.38","3760","","-22.822120666503906","-47.06565475463867","602.9","-98","10.5","5","18846","1780607169808"
"111","2026-06-04 18:16:09","20.38","60","954.4200000000001","3760","","-22.82212257385254","-47.06564712524414","607.9","-94","12","5","18847","1780607769808"
"112","2026-06-04 18:26:09","20.15","60","954.36","3760","","-22.822154998779297","-47.06564712524414","602.9","-98","10.800000190734863","5","18848","1780608369776"
"113","2026-06-04 18:36:09","19.92","60","954.38","3760","","-22.822179794311523","-47.06563949584961","600.9","-96","12","5","18849","1780608969852"
"114","2026-06-04 18:46:09","19.78","60","954.38","3780","","-22.822092056274414","-47.06563186645508","604.9","-96","12","5","18850","1780609569821"
"115","2026-06-04 18:56:09","19.6","60.5","954.48","3760","","-22.82210922241211","-47.06563949584961","607.7","-101","9.800000190734863","5","18851","1780610169807"
"116","2026-06-04 19:06:09","19.41","60.5","954.5600000000001","3760","","-22.82209587097168","-47.06563949584961","620.2","-96","12.300000190734863","5","18852","1780610769816"
"117","2026-06-04 19:16:09","19.21","60.5","954.58","3760","","-22.822124481201172","-47.06568145751953","610.5","-96","11.5","5","18853","1780611369823"
"118","2026-06-04 19:26:09","19.01","61","954.7","3760","","-22.822128295898438","-47.06569290161133","593.9","-106","5.5","5","18854","1780611969817"
