"Nº","Data e Hora (America/Sao_Paulo)","Temperatura (°C)","Umidade Relativa (%)","Pressão Atmosférica (hPa)","Tensão do Sistema (mV)","Luminosidade (lux)","Latitude (°)","Longitude (°)","Altitude (m)","RSSI (dBm)","SNR (dB)","DR","Frame Counter","Timestamp Aquisição (ms)"
"1","2026-06-04 00:00:34","16.01","77.5","956.64","3820","","","","","-106","-3","5","35846","1780542034625"
"2","2026-06-04 00:01:34","15.96","77.5","956.6800000000001","3820","","","","","-102","3","5","35847","1780542094618"
"3","2026-06-04 00:02:34","15.87","78","956.6800000000001","3820","","","","","-105","1","5","35848","1780542154623"
"4","2026-06-04 00:03:34","15.92","78","956.6800000000001","3820","","","","","-107","-2.5","5","35849","1780542214619"
"5","2026-06-04 00:05:34","15.91","78","956.7","3820","","","","","-107","-3.5","5","35851","1780542334623"
"6","2026-06-04 00:07:34","15.94","78","956.74","3820","","","","","-104","1","5","35853","1780542454611"
"7","2026-06-04 00:09:34","15.89","78","956.78","3820","","","","","-105","0.800000011920929","5","35855","1780542574613"
"8","2026-06-04 00:11:34","16.03","77.5","956.78","3820","","","","","-104","0.5","5","35857","1780542694621"
"9","2026-06-04 00:13:34","15.98","77.5","956.76","3820","","","","","-102","4.300000190734863","5","35859","1780542814584"
"10","2026-06-04 00:14:34","16.01","78","956.78","3820","","","","","-104","1.7999999523162842","5","35860","1780542874616"
"11","2026-06-04 00:15:34","16.02","78","956.78","3820","","","","","-105","-0.30000001192092896","5","35861","1780542934617"
"12","2026-06-04 00:18:34","16.04","77.5","956.82","3820","","","","","-102","3.799999952316284","5","35864","1780543114645"
"13","2026-06-04 00:19:34","","","","","","","","","-109","-8","5","35865","1780543174278"
"14","2026-06-04 00:19:34","16","77.5","956.86","3820","","","","","-104","0.5","5","35865","1780543174573"
"15","2026-06-04 00:20:34","15.98","78","956.8000000000001","3820","","","","","-105","0.800000011920929","5","35866","1780543234612"
"16","2026-06-04 00:22:34","16.01","77.5","956.8000000000001","3800","","","","","-106","-1.5","5","35868","1780543354619"
"17","2026-06-04 00:23:34","16.05","77.5","956.82","3820","","","","","-104","1.5","5","35869","1780543414619"
"18","2026-06-04 00:24:34","16.05","77.5","956.78","3800","","","","","-103","0.800000011920929","5","35870","1780543474613"
"19","2026-06-04 00:25:34","","","","","","","","","-109","-10.300000190734863","5","35871","1780543534281"
"20","2026-06-04 00:25:34","16.05","77.5","956.8000000000001","3800","","","","","-108","-4.5","5","35871","1780543534572"
"21","2026-06-04 00:26:34","16.07","77.5","956.76","3800","","","","","-108","-8.300000190734863","5","35872","1780543594617"
"22","2026-06-04 00:27:34","16.11","77.5","956.88","3820","","","","","-105","-0.5","5","35873","1780543654621"
"23","2026-06-04 00:28:34","16.1","77","956.86","3820","","","","","-103","2","5","35874","1780543714617"
"24","2026-06-04 00:29:34","","","","","","","","","-110","-7.800000190734863","5","35875","1780543774306"
"25","2026-06-04 00:29:34","16.06","77.5","956.84","3820","","","","","-104","2","5","35875","1780543774577"
"26","2026-06-04 00:30:34","16.08","77","956.84","3820","","","","","-107","-3.299999952316284","5","35876","1780543834617"
"27","2026-06-04 00:31:34","16.05","77.5","956.88","3820","","","","","-108","-7.300000190734863","5","35877","1780543894620"
"28","2026-06-04 00:32:34","16.02","77.5","956.9","3800","","","","","-104","2","5","35878","1780543954617"
"29","2026-06-04 00:33:34","16.06","77.5","956.84","3800","","","","","-108","-7","5","35879","1780544014609"
"30","2026-06-04 00:34:34","16.02","77.5","956.86","3820","","","","","-107","-7","5","35880","1780544074609"
"31","2026-06-04 00:35:34","16.02","78","956.86","3800","","","","","-107","-3","5","35881","1780544134620"
"32","2026-06-04 00:36:34","16","77.5","956.84","3800","","","","","-105","0.5","5","35882","1780544194619"
