"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Latitude (°)","Longitude (°)"
"1","2026-06-04 00:07:49","14.73","83","1026","5.49","127","0","0","-22.8215","-47.0694"
"2","2026-06-04 00:17:49","14.73","83","1026","5.49","127","0","0","-22.8215","-47.0694"
"3","2026-06-04 00:27:49","14.73","83","1027","5.49","127","0","0","-22.8215","-47.0694"
"4","2026-06-04 00:37:49","14.73","83","1026","4.77","122","0","0","-22.8215","-47.0694"
"5","2026-06-04 00:47:49","14.73","83","1026","4.77","122","0","0","-22.8215","-47.0694"
"6","2026-06-04 00:57:49","14.73","83","1026","4.77","122","0","0","-22.8215","-47.0694"
"7","2026-06-04 01:07:49","14.73","82","1026","4.77","122","0","0","-22.8215","-47.0694"
"8","2026-06-04 01:17:49","14.73","82","1026","4.77","122","0","0","-22.8215","-47.0694"
"9","2026-06-04 01:27:49","14.73","82","1027","4.77","122","0","0","-22.8215","-47.0694"
"10","2026-06-04 01:37:49","14.73","82","1026","4.35","115","0","0","-22.8215","-47.0694"
"11","2026-06-04 01:47:49","14.73","82","1026","4.35","115","0","0","-22.8215","-47.0694"
"12","2026-06-04 01:57:49","14.73","82","1026","4.35","115","0","0","-22.8215","-47.0694"
"13","2026-06-04 02:07:49","14.73","84","1026","4.35","115","0","0","-22.8215","-47.0694"
"14","2026-06-04 02:17:49","14.73","84","1026","4.35","115","0","0","-22.8215","-47.0694"
"15","2026-06-04 02:27:49","14.73","84","1027","4.35","115","0","0","-22.8215","-47.0694"
"16","2026-06-04 02:37:49","14.73","84","1027","4.35","115","0","0","-22.8215","-47.0694"
"17","2026-06-04 02:47:49","14.73","84","1025","3.5","113","0","0","-22.8215","-47.0694"
"18","2026-06-04 02:57:49","14.73","84","1025","3.67","114","0","0","-22.8215","-47.0694"
"19","2026-06-04 03:07:49","14.73","84","1025","3.67","114","0","0","-22.8215","-47.0694"
"20","2026-06-04 03:17:49","14.18","86","1027","3.67","114","0","0","-22.8215","-47.0694"
"21","2026-06-04 03:27:49","14.18","86","1027","3.67","114","0","0","-22.8215","-47.0694"
"22","2026-06-04 03:37:49","14.18","86","1026","3.5","123","0","0","-22.8215","-47.0694"
"23","2026-06-04 03:47:49","14.18","86","1026","3.5","123","0","0","-22.8215","-47.0694"
"24","2026-06-04 03:57:49","14.18","86","1026","3.5","123","0","0","-22.8215","-47.0694"
"25","2026-06-04 04:07:49","14.18","87","1026","3.5","123","0","0","-22.8215","-47.0694"
"26","2026-06-04 04:17:49","14.18","87","1026","3.5","123","0","0","-22.8215","-47.0694"
"27","2026-06-04 04:27:49","14.18","87","1027","3.5","123","0","0","-22.8215","-47.0694"
"28","2026-06-04 04:37:49","14.18","87","1027","3.5","123","0","0","-22.8215","-47.0694"
"29","2026-06-04 04:47:49","14.18","87","1026","3.13","118","0","0","-22.8215","-47.0694"
"30","2026-06-04 04:57:49","14.18","87","1026","3.13","118","0","0","-22.8215","-47.0694"
"31","2026-06-04 05:07:49","14.18","86","1026","3.13","118","0","0","-22.8215","-47.0694"
"32","2026-06-04 05:17:49","14.18","86","1027","3.13","118","0","0","-22.8215","-47.0694"
"33","2026-06-04 05:27:49","14.18","86","1027","3.13","118","0","0","-22.8215","-47.0694"
"34","2026-06-04 05:37:49","14.18","86","1026","3.16","123","0","0","-22.8215","-47.0694"
"35","2026-06-04 05:47:49","14.18","86","1026","3.16","123","0","0","-22.8215","-47.0694"
"36","2026-06-04 05:57:49","14.18","86","1026","3.16","123","0","0","-22.8215","-47.0694"
"37","2026-06-04 06:07:49","14.18","86","1026","3.16","123","0","0","-22.8215","-47.0694"
"38","2026-06-04 06:17:49","14.18","87","1027","3.16","123","0","0","-22.8215","-47.0694"
"39","2026-06-04 06:27:49","14.18","87","1027","3.16","123","0","0","-22.8215","-47.0694"
"40","2026-06-04 06:37:49","14.18","87","1027","3.16","123","0","0","-22.8215","-47.0694"
"41","2026-06-04 06:47:49","14.18","87","1027","2.82","122","0","0","-22.8215","-47.0694"
"42","2026-06-04 06:57:49","14.18","87","1027","2.82","122","0","0","-22.8215","-47.0694"
"43","2026-06-04 07:07:49","14.18","87","1027","2.82","122","0","0","-22.8215","-47.0694"
"44","2026-06-04 07:17:49","14.18","87","1027","2.82","122","0","0","-22.8215","-47.0694"
"45","2026-06-04 07:27:49","14.18","87","1028","2.82","122","0","0","-22.8215","-47.0694"
"46","2026-06-04 07:37:49","14.18","87","1027","3.26","121","0","0","-22.8215","-47.0694"
"47","2026-06-04 07:47:49","14.18","87","1027","3.26","121","0","0","-22.8215","-47.0694"
"48","2026-06-04 07:57:49","14.18","87","1027","3.26","121","0","0","-22.8215","-47.0694"
"49","2026-06-04 08:07:49","15.85","80","1028","3.26","121","0","0","-22.8215","-47.0694"
"50","2026-06-04 08:17:49","15.85","80","1028","3.26","121","0","0","-22.8215","-47.0694"
"51","2026-06-04 08:27:49","15.85","80","1028","3.26","121","0","0","-22.8215","-47.0694"
"52","2026-06-04 08:37:49","15.85","80","1028","3.87","107","0","0","-22.8215","-47.0694"
"53","2026-06-04 08:47:49","15.85","80","1027","3.87","107","0","0","-22.8215","-47.0694"
"54","2026-06-04 08:57:49","15.85","80","1027","3.87","107","0","0","-22.8215","-47.0694"
