"Nº";"Data e Hora (America/Sao_Paulo)";"Temperatura (°C)";"Umidade Relativa (%)";"Pressão Atmosférica (hPa)";"Tensão do Sistema (mV)";"Luminosidade (lux)";"Latitude (°)";"Longitude (°)";"Altitude (m)";"RSSI (dBm)";"SNR (dB)";"Frame Counter";"Timestamp Aquisição (ms)"
"1";"2026-04-28 10:05:11";"21";"56.5";"947.88";"2540";"";"";"";"";"-79";"13.5";"58714";"1777381511424"
"2";"2026-04-28 10:05:20";"20.99";"56.5";"947.9";"2540";"";"";"";"";"-79";"13.800000190734863";"58715";"1777381520827"
"3";"2026-04-28 10:05:30";"20.98";"56.5";"947.9200000000001";"2560";"";"";"";"";"-79";"12.5";"58716";"1777381530818"
"4";"2026-04-28 10:05:40";"20.98";"56.5";"947.88";"2540";"";"";"";"";"-84";"12.300000190734863";"58717";"1777381540794"
"5";"2026-04-28 10:05:50";"20.97";"56.5";"947.86";"2500";"";"";"";"";"-81";"12.800000190734863";"58718";"1777381550809"
"6";"2026-04-28 10:06:00";"20.97";"56";"947.88";"2500";"";"";"";"";"-81";"13";"58719";"1777381560822"
"7";"2026-04-28 10:06:10";"20.97";"56";"947.9200000000001";"2460";"";"";"";"";"-79";"13.5";"58720";"1777381570826"
"8";"2026-04-28 10:06:20";"20.96";"56.5";"947.86";"2480";"";"";"";"";"-78";"13.5";"58721";"1777381580824"
"9";"2026-04-28 10:06:30";"20.96";"56";"947.9";"2460";"";"";"";"";"-77";"13.5";"58722";"1777381590820"
"10";"2026-04-28 10:06:40";"20.94";"55.5";"947.9";"2460";"";"";"";"";"-79";"9.800000190734863";"58723";"1777381600812"
"11";"2026-04-28 10:06:50";"20.94";"56";"947.88";"2460";"";"";"";"";"-76";"13.300000190734863";"58724";"1777381610813"
"12";"2026-04-28 10:07:00";"20.93";"56";"947.9";"2460";"";"";"";"";"-76";"8.300000190734863";"58725";"1777381620812"
"13";"2026-04-28 10:07:10";"20.93";"56";"947.9";"2440";"";"";"";"";"-77";"13";"58726";"1777381630813"
"14";"2026-04-28 10:07:20";"20.93";"56";"947.88";"2400";"";"";"";"";"-77";"13.300000190734863";"58727";"1777381640817"
"15";"2026-04-28 10:07:30";"20.92";"55.5";"947.9200000000001";"2400";"";"";"";"";"-78";"12.800000190734863";"58728";"1777381650813"
"16";"2026-04-28 10:07:40";"20.91";"56";"947.86";"2420";"";"";"";"";"-77";"13.300000190734863";"58729";"1777381660849"
"17";"2026-04-28 10:07:50";"20.9";"55.5";"947.9200000000001";"2400";"";"";"";"";"-77";"13.5";"58730";"1777381670816"
"18";"2026-04-28 10:08:00";"20.9";"55.5";"947.9";"2340";"";"";"";"";"-77";"11.300000190734863";"58731";"1777381680784"
"19";"2026-04-28 10:08:10";"20.89";"56";"947.9";"2340";"";"";"";"";"-79";"12";"58732";"1777381690814"
