"Nº","Data e Hora (America/Sao_Paulo)","Temperatura OWM (°C)","Umidade OWM (%)","Pressão OWM (hPa)","Vento (m/s)","Direção Vento (°)","Nuvens (%)","Chuva 1h (mm)","Lat","Lon"
"1","2026-05-28 00:07:49","16.96","80","1021","3.94","128","0","0","-22.8215","-47.0694"
"2","2026-05-28 00:17:49","16.96","80","1022","3.94","128","0","0","-22.8215","-47.0694"
"3","2026-05-28 00:27:49","16.4","79","1022","3.94","128","0","0","-22.8215","-47.0694"
"4","2026-05-28 00:37:49","16.4","79","1021","4.04","137","0","0","-22.8215","-47.0694"
"5","2026-05-28 00:47:49","16.4","79","1021","4.04","137","0","0","-22.8215","-47.0694"
"6","2026-05-28 00:57:49","16.4","79","1021","4.04","137","0","0","-22.8215","-47.0694"
"7","2026-05-28 01:07:49","16.4","79","1021","4.04","137","0","0","-22.8215","-47.0694"
"8","2026-05-28 01:17:49","16.4","79","1021","4.04","137","0","0","-22.8215","-47.0694"
"9","2026-05-28 01:27:49","16.4","79","1021","4.04","137","0","0","-22.8215","-47.0694"
"10","2026-05-28 01:37:49","15.85","80","1020","4.76","137","0","0","-22.8215","-47.0694"
"11","2026-05-28 01:47:49","15.85","80","1020","4.76","137","0","0","-22.8215","-47.0694"
"12","2026-05-28 01:57:49","15.85","80","1020","4.76","137","0","0","-22.8215","-47.0694"
"13","2026-05-28 02:07:49","15.85","80","1020","4.76","137","0","0","-22.8215","-47.0694"
"14","2026-05-28 02:17:49","15.85","80","1021","4.76","137","0","0","-22.8215","-47.0694"
"15","2026-05-28 02:27:49","15.85","80","1021","4.76","137","0","0","-22.8215","-47.0694"
"16","2026-05-28 02:37:49","15.29","80","1020","4.94","138","0","0","-22.8215","-47.0694"
"17","2026-05-28 02:47:49","15.29","80","1020","4.94","138","0","0","-22.8215","-47.0694"
"18","2026-05-28 02:57:49","15.29","80","1020","4.94","138","0","0","-22.8215","-47.0694"
"19","2026-05-28 03:07:49","15.29","80","1020","4.94","138","0","0","-22.8215","-47.0694"
"20","2026-05-28 03:17:49","15.29","80","1021","4.94","138","0","0","-22.8215","-47.0694"
"21","2026-05-28 03:27:49","15.29","78","1021","4.94","138","0","0","-22.8215","-47.0694"
"22","2026-05-28 03:37:49","15.29","78","1021","4.94","138","0","0","-22.8215","-47.0694"
"23","2026-05-28 03:47:49","15.29","78","1020","4.62","132","4","0","-22.8215","-47.0694"
"24","2026-05-28 03:57:49","15.29","78","1020","4.62","132","4","0","-22.8215","-47.0694"
"25","2026-05-28 04:07:49","15.29","78","1020","4.62","132","4","0","-22.8215","-47.0694"
